date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2022-04-07, Rafael Ortega, Nick Madrigal, Willson Contreras, Ian Happ, Ian Happ, Frank Schwindel, Seiya Suzuki, Jason Heyward, Patrick Wisdom,
2022-04-09, Rafael Ortega, Nick Madrigal, Willson Contreras, Ian Happ, Frank Schwindel, Seiya Suzuki, Jason Heyward, Patrick Wisdom, Nico Hoerner,
2022-04-10, Rafael Ortega, Nick Madrigal, Jonathan Villar, Alfonso Rivas III, Seiya Suzuki, Clint Frazier, Jason Heyward, Yan Gomes, Nico Hoerner,
2022-04-12, Clint Frazier, Willson Contreras, Patrick Wisdom, Frank Schwindel, Seiya Suzuki, Nick Madrigal, Michael Hermosillo, Ian Happ, Nico Hoerner,
2022-04-13, Rafael Ortega, Frank Schwindel, Willson Contreras, Ian Happ, Seiya Suzuki, Jason Heyward, Patrick Wisdom, Jonathan Villar, Nico Hoerner,
2022-04-14, Clint Frazier, Nick Madrigal, Jonathan Villar, Frank Schwindel, Seiya Suzuki, Yan Gomes, Michael Hermosillo, Ian Happ, Patrick Wisdom,
2022-04-15, Rafael Ortega, Nick Madrigal, Willson Contreras, Ian Happ, Frank Schwindel, Jonathan Villar, Jason Heyward, Alfonso Rivas III, Nico Hoerner,
2022-04-16, Rafael Ortega, Jonathan Villar, Willson Contreras, Ian Happ, Frank Schwindel, Seiya Suzuki, Jason Heyward, Patrick Wisdom, Nico Hoerner,
2022-04-17, Clint Frazier, Nick Madrigal, Willson Contreras, Frank Schwindel, Seiya Suzuki, Yan Gomes, Patrick Wisdom, Michael Hermosillo, Nico Hoerner,
2022-04-18, Nick Madrigal, Willson Contreras, Frank Schwindel, Seiya Suzuki, Yan Gomes, Patrick Wisdom, Michael Hermosillo, Ian Happ, Nico Hoerner,
2022-04-19, Jonathan Villar, Seiya Suzuki, Willson Contreras, Ian Happ, Frank Schwindel, Nick Madrigal, Jason Heyward, Clint Frazier, Nico Hoerner,
2022-04-20, Rafael Ortega, Seiya Suzuki, Jonathan Villar, Ian Happ, Frank Schwindel, Nick Madrigal, Jason Heyward, Yan Gomes, Nico Hoerner,
2022-04-21, Rafael Ortega, Seiya Suzuki, Willson Contreras, Ian Happ, Frank Schwindel, Jonathan Villar, Jason Heyward, Patrick Wisdom, Nico Hoerner,
2022-04-22, Nick Madrigal, Seiya Suzuki, Willson Contreras, Frank Schwindel, Patrick Wisdom, Jonathan Villar, Yan Gomes, Michael Hermosillo, Nico Hoerner,
2022-04-23, Rafael Ortega, Seiya Suzuki, Willson Contreras, Ian Happ, Patrick Wisdom, Jonathan Villar, Jason Heyward, Alfonso Rivas III, Nico Hoerner,
2022-04-24, Rafael Ortega, Seiya Suzuki, Willson Contreras, Ian Happ, Frank Schwindel, Jonathan Villar, Jason Heyward, Patrick Wisdom, Nick Madrigal,
2022-04-26, Michael Hermosillo, Seiya Suzuki, Patrick Wisdom, Willson Contreras, Frank Schwindel, Yan Gomes, Nick Madrigal, Ian Happ, Nico Hoerner,
2022-04-27, Rafael Ortega, Seiya Suzuki, Ian Happ, Willson Contreras, Frank Schwindel, Patrick Wisdom, Jason Heyward, Nick Madrigal, Nico Hoerner,
2022-04-28, Rafael Ortega, Seiya Suzuki, Ian Happ, Willson Contreras, Jonathan Villar, Alfonso Rivas III, Jason Heyward, Patrick Wisdom, Nico Hoerner,
2022-04-29, Rafael Ortega, Jonathan Villar, Willson Contreras, Ian Happ, Seiya Suzuki, Alfonso Rivas III, Patrick Wisdom, Jason Heyward, Nico Hoerner,
2022-04-30, Nick Madrigal, Willson Contreras, Patrick Wisdom, Seiya Suzuki, Frank Schwindel, Yan Gomes, Ian Happ, Michael Hermosillo, Nico Hoerner,
2022-05-01, Alfonso Rivas III, Seiya Suzuki, Ian Happ, Frank Schwindel, Patrick Wisdom, Jason Heyward, Nico Hoerner, Yan Gomes, Nick Madrigal,
2022-05-03, Alfonso Rivas III, Seiya Suzuki, Ian Happ, Frank Schwindel, Patrick Wisdom, Jason Heyward, Nico Hoerner, Yan Gomes, Nick Madrigal,
2022-05-04, Alfonso Rivas III, Seiya Suzuki, Ian Happ, Willson Contreras, Frank Schwindel, Nico Hoerner, Jason Heyward, Patrick Wisdom, Nick Madrigal,
2022-05-07a, Willson Contreras, Seiya Suzuki, Ian Happ, Patrick Wisdom, Frank Schwindel, Jonathan Villar, Yan Gomes, Nico Hoerner, Michael Hermosillo,
2022-05-07b, Willson Contreras, Seiya Suzuki, Yan Gomes, Patrick Wisdom, Frank Schwindel, Nico Hoerner, Jonathan Villar, Michael Hermosillo, Nick Madrigal,
2022-05-08, Rafael Ortega, Seiya Suzuki, Ian Happ, Willson Contreras, Alfonso Rivas III, Nico Hoerner, Jonathan Villar, Jason Heyward, Nick Madrigal,
2022-05-09, Willson Contreras, Seiya Suzuki, Patrick Wisdom, Yan Gomes, Frank Schwindel, Nico Hoerner, Ian Happ, Nick Madrigal, Jason Heyward,
2022-05-10, Rafael Ortega, Willson Contreras, Ian Happ, Patrick Wisdom, Alfonso Rivas III, Nico Hoerner, Jason Heyward, Yan Gomes, Jonathan Villar,
