date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2022-04-07, Jonathan India, Aristides Aquino, Tommy Pham, Joey Votto, Tyler Stephenson, Nick Senzel, Mike Moustakas, Kyle Farmer, Brandon Drury,
2022-04-08, Jonathan India, Tyler Naquin, Tommy Pham, Joey Votto, Tyler Stephenson, Nick Senzel, Mike Moustakas, Kyle Farmer, Jake Fraley,
2022-04-09, Jonathan India, Tyler Naquin, Tommy Pham, Joey Votto, Jake Fraley, Nick Senzel, Mike Moustakas, Kyle Farmer, Aramis Garcia,
2022-04-10, Jonathan India, Tyler Naquin, Tommy Pham, Joey Votto, Tyler Stephenson, Nick Senzel, Colin Moran, Kyle Farmer, Jake Fraley,
2022-04-12, Jonathan India, Tyler Naquin, Tommy Pham, Joey Votto, Tyler Stephenson, Nick Senzel, Mike Moustakas, Kyle Farmer, Jake Fraley,
2022-04-13, Jonathan India, Tyler Naquin, Tyler Stephenson, Joey Votto, Aristides Aquino, Kyle Farmer, Mike Moustakas, Brandon Drury, Jake Fraley,
2022-04-14, Jonathan India, Tyler Naquin, Jake Fraley, Joey Votto, Tyler Stephenson, Aristides Aquino, Mike Moustakas, Kyle Farmer, Colin Moran,
2022-04-15, Jake Fraley, Tyler Naquin, Tommy Pham, Joey Votto, Aristides Aquino, Brandon Drury, Mike Moustakas, Kyle Farmer, Aramis Garcia,
2022-04-16, Kyle Farmer, Tyler Naquin, Tommy Pham, Joey Votto, Tyler Stephenson, Aristides Aquino, Mike Moustakas, Brandon Drury, Jake Fraley,
2022-04-17, Kyle Farmer, Tyler Naquin, Tommy Pham, Joey Votto, Tyler Stephenson, Aristides Aquino, Mike Moustakas, Brandon Drury, Jake Fraley,
2022-04-18, Kyle Farmer, Brandon Drury, Tommy Pham, Joey Votto, Tyler Stephenson, Alejo Lopez, Colin Moran, Aristides Aquino, Jake Fraley,
