date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2022-04-07, Shohei Ohtani, Mike Trout, Anthony Rendon, Matt Duffy, Jo Adell, Jared Walsh, Max Stassi, Brandon Marsh, David Fletcher,
2022-04-08, Shohei Ohtani, Mike Trout, Anthony Rendon, Jared Walsh, Jose Rojas, Brandon Marsh, Kurt Suzuki, Tyler Wade, David Fletcher,
2022-04-09, Shohei Ohtani, Mike Trout, Anthony Rendon, Jared Walsh, Matt Duffy, Jose Rojas, Max Stassi, Brandon Marsh, Tyler Wade,
2022-04-10, Shohei Ohtani, Mike Trout, Jared Walsh, Jack Mayfield, Jo Adell, Jose Rojas, Kurt Suzuki, David Fletcher, Tyler Wade,
2022-04-11, Shohei Ohtani, Anthony Rendon, Jared Walsh, Max Stassi, Brandon Marsh, Jose Rojas, Jo Adell, Tyler Wade, David Fletcher,
2022-04-12, Shohei Ohtani, Mike Trout, Anthony Rendon, Jack Mayfield, Max Stassi, Matt Duffy, Jo Adell, Brandon Marsh, Andrew Velazquez,
2022-04-14, Shohei Ohtani, Mike Trout, Jared Walsh, Anthony Rendon, Brandon Marsh, Max Stassi, Jose Rojas, Tyler Wade, Andrew Velazquez,
2022-04-15, Shohei Ohtani, Mike Trout, Jared Walsh, Anthony Rendon, Brandon Marsh, Jo Adell, Jack Mayfield, Kurt Suzuki, Andrew Velazquez,
2022-04-16, Shohei Ohtani, Mike Trout, Anthony Rendon, Taylor Ward, Max Stassi, Jo Adell, Matt Duffy, Andrew Velazquez, Tyler Wade,
2022-04-17, Shohei Ohtani, Mike Trout, Taylor Ward, Jack Mayfield, Matt Duffy, Jo Adell, Kurt Suzuki, Andrew Velazquez, Tyler Wade,
2022-04-18, Shohei Ohtani, Taylor Ward, Jared Walsh, Max Stassi, Brandon Marsh, Jack Mayfield, Jo Adell, Tyler Wade, Andrew Velazquez,
2022-04-19, Shohei Ohtani, Taylor Ward, Anthony Rendon, Matt Duffy, Jack Mayfield, Kurt Suzuki, Jo Adell, Brandon Marsh, Andrew Velazquez,
2022-04-20, Shohei Ohtani, Taylor Ward, Jared Walsh, Anthony Rendon, Brandon Marsh, Max Stassi, Jo Adell, Tyler Wade, Andrew Velazquez,
2022-04-22, Shohei Ohtani, Mike Trout, Anthony Rendon, Taylor Ward, Matt Duffy, Jack Mayfield, Max Stassi, Jo Adell, Andrew Velazquez,
2022-04-23, Shohei Ohtani, Mike Trout, Anthony Rendon, Jared Walsh, Taylor Ward, Brandon Marsh, Max Stassi, Tyler Wade, Andrew Velazquez,
2022-04-24, Shohei Ohtani, Mike Trout, Anthony Rendon, Jared Walsh, Taylor Ward, Jo Adell, Kurt Suzuki, Tyler Wade, Andrew Velazquez,
2022-04-25, Taylor Ward, Shohei Ohtani, Mike Trout, Jared Walsh, Anthony Rendon, Matt Duffy, Jo Adell, Max Stassi, Tyler Wade,
2022-04-26, Taylor Ward, Shohei Ohtani, Mike Trout, Jared Walsh, Anthony Rendon, Brandon Marsh, Matt Duffy, Kurt Suzuki, Andrew Velazquez,
2022-04-27, Taylor Ward, Shohei Ohtani, Mike Trout, Jared Walsh, Anthony Rendon, Brandon Marsh, Jack Mayfield, Max Stassi, Tyler Wade,
2022-04-28, Taylor Ward, Brandon Marsh, Mike Trout, Jared Walsh, Anthony Rendon, Jo Adell, Kurt Suzuki, Tyler Wade, Andrew Velazquez,
2022-04-29, Taylor Ward, Brandon Marsh, Mike Trout, Shohei Ohtani, Anthony Rendon, Jared Walsh, Max Stassi, Matt Duffy, David Fletcher,
2022-04-30, Taylor Ward, Brandon Marsh, Mike Trout, Shohei Ohtani, Anthony Rendon, Jared Walsh, Kurt Suzuki, Tyler Wade, David Fletcher,
2022-05-01, Taylor Ward, Mike Trout, Shohei Ohtani, Anthony Rendon, Jo Adell, Jared Walsh, Max Stassi, David Fletcher, Andrew Velazquez,
2022-05-02, Taylor Ward, Brandon Marsh, Mike Trout, Jared Walsh, Jack Mayfield, Kurt Suzuki, Jo Adell, Tyler Wade, Andrew Velazquez,
2022-05-03, Taylor Ward, Mike Trout, Shohei Ohtani, Anthony Rendon, Jared Walsh, Jack Mayfield, Max Stassi, David Fletcher, Andrew Velazquez,
2022-05-04, Brandon Marsh, Mike Trout, Shohei Ohtani, Anthony Rendon, Jared Walsh, Jose Rojas, Max Stassi, Tyler Wade, Andrew Velazquez,
2022-05-05, Taylor Ward, David Fletcher, Shohei Ohtani, Anthony Rendon, Jared Walsh, Max Stassi, Jack Mayfield, Brandon Marsh, Andrew Velazquez,
2022-05-06, Taylor Ward, Mike Trout, Shohei Ohtani, Anthony Rendon, Jared Walsh, Brandon Marsh, Kurt Suzuki, Tyler Wade, David Fletcher,
2022-05-07, Taylor Ward, Mike Trout, Shohei Ohtani, Anthony Rendon, Jared Walsh, Max Stassi, Brandon Marsh, David Fletcher, Andrew Velazquez,
2022-05-08, Taylor Ward, Mike Trout, Shohei Ohtani, Anthony Rendon, Jared Walsh, Max Stassi, Brandon Marsh, Tyler Wade, Andrew Velazquez,
2022-05-09, Brandon Marsh, Mike Trout, Shohei Ohtani, Anthony Rendon, Jared Walsh, Jack Mayfield, Tyler Wade, Chad Wallach, Andrew Velazquez,
2022-05-10, Brandon Marsh, Mike Trout, Shohei Ohtani, Anthony Rendon, Jared Walsh, Jack Mayfield, Chad Wallach, Luis Rengifo, Andrew Velazquez,
2022-05-11, Brandon Marsh, Luis Rengifo, Shohei Ohtani, Anthony Rendon, Jared Walsh, Aaron Whitefield, Jack Mayfield, Austin Romine, Andrew Velazquez,
2022-05-13, Taylor Ward, Mike Trout, Shohei Ohtani, Anthony Rendon, Jared Walsh, Brandon Marsh, Chad Wallach, Tyler Wade, Andrew Velazquez,
