date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2022-04-08, Mookie Betts, Freddie Freeman, Trea Turner, Justin Turner, Max Muncy, Will Smith, Chris Taylor, Cody Bellinger, Gavin Lux,
2022-04-09, Mookie Betts, Freddie Freeman, Trea Turner, Max Muncy, Justin Turner, Edwin Rios, Cody Bellinger, Gavin Lux, Austin Barnes,
2022-04-10, Mookie Betts, Freddie Freeman, Trea Turner, Max Muncy, Justin Turner, Will Smith, Cody Bellinger, Chris Taylor, Gavin Lux,
2022-04-12, Mookie Betts, Freddie Freeman, Trea Turner, Max Muncy, Justin Turner, Will Smith, Cody Bellinger, Chris Taylor, Gavin Lux,
2022-04-13, Mookie Betts, Freddie Freeman, Trea Turner, Max Muncy, Justin Turner, Chris Taylor, Cody Bellinger, Gavin Lux, Austin Barnes,
2022-04-14, Mookie Betts, Freddie Freeman, Trea Turner, Justin Turner, Max Muncy, Will Smith, Chris Taylor, Cody Bellinger, Hanser Alberto,
2022-04-15, Mookie Betts, Freddie Freeman, Trea Turner, Max Muncy, Justin Turner, Will Smith, Cody Bellinger, Chris Taylor, Gavin Lux,
2022-04-16, Trea Turner, Freddie Freeman, Justin Turner, Max Muncy, Edwin Rios, Chris Taylor, Cody Bellinger, Gavin Lux, Austin Barnes,
2022-04-17, Mookie Betts, Freddie Freeman, Trea Turner, Max Muncy, Justin Turner, Will Smith, Cody Bellinger, Chris Taylor, Gavin Lux,
2022-04-18, Mookie Betts, Freddie Freeman, Trea Turner, Max Muncy, Justin Turner, Will Smith, Cody Bellinger, Edwin Rios, Gavin Lux,
2022-04-19, Mookie Betts, Freddie Freeman, Trea Turner, Justin Turner, Max Muncy, Chris Taylor, Hanser Alberto, Cody Bellinger, Austin Barnes,
2022-04-20, Mookie Betts, Freddie Freeman, Trea Turner, Max Muncy, Justin Turner, Will Smith, Cody Bellinger, Chris Taylor, Edwin Rios,
2022-04-22, Mookie Betts, Freddie Freeman, Trea Turner, Max Muncy, Justin Turner, Will Smith, Cody Bellinger, Chris Taylor, Gavin Lux,
2022-04-23, Mookie Betts, Freddie Freeman, Trea Turner, Max Muncy, Justin Turner, Will Smith, Cody Bellinger, Chris Taylor, Gavin Lux,
2022-04-24, Mookie Betts, Freddie Freeman, Trea Turner, Justin Turner, Max Muncy, Chris Taylor, Cody Bellinger, Hanser Alberto, Austin Barnes,
