date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2022-04-08, Byron Buxton, Carlos Correa, Jorge Polanco, Gio Urshela, Miguel Sano, Alex Kirilloff, Gary Sanchez, Ryan Jeffers, Max Kepler,
2022-04-09, Byron Buxton, Luis Arraez, Carlos Correa, Jorge Polanco, Alex Kirilloff, Miguel Sano, Max Kepler, Ryan Jeffers, Nick Gordon,
2022-04-10, Byron Buxton, Carlos Correa, Jorge Polanco, Gio Urshela, Miguel Sano, Alex Kirilloff, Gary Sanchez, Ryan Jeffers, Max Kepler,
2022-04-11, Byron Buxton, Carlos Correa, Luis Arraez, Jorge Polanco, Gio Urshela, Max Kepler, Gary Sanchez, Miguel Sano, Alex Kirilloff,
2022-04-12, Byron Buxton, Carlos Correa, Jorge Polanco, Gio Urshela, Gary Sanchez, Max Kepler, Ryan Jeffers, Miguel Sano, Gilberto Celestino,
2022-04-13, Byron Buxton, Luis Arraez, Gio Urshela, Jorge Polanco, Gary Sanchez, Max Kepler, Miguel Sano, Gilberto Celestino, Nick Gordon,
2022-04-15, Byron Buxton, Luis Arraez, Carlos Correa, Jorge Polanco, Max Kepler, Gary Sanchez, Trevor Larnach, Miguel Sano, Ryan Jeffers,
2022-04-16, Luis Arraez, Jorge Polanco, Carlos Correa, Max Kepler, Trevor Larnach, Gio Urshela, Nick Gordon, Miguel Sano, Ryan Jeffers,
2022-04-17, Luis Arraez, Carlos Correa, Jorge Polanco, Max Kepler, Gio Urshela, Trevor Larnach, Gary Sanchez, Miguel Sano, Nick Gordon,
2022-04-18, Jorge Polanco, Carlos Correa, Gio Urshela, Kyle Garlick, Gary Sanchez, Trevor Larnach, Miguel Sano, Ryan Jeffers, Gilberto Celestino,
2022-04-19, Luis Arraez, Jorge Polanco, Carlos Correa, Max Kepler, Nick Gordon, Gio Urshela, Trevor Larnach, Gary Sanchez, Ryan Jeffers,
2022-04-20, Jorge Polanco, Carlos Correa, Gio Urshela, Kyle Garlick, Gary Sanchez, Trevor Larnach, Miguel Sano, Ryan Jeffers, Gilberto Celestino,
2022-04-21, Byron Buxton, Carlos Correa, Luis Arraez, Gio Urshela, Max Kepler, Miguel Sano, Kyle Garlick, Ryan Jeffers, Nick Gordon,
2022-04-22, Luis Arraez, Carlos Correa, Jorge Polanco, Max Kepler, Max Kepler, Gio Urshela, Trevor Larnach, Miguel Sano, Nick Gordon,
2022-04-23, Byron Buxton, Luis Arraez, Carlos Correa, Jorge Polanco, Max Kepler, Trevor Larnach, Miguel Sano, Ryan Jeffers, Nick Gordon,
2022-04-24, Byron Buxton, Luis Arraez, Jorge Polanco, Max Kepler, Gio Urshela, Trevor Larnach, Nick Gordon, Miguel Sano, Jose Godoy,
