date;lineup1;lineup2;lineup3;lineup4;lineup5;lineup6;lineup7;lineup8;lineup9;
2023-03-30;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Albies, Ozzie;Murphy, Sean;Ozuna, Marcell;Harris II, Michael;d'Arnaud, Travis;Arcia, Orlando;
2023-04-01;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Albies, Ozzie;Harris II, Michael;d'Arnaud, Travis;Rosario, Eddie;Ozuna, Marcell;Arcia, Orlando;
2023-04-02;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Albies, Ozzie;d'Arnaud, Travis;Ozuna, Marcell;Harris II, Michael;Murphy, Sean;Arcia, Orlando;
2023-04-03;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;d'Arnaud, Travis;Harris II, Michael;Albies, Ozzie;Ozuna, Marcell;Rosario, Eddie;Arcia, Orlando;
2023-04-04;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;d'Arnaud, Travis;Albies, Ozzie;Harris II, Michael;Murphy, Sean;Arcia, Orlando;Pillar, Kevin;
2023-04-05;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;d'Arnaud, Travis;Harris II, Michael;Albies, Ozzie;Ozuna, Marcell;Rosario, Eddie;Arcia, Orlando;
2023-04-06;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;d'Arnaud, Travis;Albies, Ozzie;Murphy, Sean;Harris II, Michael;Pillar, Kevin;Arcia, Orlando;
2023-04-07;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Albies, Ozzie;Murphy, Sean;Rosario, Eddie;Arcia, Orlando;Ozuna, Marcell;Hilliard, Sam;
2023-04-08;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;d'Arnaud, Travis;Albies, Ozzie;Rosario, Eddie;Ozuna, Marcell;Arcia, Orlando;Hilliard, Sam;
2023-04-09;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Albies, Ozzie;Murphy, Sean;Rosario, Eddie;Ozuna, Marcell;Arcia, Orlando;Hilliard, Sam;
2023-04-10;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Albies, Ozzie;Rosario, Eddie;Arcia, Orlando;Pillar, Kevin;White, Eli;
2023-04-11;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Arcia, Orlando;Ozuna, Marcell;Hilliard, Sam;
2023-04-12;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Arcia, Orlando;Ozuna, Marcell;Hilliard, Sam;
2023-04-14;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Grissom, Vaughn;Pillar, Kevin;Hilliard, Sam;
2023-04-15;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Albies, Ozzie;Grissom, Vaughn;Ozuna, Marcell;Pillar, Kevin;White, Eli;
2023-04-16;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Grissom, Vaughn;Hilliard, Sam;Tromp, Chadwick;
2023-04-17;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Albies, Ozzie;Grissom, Vaughn;Pillar, Kevin;Ozuna, Marcell;White, Eli;
2023-04-18;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Albies, Ozzie;Grissom, Vaughn;Pillar, Kevin;Ozuna, Marcell;White, Eli;
2023-04-19;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Grissom, Vaughn;Hilliard, Sam;Pillar, Kevin;
2023-04-21;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Grissom, Vaughn;Hilliard, Sam;Pillar, Kevin;
2023-04-22;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Albies, Ozzie;Grissom, Vaughn;Pillar, Kevin;Ozuna, Marcell;White, Eli;
2023-04-23;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Albies, Ozzie;Rosario, Eddie;Hilliard, Sam;Grissom, Vaughn;Pillar, Kevin;Tromp, Chadwick;
2023-04-24;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Ozuna, Marcell;Hilliard, Sam;Adrianza, Ehire;
2023-04-25;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Grissom, Vaughn;Hilliard, Sam;Pillar, Kevin;
2023-04-26;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Grissom, Vaughn;Ozuna, Marcell;Hilliard, Sam;
2023-04-27;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Albies, Ozzie;Murphy, Sean;Grissom, Vaughn;Rosario, Eddie;Pillar, Kevin;Tromp, Chadwick;
2023-04-28;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Albies, Ozzie;Murphy, Sean;Grissom, Vaughn;Rosario, Eddie;Pillar, Kevin;Harris II, Michael;
2023-05-01a;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Albies, Ozzie;Rosario, Eddie;Grissom, Vaughn;Harris II, Michael;Pillar, Kevin;
2023-05-01b;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Hilliard, Sam;Adrianza, Ehire;Tromp, Chadwick;
2023-05-02;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Harris II, Michael;Ozuna, Marcell;Grissom, Vaughn;
2023-05-03;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Albies, Ozzie;Grissom, Vaughn;Ozuna, Marcell;Pillar, Kevin;Harris II, Michael;
2023-05-04;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Albies, Ozzie;Grissom, Vaughn;Ozuna, Marcell;Rosario, Eddie;Pillar, Kevin;
2023-05-05;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Ozuna, Marcell;Hilliard, Sam;Shewmake, Braden;
2023-05-06;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Ozuna, Marcell;Harris II, Michael;Grissom, Vaughn;
2023-05-07;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Albies, Ozzie;Rosario, Eddie;Ozuna, Marcell;Harris II, Michael;Arcia, Orlando;Tromp, Chadwick;
2023-05-09;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Ozuna, Marcell;Harris II, Michael;Arcia, Orlando;
2023-05-10;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;d'Arnaud, Travis;Harris II, Michael;Arcia, Orlando;
2023-05-12;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;d'Arnaud, Travis;Harris II, Michael;Arcia, Orlando;
2023-05-13;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;Murphy, Sean;Rosario, Eddie;Albies, Ozzie;Ozuna, Marcell;Harris II, Michael;Arcia, Orlando;
2023-05-14;Acuna Jr., Ronald;Olson, Matt;Albies, Ozzie;Riley, Austin;d'Arnaud, Travis;Ozuna, Marcell;Pillar, Kevin;Harris II, Michael;Arcia, Orlando;
2023-05-15;Acuna Jr., Ronald;Olson, Matt;Albies, Ozzie;Riley, Austin;Murphy, Sean;Ozuna, Marcell;Pillar, Kevin;Harris II, Michael;Arcia, Orlando;
2023-05-16;Acuna Jr., Ronald;Olson, Matt;Murphy, Sean;Riley, Austin;Rosario, Eddie;Albies, Ozzie;Harris II, Michael;Arcia, Orlando;Hilliard, Sam;
2023-05-17;Acuna Jr., Ronald;Olson, Matt;Albies, Ozzie;Riley, Austin;Rosario, Eddie;d'Arnaud, Travis;Ozuna, Marcell;Arcia, Orlando;Harris II, Michael;
2023-05-19;Acuna Jr., Ronald;Olson, Matt;Murphy, Sean;Riley, Austin;Rosario, Eddie;Albies, Ozzie;Ozuna, Marcell;Arcia, Orlando;Harris II, Michael;
2023-05-20;Acuna Jr., Ronald;Olson, Matt;Murphy, Sean;Riley, Austin;Rosario, Eddie;Albies, Ozzie;Ozuna, Marcell;Arcia, Orlando;Harris II, Michael;
2023-05-21;Acuna Jr., Ronald;Olson, Matt;Riley, Austin;d'Arnaud, Travis;Rosario, Eddie;Albies, Ozzie;Ozuna, Marcell;Arcia, Orlando;Harris II, Michael;
