date;lineup1;lineup2;lineup3;lineup4;lineup5;lineup6;lineup7;lineup8;lineup9;
2023-03-30;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Bellinger, Cody;Mancini, Trey;Gomes, Yan;Hosmer, Eric;Wisdom, Patrick;Mastrobuoni, Miles;
2023-04-01;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Bellinger, Cody;Mancini, Trey;Rios, Edwin;Hosmer, Eric;Madrigal, Nick;Barnhart, Tucker;
2023-04-02;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Mancini, Trey;Gomes, Yan;Bellinger, Cody;Wisdom, Patrick;Torrens, Luis;Madrigal, Nick;
2023-04-03;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Bellinger, Cody;Mancini, Trey;Wisdom, Patrick;Hosmer, Eric;Rios, Edwin;Barnhart, Tucker;
2023-04-04;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Bellinger, Cody;Mancini, Trey;Wisdom, Patrick;Hosmer, Eric;Gomes, Yan;Mastrobuoni, Miles;
2023-04-07;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Bellinger, Cody;Mancini, Trey;Wisdom, Patrick;Hosmer, Eric;Mastrobuoni, Miles;Barnhart, Tucker;
2023-04-08;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Mancini, Trey;Wisdom, Patrick;Torrens, Luis;Bellinger, Cody;Gomes, Yan;Madrigal, Nick;
2023-04-09;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Bellinger, Cody;Mancini, Trey;Rios, Edwin;Hosmer, Eric;Madrigal, Nick;Barnhart, Tucker;
2023-04-10;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Bellinger, Cody;Mancini, Trey;Hosmer, Eric;Wisdom, Patrick;Gomes, Yan;Mastrobuoni, Miles;
2023-04-11;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Mancini, Trey;Bellinger, Cody;Wisdom, Patrick;Hosmer, Eric;Gomes, Yan;Velazquez, Nelson;
2023-04-12;Hoerner, Nico;Madrigal, Nick;Happ, Ian;Bellinger, Cody;Mancini, Trey;Hosmer, Eric;Wisdom, Patrick;Mastrobuoni, Miles;Barnhart, Tucker;
2023-04-14;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Suzuki, Seiya;Bellinger, Cody;Wisdom, Patrick;Hosmer, Eric;Rios, Edwin;Gomes, Yan;
2023-04-15;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Suzuki, Seiya;Bellinger, Cody;Mancini, Trey;Hosmer, Eric;Wisdom, Patrick;Barnhart, Tucker;
2023-04-16;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Suzuki, Seiya;Mancini, Trey;Wisdom, Patrick;Bellinger, Cody;Gomes, Yan;Torrens, Luis;
2023-04-17;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Suzuki, Seiya;Mancini, Trey;Wisdom, Patrick;Bellinger, Cody;Gomes, Yan;Madrigal, Nick;
2023-04-18;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Suzuki, Seiya;Wisdom, Patrick;Bellinger, Cody;Gomes, Yan;Hosmer, Eric;Torrens, Luis;
2023-04-19;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Bellinger, Cody;Rios, Edwin;Wisdom, Patrick;Hosmer, Eric;Madrigal, Nick;Barnhart, Tucker;
2023-04-20;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Suzuki, Seiya;Bellinger, Cody;Wisdom, Patrick;Hosmer, Eric;Mancini, Trey;Barnhart, Tucker;
2023-04-21;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Suzuki, Seiya;Wisdom, Patrick;Bellinger, Cody;Mancini, Trey;Gomes, Yan;Madrigal, Nick;
2023-04-22;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Suzuki, Seiya;Bellinger, Cody;Wisdom, Patrick;Hosmer, Eric;Mancini, Trey;Barnhart, Tucker;
2023-04-23;Hoerner, Nico;Swanson, Dansby;Bellinger, Cody;Suzuki, Seiya;Wisdom, Patrick;Hosmer, Eric;Torrens, Luis;Gomes, Yan;Madrigal, Nick;
2023-04-25;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Suzuki, Seiya;Wisdom, Patrick;Hosmer, Eric;Mancini, Trey;Gomes, Yan;Velazquez, Nelson;
2023-04-26;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Suzuki, Seiya;Mancini, Trey;Hosmer, Eric;Wisdom, Patrick;Gomes, Yan;Velazquez, Nelson;
2023-04-27;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Suzuki, Seiya;Mancini, Trey;Hosmer, Eric;Velazquez, Nelson;Madrigal, Nick;Barnhart, Tucker;
2023-04-28;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Suzuki, Seiya;Mancini, Trey;Bellinger, Cody;Wisdom, Patrick;Gomes, Yan;Velazquez, Nelson;
2023-04-29;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Suzuki, Seiya;Bellinger, Cody;Mancini, Trey;Hosmer, Eric;Wisdom, Patrick;Barnhart, Tucker;
2023-04-30;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Suzuki, Seiya;Bellinger, Cody;Wisdom, Patrick;Hosmer, Eric;Rios, Edwin;Gomes, Yan;
2023-05-01;Hoerner, Nico;Swanson, Dansby;Bellinger, Cody;Suzuki, Seiya;Mancini, Trey;Wisdom, Patrick;Gomes, Yan;Velazquez, Nelson;Madrigal, Nick;
2023-05-02;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Bellinger, Cody;Suzuki, Seiya;Rios, Edwin;Hosmer, Eric;Wisdom, Patrick;Barnhart, Tucker;
2023-05-03;Hoerner, Nico;Swanson, Dansby;Happ, Ian;Bellinger, Cody;Suzuki, Seiya;Mancini, Trey;Hosmer, Eric;Wisdom, Patrick;Barnhart, Tucker;
