date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2023-03-30, Yonathan Daza, Kris Bryant, Charlie Blackmon, C.J. Cron, Elehuris Montero, Ryan McMahon, Elias Diaz, Harold Castro, Ezequiel Tovar,
2023-03-31, Yonathan Daza, Kris Bryant, Charlie Blackmon, C.J. Cron, Ryan McMahon, Elehuris Montero, Elias Diaz, Harold Castro, Ezequiel Tovar,
2023-04-01, Yonathan Daza, Kris Bryant, Charlie Blackmon, C.J. Cron, Ryan McMahon, Elehuris Montero, Mike Moustakas, Elias Diaz, Ezequiel Tovar,
2023-04-02, Jurickson Profar, Kris Bryant, Charlie Blackmon, C.J. Cron, Ryan McMahon, Elehuris Montero, Yonathan Daza, Ezequiel Tovar, Brian Serven,
2023-04-03, Jurickson Profar, Kris Bryant, Charlie Blackmon, C.J. Cron, Ryan McMahon, Mike Moustakas, Elias Diaz, Harold Castro, Alan Trejo,
2023-04-04, Jurickson Profar, Yonathan Daza, Kris Bryant, C.J. Cron, Elehuris Montero, Ryan McMahon, Elias Diaz, Alan Trejo, Ezequiel Tovar,
2023-04-06, Jurickson Profar, Kris Bryant, Charlie Blackmon, C.J. Cron, Ryan McMahon, Elias Diaz, Elehuris Montero, Yonathan Daza, Ezequiel Tovar,
2023-04-07, Jurickson Profar, Kris Bryant, Charlie Blackmon, C.J. Cron, Elehuris Montero, Ryan McMahon, Elias Diaz, Yonathan Daza, Ezequiel Tovar,
2023-04-08, Charlie Blackmon, Yonathan Daza, Kris Bryant, Ryan McMahon, Mike Moustakas, Harold Castro, Alan Trejo, Ezequiel Tovar, Brian Serven,
2023-04-09, Jurickson Profar, Charlie Blackmon, Kris Bryant, Ryan McMahon, Elehuris Montero, Yonathan Daza, Elias Diaz, Ezequiel Tovar, Jurickson Profar,
2023-04-10, Jurickson Profar, Charlie Blackmon, Kris Bryant, C.J. Cron, Elias Diaz, Elehuris Montero, Yonathan Daza, Alan Trejo, Ezequiel Tovar,
2023-04-11, Jurickson Profar, Kris Bryant, Ryan McMahon, C.J. Cron, Mike Moustakas, Elias Diaz, Harold Castro, Yonathan Daza, Ezequiel Tovar,
2023-04-12, Jurickson Profar, Charlie Blackmon, Ryan McMahon, C.J. Cron, Mike Moustakas, Yonathan Daza, Harold Castro, Ezequiel Tovar, Brian Serven,
2023-04-14, Jurickson Profar, Kris Bryant, Charlie Blackmon, C.J. Cron, Elias Diaz, Ryan McMahon, Yonathan Daza, Alan Trejo, Ezequiel Tovar,
2023-04-15, Jurickson Profar, Kris Bryant, Charlie Blackmon, C.J. Cron, Ryan McMahon, Elias Diaz, Elehuris Montero, Yonathan Daza, Ezequiel Tovar,
2023-04-16, Jurickson Profar, Kris Bryant, Charlie Blackmon, C.J. Cron, Ryan McMahon, Elehuris Montero, Harold Castro, Alan Trejo, Brian Serven,
2023-04-17, Jurickson Profar, Kris Bryant, Charlie Blackmon, C.J. Cron, Elias Diaz, Ryan McMahon, Elehuris Montero, Yonathan Daza, Ezequiel Tovar,
2023-04-18, Jurickson Profar, Kris Bryant, Charlie Blackmon, C.J. Cron, Ryan McMahon, Elias Diaz, Yonathan Daza, Alan Trejo, Ezequiel Tovar,
2023-04-19, Jurickson Profar, Charlie Blackmon, Kris Bryant, Ryan McMahon, Mike Moustakas, Alan Trejo, Harold Castro, Ezequiel Tovar, Brian Serven,
