date;lineup1;lineup2;lineup3;lineup4;lineup5;lineup6;lineup7;lineup8;lineup9;
2023-03-30;Vierling, Matt;Baez, Javier;Greene, Riley;Haase, Eric;Torkelson, Spencer;Meadows, Austin;Cabrera, Miguel;Schoop, Jonathan;Kreidler, Ryan;
2023-04-01;Maton, Nick;Greene, Riley;Baez, Javier;Carpenter, Kerry;Meadows, Austin;Torkelson, Spencer;Cabrera, Miguel;McKinstry, Zach;Haase, Eric;
2023-04-02;Vierling, Matt;Greene, Riley;Baez, Javier;Meadows, Austin;Torkelson, Spencer;Maton, Nick;Cabrera, Miguel;Schoop, Jonathan;Rogers, Jake;
2023-04-03;Maton, Nick;Greene, Riley;Baez, Javier;Carpenter, Kerry;Torkelson, Spencer;Meadows, Austin;Vierling, Matt;McKinstry, Zach;Haase, Eric;
2023-04-04;Vierling, Matt;Baez, Javier;Greene, Riley;Torkelson, Spencer;Haase, Eric;Cabrera, Miguel;Schoop, Jonathan;Rogers, Jake;Kreidler, Ryan;
2023-04-05;Maton, Nick;Greene, Riley;Vierling, Matt;Meadows, Austin;Torkelson, Spencer;Carpenter, Kerry;Haase, Eric;McKinstry, Zach;Kreidler, Ryan;
2023-04-06;Vierling, Matt;Baez, Javier;Greene, Riley;Torkelson, Spencer;Haase, Eric;Cabrera, Miguel;Schoop, Jonathan;Rogers, Jake;Kreidler, Ryan;
2023-04-08;Baddoo, Akil;Greene, Riley;Baez, Javier;Carpenter, Kerry;Maton, Nick;Torkelson, Spencer;Vierling, Matt;McKinstry, Zach;Rogers, Jake;
2023-04-09;Baddoo, Akil;Greene, Riley;Baez, Javier;Carpenter, Kerry;Torkelson, Spencer;Maton, Nick;Cabrera, Miguel;Schoop, Jonathan;Haase, Eric;
2023-04-11;Baddoo, Akil;Greene, Riley;Vierling, Matt;Carpenter, Kerry;Baez, Javier;Torkelson, Spencer;Maton, Nick;Schoop, Jonathan;Rogers, Jake;
2023-04-12;Vierling, Matt;Maton, Nick;Greene, Riley;Baez, Javier;Carpenter, Kerry;Torkelson, Spencer;Cabrera, Miguel;Haase, Eric;Kreidler, Ryan;
2023-04-13;Maton, Nick;Nevin, Tyler;Greene, Riley;Carpenter, Kerry;Torkelson, Spencer;Baez, Javier;Baddoo, Akil;McKinstry, Zach;Rogers, Jake;
2023-04-14;Vierling, Matt;Nevin, Tyler;Greene, Riley;Baez, Javier;Haase, Eric;Torkelson, Spencer;Cabrera, Miguel;Schoop, Jonathan;Rogers, Jake;
2023-04-15;Maton, Nick;Greene, Riley;Baez, Javier;Carpenter, Kerry;Torkelson, Spencer;Baddoo, Akil;McKinstry, Zach;Haase, Eric;Vierling, Matt;
2023-04-18a;Maton, Nick;Greene, Riley;Baez, Javier;Carpenter, Kerry;Baddoo, Akil;Torkelson, Spencer;Cabrera, Miguel;McKinstry, Zach;Haase, Eric;
2023-04-18b;Maton, Nick;Greene, Riley;Baez, Javier;Carpenter, Kerry;Nevin, Tyler;Torkelson, Spencer;Vierling, Matt;Schoop, Jonathan;Rogers, Jake;
2023-04-19;Maton, Nick;Greene, Riley;Baez, Javier;Carpenter, Kerry;Baddoo, Akil;Torkelson, Spencer;Nevin, Tyler;Haase, Eric;Vierling, Matt;
2023-04-21;Maton, Nick;Greene, Riley;Baez, Javier;Carpenter, Kerry;Torkelson, Spencer;Vierling, Matt;Cabrera, Miguel;Schoop, Jonathan;Rogers, Jake;
2023-04-22;Maton, Nick;Baez, Javier;Greene, Riley;Carpenter, Kerry;Torkelson, Spencer;McKinstry, Zach;Baddoo, Akil;Nevin, Tyler;Haase, Eric;
2023-04-23;Baddoo, Akil;Greene, Riley;Vierling, Matt;Carpenter, Kerry;McKinstry, Zach;Torkelson, Spencer;Nevin, Tyler;Rogers, Jake;Schoop, Jonathan;
2023-04-24;Baddoo, Akil;Greene, Riley;Baez, Javier;Maton, Nick;Carpenter, Kerry;Torkelson, Spencer;Cabrera, Miguel;McKinstry, Zach;Haase, Eric;
2023-04-25;Vierling, Matt;Baez, Javier;Haase, Eric;Torkelson, Spencer;Nevin, Tyler;Cabrera, Miguel;Schoop, Jonathan;Rogers, Jake;Carpenter, Kerry;
2023-04-26;McKinstry, Zach;Greene, Riley;Baez, Javier;Maton, Nick;Carpenter, Kerry;Torkelson, Spencer;Baddoo, Akil;Rogers, Jake;Vierling, Matt;
2023-04-27;McKinstry, Zach;Greene, Riley;Torkelson, Spencer;Maton, Nick;Carpenter, Kerry;Haase, Eric;Cabrera, Miguel;Baddoo, Akil;Schoop, Jonathan;
2023-04-29a;McKinstry, Zach;Greene, Riley;Baez, Javier;Torkelson, Spencer;Maton, Nick;Baddoo, Akil;Vierling, Matt;Rogers, Jake;Short, Zack;
2023-04-29b;McKinstry, Zach;Greene, Riley;Baez, Javier;Maton, Nick;Haase, Eric;Baddoo, Akil;Cabrera, Miguel;Vierling, Matt;Ibanez, Andy;
2023-04-30;McKinstry, Zach;Greene, Riley;Baez, Javier;Torkelson, Spencer;Maton, Nick;Baddoo, Akil;Vierling, Matt;Rogers, Jake;Ibanez, Andy;
2023-05-03a;McKinstry, Zach;Greene, Riley;Baez, Javier;Maton, Nick;Torkelson, Spencer;Baddoo, Akil;Vierling, Matt;Haase, Eric;Ibanez, Andy;
