date;lineup1;lineup2;lineup3;lineup4;lineup5;lineup6;lineup7;lineup8;lineup9;
2023-03-30;Pena, Jeremy;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Diaz, Yainer;Meyers, Jake;Maldonado, Martin;Dubon, Mauricio;
2023-03-31;Pena, Jeremy;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Julks, Corey;Hensley, David;Meyers, Jake;Maldonado, Martin;
2023-04-01;Pena, Jeremy;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;McCormick, Chas;Hensley, David;Diaz, Yainer;Julks, Corey;
2023-04-02;Pena, Jeremy;Bregman, Alex;Tucker, Kyle;Abreu, Jose;Hensley, David;McCormick, Chas;Julks, Corey;Dubon, Mauricio;Maldonado, Martin;
2023-04-03;Pena, Jeremy;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;McCormick, Chas;Hensley, David;Dubon, Mauricio;Maldonado, Martin;
2023-04-04;Pena, Jeremy;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Julks, Corey;Meyers, Jake;Dubon, Mauricio;Maldonado, Martin;
2023-04-05;Pena, Jeremy;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Hensley, David;McCormick, Chas;Julks, Corey;Salazar, Cesar;
2023-04-07;Pena, Jeremy;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Hensley, David;McCormick, Chas;Dubon, Mauricio;Maldonado, Martin;
2023-04-08;McCormick, Chas;Bregman, Alex;Alvarez, Yordan;Tucker, Kyle;Pena, Jeremy;Hensley, David;Meyers, Jake;Maldonado, Martin;McCormick, Chas;
2023-04-09;McCormick, Chas;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Julks, Corey;Diaz, Yainer;Dubon, Mauricio;
2023-04-10;McCormick, Chas;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Julks, Corey;Dubon, Mauricio;Maldonado, Martin;
2023-04-11;McCormick, Chas;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Meyers, Jake;Dubon, Mauricio;Maldonado, Martin;
2023-04-12;McCormick, Chas;Bregman, Alex;Tucker, Kyle;Abreu, Jose;Hensley, David;Pena, Jeremy;Julks, Corey;Dubon, Mauricio;Diaz, Yainer;
2023-04-14;McCormick, Chas;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Hensley, David;Pena, Jeremy;Dubon, Mauricio;Maldonado, Martin;
2023-04-15;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Julks, Corey;Diaz, Yainer;Meyers, Jake;
2023-04-16;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Hensley, David;Meyers, Jake;Maldonado, Martin;
2023-04-17;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Julks, Corey;Meyers, Jake;Maldonado, Martin;
2023-04-18;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Julks, Corey;Meyers, Jake;Maldonado, Martin;
2023-04-19;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Hensley, David;Meyers, Jake;Maldonado, Martin;
2023-04-21;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Julks, Corey;Diaz, Yainer;Meyers, Jake;
2023-04-22;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Julks, Corey;Meyers, Jake;Maldonado, Martin;
2023-04-23;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Hensley, David;Meyers, Jake;Maldonado, Martin;
2023-04-24;Dubon, Mauricio;Pena, Jeremy;Tucker, Kyle;Bregman, Alex;Abreu, Jose;Julks, Corey;Diaz, Yainer;Meyers, Jake;Maldonado, Martin;
2023-04-25;Dubon, Mauricio;Pena, Jeremy;Tucker, Kyle;Bregman, Alex;Abreu, Jose;Julks, Corey;Meyers, Jake;Hensley, David;Maldonado, Martin;
2023-04-26;Dubon, Mauricio;Pena, Jeremy;Tucker, Kyle;Bregman, Alex;Abreu, Jose;Julks, Corey;Meyers, Jake;Hensley, David;Diaz, Yainer;
2023-04-28;Dubon, Mauricio;Pena, Jeremy;Tucker, Kyle;Bregman, Alex;Abreu, Jose;Julks, Corey;Meyers, Jake;Bannon, Rylan;Maldonado, Martin;
2023-04-29;Dubon, Mauricio;Pena, Jeremy;Alvarez, Yordan;Bregman, Alex;Tucker, Kyle;Abreu, Jose;Julks, Corey;Meyers, Jake;Maldonado, Martin;
2023-04-30;Pena, Jeremy;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Hensley, David;Meyers, Jake;Bannon, Rylan;Maldonado, Martin;
2023-05-01;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Julks, Corey;Meyers, Jake;Maldonado, Martin;
2023-05-02;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Julks, Corey;Diaz, Yainer;Meyers, Jake;
2023-05-03;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Meyers, Jake;Hensley, David;Maldonado, Martin;
2023-05-05;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Julks, Corey;Meyers, Jake;Maldonado, Martin;
2023-05-06;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Diaz, Yainer;Hensley, David;Meyers, Jake;
2023-05-07;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Julks, Corey;Meyers, Jake;Maldonado, Martin;
2023-05-08;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;McCormick, Chas;Diaz, Yainer;Hensley, David;
2023-05-09;Dubon, Mauricio;Bregman, Alex;Alvarez, Yordan;Abreu, Jose;Tucker, Kyle;Pena, Jeremy;Julks, Corey;Meyers, Jake;Maldonado, Martin;
2023-05-10;Pena, Jeremy;Bregman, Alex;Alvarez, Yordan;Tucker, Kyle;Julks, Corey;Diaz, Yainer;Hensley, David;Meyers, Jake;Maldonado, Martin;
