date;lineup1;lineup2;lineup3;lineup4;lineup5;lineup6;lineup7;lineup8;lineup9;
2023-03-30;Witt Jr., Bobby;Melendez, MJ;Perez, Salvador;Pasquantino, Vinnie;Reyes, Franmil;Massey, Michael;Dozier, Hunter;Isbel, Kyle;Olivares, Edward;
2023-04-01;Witt Jr., Bobby;Melendez, MJ;Perez, Salvador;Pasquantino, Vinnie;Reyes, Franmil;Dozier, Hunter;Isbel, Kyle;Eaton, Nate;Lopez, Nicky;
2023-04-02;Melendez, MJ;Witt Jr., Bobby;Pasquantino, Vinnie;Perez, Salvador;Massey, Michael;Olivares, Edward;Isbel, Kyle;Bradley Jr., Jackie;Duffy, Matt;
2023-04-03;Melendez, MJ;Pasquantino, Vinnie;Witt Jr., Bobby;Massey, Michael;Isbel, Kyle;Dozier, Hunter;Bradley Jr., Jackie;Lopez, Nicky;Eaton, Nate;
2023-04-04;Witt Jr., Bobby;Olivares, Edward;Perez, Salvador;Reyes, Franmil;Duffy, Matt;Dozier, Hunter;Bradley Jr., Jackie;Eaton, Nate;Lopez, Nicky;
2023-04-05;Witt Jr., Bobby;Melendez, MJ;Pasquantino, Vinnie;Perez, Salvador;Massey, Michael;Pratto, Nick;Reyes, Franmil;Lopez, Nicky;Bradley Jr., Jackie;
2023-04-06;Witt Jr., Bobby;Melendez, MJ;Perez, Salvador;Pasquantino, Vinnie;Olivares, Edward;Massey, Michael;Dozier, Hunter;Pratto, Nick;Eaton, Nate;
2023-04-07;Melendez, MJ;Massey, Michael;Perez, Salvador;Pasquantino, Vinnie;Isbel, Kyle;Dozier, Hunter;Lopez, Nicky;Bradley Jr., Jackie;Duffy, Matt;
2023-04-08;Witt Jr., Bobby;Olivares, Edward;Melendez, MJ;Perez, Salvador;Reyes, Franmil;Pasquantino, Vinnie;Duffy, Matt;Dozier, Hunter;Isbel, Kyle;
2023-04-09;Melendez, MJ;Witt Jr., Bobby;Pasquantino, Vinnie;Perez, Salvador;Massey, Michael;Isbel, Kyle;Reyes, Franmil;Lopez, Nicky;Bradley Jr., Jackie;
2023-04-10;Witt Jr., Bobby;Olivares, Edward;Pasquantino, Vinnie;Perez, Salvador;Duffy, Matt;Lopez, Nicky;Dozier, Hunter;Eaton, Nate;Bradley Jr., Jackie;
2023-04-11;Witt Jr., Bobby;Melendez, MJ;Perez, Salvador;Pasquantino, Vinnie;Olivares, Edward;Massey, Michael;Reyes, Franmil;Isbel, Kyle;Dozier, Hunter;
2023-04-12;Melendez, MJ;Witt Jr., Bobby;Pasquantino, Vinnie;Perez, Salvador;Isbel, Kyle;Reyes, Franmil;Massey, Michael;Olivares, Edward;Lopez, Nicky;
2023-04-14;Melendez, MJ;Witt Jr., Bobby;Pasquantino, Vinnie;Perez, Salvador;Isbel, Kyle;Olivares, Edward;Massey, Michael;Reyes, Franmil;Lopez, Nicky;
2023-04-15;Witt Jr., Bobby;Melendez, MJ;Pasquantino, Vinnie;Perez, Salvador;Isbel, Kyle;Massey, Michael;Dozier, Hunter;Lopez, Nicky;Bradley Jr., Jackie;
2023-04-16;Witt Jr., Bobby;Melendez, MJ;Pasquantino, Vinnie;Perez, Salvador;Olivares, Edward;Isbel, Kyle;Reyes, Franmil;Duffy, Matt;Lopez, Nicky;
2023-04-17;Witt Jr., Bobby;Melendez, MJ;Pasquantino, Vinnie;Perez, Salvador;Isbel, Kyle;Dozier, Hunter;Duffy, Matt;Lopez, Nicky;Eaton, Nate;
2023-04-18;Witt Jr., Bobby;Melendez, MJ;Perez, Salvador;Pasquantino, Vinnie;Reyes, Franmil;Massey, Michael;Olivares, Edward;Isbel, Kyle;Lopez, Nicky;
2023-04-19;Witt Jr., Bobby;Olivares, Edward;Pasquantino, Vinnie;Perez, Salvador;Reyes, Franmil;Melendez, MJ;Duffy, Matt;Dozier, Hunter;Bradley Jr., Jackie;
2023-04-21;Witt Jr., Bobby;Melendez, MJ;Pasquantino, Vinnie;Perez, Salvador;Massey, Michael;Isbel, Kyle;Olivares, Edward;Lopez, Nicky;Bradley Jr., Jackie;
2023-04-22;Witt Jr., Bobby;Olivares, Edward;Pasquantino, Vinnie;Perez, Salvador;Duffy, Matt;Melendez, MJ;Dozier, Hunter;Eaton, Nate;Isbel, Kyle;
2023-04-23;Witt Jr., Bobby;Melendez, MJ;Perez, Salvador;Pasquantino, Vinnie;Olivares, Edward;Massey, Michael;Duffy, Matt;Isbel, Kyle;Fermin, Freddy;
2023-04-24;Witt Jr., Bobby;Olivares, Edward;Pasquantino, Vinnie;Perez, Salvador;Reyes, Franmil;Massey, Michael;Duffy, Matt;Dozier, Hunter;Bradley Jr., Jackie;
2023-04-25;Witt Jr., Bobby;Pasquantino, Vinnie;Perez, Salvador;Olivares, Edward;Massey, Michael;Reyes, Franmil;Isbel, Kyle;Dozier, Hunter;Lopez, Nicky;
2023-04-26;Witt Jr., Bobby;Pasquantino, Vinnie;Melendez, MJ;Olivares, Edward;Massey, Michael;Isbel, Kyle;Fermin, Freddy;Lopez, Nicky;Bradley Jr., Jackie;
2023-04-27;Witt Jr., Bobby;Pasquantino, Vinnie;Melendez, MJ;Reyes, Franmil;Isbel, Kyle;Massey, Michael;Dozier, Hunter;Lopez, Nicky;Bradley Jr., Jackie;
2023-04-28;Witt Jr., Bobby;Pasquantino, Vinnie;Perez, Salvador;Melendez, MJ;Olivares, Edward;Pratto, Nick;Isbel, Kyle;Dozier, Hunter;Massey, Michael;
2023-04-29;Witt Jr., Bobby;Pasquantino, Vinnie;Melendez, MJ;Perez, Salvador;Pratto, Nick;Isbel, Kyle;Olivares, Edward;Massey, Michael;Lopez, Nicky;
2023-04-30;Witt Jr., Bobby;Pasquantino, Vinnie;Perez, Salvador;Olivares, Edward;Pratto, Nick;Reyes, Franmil;Dozier, Hunter;Bradley Jr., Jackie;Duffy, Matt;
2023-05-02;Witt Jr., Bobby;Pasquantino, Vinnie;Perez, Salvador;Melendez, MJ;Olivares, Edward;Pratto, Nick;Massey, Michael;Garcia, Maikel;Isbel, Kyle;
2023-05-03;Witt Jr., Bobby;Pasquantino, Vinnie;Perez, Salvador;Melendez, MJ;Olivares, Edward;Pratto, Nick;Massey, Michael;Garcia, Maikel;Isbel, Kyle;
2023-05-04;Witt Jr., Bobby;Pasquantino, Vinnie;Perez, Salvador;Melendez, MJ;Pratto, Nick;Garcia, Maikel;Massey, Michael;Isbel, Kyle;Fermin, Freddy;
2023-05-05;Melendez, MJ;Olivares, Edward;Pasquantino, Vinnie;Perez, Salvador;Pratto, Nick;Duffy, Matt;Dozier, Hunter;Bradley Jr., Jackie;Garcia, Maikel;
2023-05-06;Witt Jr., Bobby;Olivares, Edward;Pasquantino, Vinnie;Perez, Salvador;Garcia, Maikel;Massey, Michael;Dozier, Hunter;Fermin, Freddy;Bradley Jr., Jackie;
2023-05-07;Witt Jr., Bobby;Pasquantino, Vinnie;Perez, Salvador;Melendez, MJ;Pratto, Nick;Garcia, Maikel;Massey, Michael;Eaton, Nate;Bradley Jr., Jackie;
2023-05-08;Witt Jr., Bobby;Pasquantino, Vinnie;Perez, Salvador;Melendez, MJ;Olivares, Edward;Pratto, Nick;Garcia, Maikel;Massey, Michael;Bradley Jr., Jackie;
