date;lineup1;lineup2;lineup3;lineup4;lineup5;lineup6;lineup7;lineup8;lineup9;
2023-03-30;Kepler, Max;Correa, Carlos;Buxton, Byron;Larnach, Trevor;Miranda, Jose;Gordon, Nick;Gallo, Joey;Vazquez, Christian;Taylor, Michael A.;
2023-04-01;Kepler, Max;Correa, Carlos;Buxton, Byron;Larnach, Trevor;Miranda, Jose;Gordon, Nick;Gallo, Joey;Vazquez, Christian;Taylor, Michael A.;
2023-04-02;Kepler, Max;Correa, Carlos;Buxton, Byron;Larnach, Trevor;Miranda, Jose;Gordon, Nick;Gallo, Joey;Jeffers, Ryan;Taylor, Michael A.;
2023-04-03;Kepler, Max;Correa, Carlos;Buxton, Byron;Larnach, Trevor;Miranda, Jose;Gordon, Nick;Gallo, Joey;Vazquez, Christian;Taylor, Michael A.;
2023-04-04;Gordon, Nick;Correa, Carlos;Larnach, Trevor;Miranda, Jose;Gallo, Joey;Solano, Donovan;Castro, Willi;Vazquez, Christian;Taylor, Michael A.;
2023-04-05;Buxton, Byron;Correa, Carlos;Solano, Donovan;Miranda, Jose;Farmer, Kyle;Jeffers, Ryan;Castro, Willi;Larnach, Trevor;Taylor, Michael A.;
2023-04-07;Buxton, Byron;Correa, Carlos;Larnach, Trevor;Miranda, Jose;Solano, Donovan;Farmer, Kyle;Gallo, Joey;Vazquez, Christian;Taylor, Michael A.;
2023-04-08;Buxton, Byron;Correa, Carlos;Larnach, Trevor;Miranda, Jose;Gordon, Nick;Solano, Donovan;Farmer, Kyle;Vazquez, Christian;Taylor, Michael A.;
2023-04-09;Buxton, Byron;Larnach, Trevor;Miranda, Jose;Solano, Donovan;Gordon, Nick;Farmer, Kyle;Wallner, Matt;Jeffers, Ryan;Taylor, Michael A.;
2023-04-10;Larnach, Trevor;Miranda, Jose;Solano, Donovan;Gordon, Nick;Farmer, Kyle;Wallner, Matt;Castro, Willi;Vazquez, Christian;Taylor, Michael A.;
2023-04-11;Solano, Donovan;Buxton, Byron;Larnach, Trevor;Miranda, Jose;Gordon, Nick;Farmer, Kyle;Wallner, Matt;Vazquez, Christian;Taylor, Michael A.;
2023-04-12;Solano, Donovan;Buxton, Byron;Miranda, Jose;Gordon, Nick;Jeffers, Ryan;Larnach, Trevor;Farmer, Kyle;Julien, Edouard;Taylor, Michael A.;
2023-04-13;Julien, Edouard;Correa, Carlos;Buxton, Byron;Larnach, Trevor;Miranda, Jose;Solano, Donovan;Gordon, Nick;Vazquez, Christian;Taylor, Michael A.;
2023-04-14;Buxton, Byron;Correa, Carlos;Solano, Donovan;Miranda, Jose;Jeffers, Ryan;Garlick, Kyle;Castro, Willi;Julien, Edouard;Taylor, Michael A.;
2023-04-15;Julien, Edouard;Correa, Carlos;Buxton, Byron;Larnach, Trevor;Miranda, Jose;Solano, Donovan;Kepler, Max;Vazquez, Christian;Taylor, Michael A.;
2023-04-16;Julien, Edouard;Correa, Carlos;Buxton, Byron;Larnach, Trevor;Miranda, Jose;Solano, Donovan;Kepler, Max;Vazquez, Christian;Taylor, Michael A.;
2023-04-18;Solano, Donovan;Correa, Carlos;Buxton, Byron;Miranda, Jose;Garlick, Kyle;Vazquez, Christian;Taylor, Michael A.;Kepler, Max;Castro, Willi;
2023-04-19;Kepler, Max;Correa, Carlos;Buxton, Byron;Larnach, Trevor;Julien, Edouard;Miranda, Jose;Gallo, Joey;Jeffers, Ryan;Taylor, Michael A.;
2023-04-20;Kepler, Max;Correa, Carlos;Julien, Edouard;Larnach, Trevor;Gallo, Joey;Miranda, Jose;Gordon, Nick;Vazquez, Christian;Castro, Willi;
2023-04-21;Kepler, Max;Correa, Carlos;Buxton, Byron;Larnach, Trevor;Polanco, Jorge;Miranda, Jose;Gallo, Joey;Jeffers, Ryan;Taylor, Michael A.;
2023-04-22;Buxton, Byron;Gallo, Joey;Correa, Carlos;Kepler, Max;Polanco, Jorge;Larnach, Trevor;Miranda, Jose;Vazquez, Christian;Taylor, Michael A.;
2023-04-23;Solano, Donovan;Correa, Carlos;Buxton, Byron;Miranda, Jose;Jeffers, Ryan;Polanco, Jorge;Gallo, Joey;Castro, Willi;Taylor, Michael A.;
2023-04-24;Kepler, Max;Correa, Carlos;Polanco, Jorge;Buxton, Byron;Larnach, Trevor;Miranda, Jose;Gallo, Joey;Vazquez, Christian;Taylor, Michael A.;
2023-04-25;Solano, Donovan;Correa, Carlos;Polanco, Jorge;Buxton, Byron;Miranda, Jose;Jeffers, Ryan;Castro, Willi;Larnach, Trevor;Taylor, Michael A.;
2023-04-26;Kepler, Max;Correa, Carlos;Larnach, Trevor;Miranda, Jose;Gallo, Joey;Solano, Donovan;Gordon, Nick;Vazquez, Christian;Castro, Willi;
2023-04-27;Buxton, Byron;Correa, Carlos;Polanco, Jorge;Larnach, Trevor;Miranda, Jose;Gallo, Joey;Vazquez, Christian;Kepler, Max;Taylor, Michael A.;
