date;lineup1;lineup2;lineup3;lineup4;lineup5;lineup6;lineup7;lineup8;lineup9;
2023-03-30;LeMahieu, DJ;Judge, Aaron;Rizzo, Anthony;Stanton, Giancarlo;Donaldson, Josh;Torres, Gleyber;Cabrera, Oswaldo;Trevino, Jose;Volpe, Anthony;
2023-04-01;LeMahieu, DJ;Judge, Aaron;Rizzo, Anthony;Stanton, Giancarlo;Donaldson, Josh;Torres, Gleyber;Cabrera, Oswaldo;Trevino, Jose;Volpe, Anthony;
2023-04-02;Torres, Gleyber;Judge, Aaron;Rizzo, Anthony;Stanton, Giancarlo;Donaldson, Josh;Cabrera, Oswaldo;Kiner-Falefa, Isiah;Higashioka, Kyle;Volpe, Anthony;
2023-04-03;LeMahieu, DJ;Judge, Aaron;Rizzo, Anthony;Stanton, Giancarlo;Torres, Gleyber;Cordero, Franchy;Hicks, Aaron;Trevino, Jose;Volpe, Anthony;
2023-04-04;LeMahieu, DJ;Judge, Aaron;Torres, Gleyber;Stanton, Giancarlo;Donaldson, Josh;Hicks, Aaron;Kiner-Falefa, Isiah;Higashioka, Kyle;Volpe, Anthony;
2023-04-05;LeMahieu, DJ;Judge, Aaron;Rizzo, Anthony;Torres, Gleyber;Donaldson, Josh;Donaldson, Josh;Cabrera, Oswaldo;Cordero, Franchy;Trevino, Jose;
2023-04-07;LeMahieu, DJ;Judge, Aaron;Rizzo, Anthony;Stanton, Giancarlo;Torres, Gleyber;Cabrera, Oswaldo;Trevino, Jose;Cordero, Franchy;Volpe, Anthony;
2023-04-08;LeMahieu, DJ;Judge, Aaron;Rizzo, Anthony;Stanton, Giancarlo;Torres, Gleyber;Cabrera, Oswaldo;Hicks, Aaron;Higashioka, Kyle;Volpe, Anthony;
2023-04-09;LeMahieu, DJ;Judge, Aaron;Rizzo, Anthony;Stanton, Giancarlo;Torres, Gleyber;Cabrera, Oswaldo;Trevino, Jose;Cordero, Franchy;Volpe, Anthony;
2023-04-10;Torres, Gleyber;Judge, Aaron;Rizzo, Anthony;Stanton, Giancarlo;Calhoun, Willie;Trevino, Jose;Cordero, Franchy;Kiner-Falefa, Isiah;Volpe, Anthony;
2023-04-11;LeMahieu, DJ;Judge, Aaron;Rizzo, Anthony;Torres, Gleyber;Calhoun, Willie;Cabrera, Oswaldo;Cordero, Franchy;Trevino, Jose;Hicks, Aaron;
2023-04-12;Volpe, Anthony;Judge, Aaron;Rizzo, Anthony;Stanton, Giancarlo;Cordero, Franchy;Cabrera, Oswaldo;Kiner-Falefa, Isiah;Higashioka, Kyle;Hicks, Aaron;
2023-04-13;Torres, Gleyber;Judge, Aaron;Rizzo, Anthony;Stanton, Giancarlo;Calhoun, Willie;Cabrera, Oswaldo;Cordero, Franchy;Higashioka, Kyle;Volpe, Anthony;
2023-04-14;Volpe, Anthony;Judge, Aaron;Rizzo, Anthony;Stanton, Giancarlo;Torres, Gleyber;Cordero, Franchy;Cabrera, Oswaldo;Trevino, Jose;Kiner-Falefa, Isiah;
2023-04-15;LeMahieu, DJ;Judge, Aaron;Rizzo, Anthony;Stanton, Giancarlo;Torres, Gleyber;Cordero, Franchy;Cabrera, Oswaldo;Higashioka, Kyle;Volpe, Anthony;
