date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2023-03-30,Tony Kemp,Conner Capel,Aledmys Diaz,Seth Brown,Jesus Aguilar,Ramon Laureano,Jace Peterson,Shea Langeliers,Esteury Ruiz,
2023-04-01,Esteury Ruiz,Aledmys Diaz,Seth Brown,Jesus Aguilar,Brent Rooker,Ramon Laureano,Shea Langeliers,Tony Kemp,Nick Allen,
2023-04-02,Esteury Ruiz,Aledmys Diaz,Seth Brown,Jesus Aguilar,Brent Rooker,Ramon Laureano,Shea Langeliers,Tony Kemp,Nick Allen,
2023-04-03,Tony Kemp,Jace Peterson,Aledmys Diaz,Seth Brown,Conner Capel,Ramon Laureano,Ryan Noda,Shea Langeliers,Esteury Ruiz,
2023-04-04,Tony Kemp,Jace Peterson,Aledmys Diaz,Seth Brown,Jesus Aguilar,Ramon Laureano,Ryan Noda,Carlos Perez,Esteury Ruiz,
2023-04-05,Tony Kemp,Jace Peterson,Jesus Aguilar,Seth Brown,Ramon Laureano,Shea Langeliers,Ryan Noda,Nick Allen,Esteury Ruiz,
2023-04-07,Tony Kemp,Ryan Noda,Aledmys Diaz,Seth Brown,Jesus Aguilar,Ramon Laureano,Jace Peterson,Shea Langeliers,Esteury Ruiz,
2023-04-08,Esteury Ruiz,Aledmys Diaz,Seth Brown,Jesus Aguilar,Ramon Laureano,Brent Rooker,Shea Langeliers,Jace Peterson,Nick Allen,
2023-04-09,Tony Kemp,Jace Peterson,Aledmys Diaz,Jesus Aguilar,Ryan Noda,Ramon Laureano,Shea Langeliers,Conner Capel,Esteury Ruiz,
2023-04-10,Tony Kemp,Ryan Noda,Aledmys Diaz,Ramon Laureano,Jace Peterson,Kevin Smith,Conner Capel,Shea Langeliers,Esteury Ruiz,
2023-04-11,Tony Kemp,Ryan Noda,Jesus Aguilar,Brent Rooker,Jace Peterson,Kevin Smith,Conner Capel,Shea Langeliers,Esteury Ruiz,
2023-04-12,Tony Kemp,Ryan Noda,Ramon Laureano,Brent Rooker,Jace Peterson,Aledmys Diaz,Jesus Aguilar,Kevin Smith,Carlos Perez,
2023-04-13,Esteury Ruiz,Ramon Laureano,Brent Rooker,Jesus Aguilar,Aledmys Diaz,Kevin Smith,Carlos Perez,Shea Langeliers,Nick Allen,
2023-04-14,Tony Kemp,Ryan Noda,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Conner Capel,Shea Langeliers,Esteury Ruiz,
2023-04-15,Tony Kemp,Jace Peterson,Brent Rooker,Ramon Laureano,Aledmys Diaz,Jesus Aguilar,Conner Capel,Carlos Perez,Esteury Ruiz,
2023-04-16,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,Jace Peterson,Aledmys Diaz,Shea Langeliers,Ryan Noda,Kevin Smith,
2023-04-17,Esteury Ruiz,Ryan Noda,Aledmys Diaz,Brent Rooker,Tony Kemp,Jesus Aguilar,Shea Langeliers,Conner Capel,Kevin Smith,
2023-04-18,Esteury Ruiz,Ryan Noda,Aledmys Diaz,Brent Rooker,Jace Peterson,Tony Kemp,Carlos Perez,Conner Capel,Kevin Smith,
2023-04-19,Esteury Ruiz,Aledmys Diaz,Jesus Aguilar,Shea Langeliers,Carlos Perez,Kevin Smith,Tyler Wade,Jordan Diaz,Conner Capel,
2023-04-21,Esteury Ruiz,Ryan Noda,Brent Rooker,Jace Peterson,Aledmys Diaz,Conner Capel,Shea Langeliers,Tony Kemp,Tony Kemp,
2023-04-22,Esteury Ruiz,Jordan Diaz,Jesus Aguilar,Brent Rooker,Carlos Perez,Aledmys Diaz,Shea Langeliers,Kevin Smith,Conner Capel,
2023-04-23,Esteury Ruiz,Ryan Noda,Jesus Aguilar,Jace Peterson,Conner Capel,Jordan Diaz,Tony Kemp,Shea Langeliers,Tyler Wade,
2023-04-24,Esteury Ruiz,Jordan Diaz,Brent Rooker,Jesus Aguilar,Shea Langeliers,Aledmys Diaz,Carlos Perez,Kevin Smith,Tony Kemp,
2023-04-25,Esteury Ruiz,Ryan Noda,Brent Rooker,Jace Peterson,Jesus Aguilar,Conner Capel,Shea Langeliers,Tony Kemp,Kevin Smith,
2023-04-26,Esteury Ruiz,Jordan Diaz,Brent Rooker,Jesus Aguilar,Carlos Perez,Aledmys Diaz,Shea Langeliers,Kevin Smith,Conner Capel,
2023-04-27,Esteury Ruiz,Conner Capel,Brent Rooker,Jace Peterson,Shea Langeliers,Ryan Noda,Aledmys Diaz,Tony Kemp,Tyler Wade,
2023-04-28,Esteury Ruiz,Ryan Noda,Brent Rooker,Shea Langeliers,Conner Capel,Jordan Diaz,Jace Peterson,Kevin Smith,Tony Kemp,
2023-04-29,Esteury Ruiz,Ryan Noda,Brent Rooker,Carlos Perez,Conner Capel,Ramon Laureano,Jace Peterson,Aledmys Diaz,Jordan Diaz,
2023-04-30,Esteury Ruiz,Ramon Laureano,Brent Rooker,Jesus Aguilar,Carlos Perez,Shea Langeliers,Jordan Diaz,Jace Peterson,Kevin Smith,
2023-05-02,Esteury Ruiz,Ryan Noda,Brent Rooker,Ramon Laureano,Jace Peterson,Shea Langeliers,Conner Capel,Tony Kemp,Nick Allen,
2023-05-03,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,JJ Bleday,Shea Langeliers,Jace Peterson,Ryan Noda,Nick Allen,
2023-05-04,Esteury Ruiz,Tony Kemp,Brent Rooker,Ramon Laureano,JJ Bleday,Jesus Aguilar,Carlos Perez,Jace Peterson,Nick Allen,
2023-05-05,Esteury Ruiz,Ryan Noda,Brent Rooker,Ramon Laureano,JJ Bleday,Shea Langeliers,Tony Kemp,Jace Peterson,Nick Allen,
2023-05-06,Esteury Ruiz,Ryan Noda,Brent Rooker,Ramon Laureano,JJ Bleday,Shea Langeliers,Tony Kemp,Jace Peterson,Kevin Smith,
2023-05-07,Esteury Ruiz,Ryan Noda,Brent Rooker,Jesus Aguilar,Ramon Laureano,Carlos Perez,Jordan Diaz,Kevin Smith,Nick Allen,
2023-05-08,Esteury Ruiz,Carlos Perez,Brent Rooker,Jesus Aguilar,Ramon Laureano,Jordan Diaz,Shea Langeliers,Kevin Smith,Nick Allen,
2023-05-09,Esteury Ruiz,Ryan Noda,Brent Rooker,JJ Bleday,Shea Langeliers,Tony Kemp,Jordan Diaz,Jace Peterson,Nick Allen,
2023-05-10,Esteury Ruiz,Ryan Noda,Brent Rooker,JJ Bleday,Jordan Diaz,Tony Kemp,Carlos Perez,Jace Peterson,Kevin Smith,
2023-05-11,Esteury Ruiz,Ryan Noda,Brent Rooker,JJ Bleday,Shea Langeliers,Jace Peterson,Jordan Diaz,Jordan Diaz,Tony Kemp,
2023-05-12,Esteury Ruiz,Ramon Laureano,Brent Rooker,Jesus Aguilar,Carlos Perez,Jordan Diaz,Shea Langeliers,Kevin Smith,Nick Allen,
2023-05-13,Esteury Ruiz,Ryan Noda,JJ Bleday,Shea Langeliers,Jace Peterson,Ramon Laureano,Jordan Diaz,Tony Kemp,Nick Allen,
