date;lineup1;lineup2;lineup3;lineup4;lineup5;lineup6;lineup7;lineup8;lineup9;
2023-03-30;Turner, Trea;Schwarber, Kyle;Realmuto, J.T.;Hall, Darick;Castellanos, Nick;Stott, Bryson;Bohm, Alec;Cave, Jake;Marsh, Brandon;
2023-04-01;Turner, Trea;Schwarber, Kyle;Realmuto, J.T.;Hall, Darick;Castellanos, Nick;Stott, Bryson;Bohm, Alec;Cave, Jake;Marsh, Brandon;
2023-04-02;Turner, Trea;Schwarber, Kyle;Realmuto, J.T.;Castellanos, Nick;Bohm, Alec;Harrison, Josh;Sosa, Edmundo;Stott, Bryson;Pache, Cristian;
2023-04-03;Turner, Trea;Schwarber, Kyle;Realmuto, J.T.;Castellanos, Nick;Bohm, Alec;Hall, Darick;Sosa, Edmundo;Stott, Bryson;Marsh, Brandon;
2023-04-04;Turner, Trea;Schwarber, Kyle;Bohm, Alec;Hall, Darick;Castellanos, Nick;Stott, Bryson;Cave, Jake;Marsh, Brandon;Stubbs, Garrett;
2023-04-05;Turner, Trea;Schwarber, Kyle;Realmuto, J.T.;Hall, Darick;Castellanos, Nick;Stott, Bryson;Bohm, Alec;Cave, Jake;Pache, Cristian;
2023-04-07;Turner, Trea;Schwarber, Kyle;Realmuto, J.T.;Castellanos, Nick;Stott, Bryson;Bohm, Alec;Cave, Jake;Clemens, Kody;Marsh, Brandon;
2023-04-08;Turner, Trea;Schwarber, Kyle;Realmuto, J.T.;Castellanos, Nick;Bohm, Alec;Harrison, Josh;Sosa, Edmundo;Stott, Bryson;Pache, Cristian;
2023-04-09;Turner, Trea;Schwarber, Kyle;Realmuto, J.T.;Castellanos, Nick;Stott, Bryson;Bohm, Alec;Marsh, Brandon;Sosa, Edmundo;Cave, Jake;
2023-04-10;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Bohm, Alec;Marsh, Brandon;Cave, Jake;Clemens, Kody;Stubbs, Garrett;
2023-04-11;Turner, Trea;Schwarber, Kyle;Realmuto, J.T.;Castellanos, Nick;Bohm, Alec;Harrison, Josh;Sosa, Edmundo;Stott, Bryson;Pache, Cristian;
2023-04-12;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Realmuto, J.T.;Marsh, Brandon;Bohm, Alec;Cave, Jake;Clemens, Kody;
2023-04-13;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Realmuto, J.T.;Bohm, Alec;Harrison, Josh;Sosa, Edmundo;Pache, Cristian;
2023-04-14;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Marsh, Brandon;Realmuto, J.T.;Bohm, Alec;Cave, Jake;Sosa, Edmundo;
2023-04-15;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Marsh, Brandon;Bohm, Alec;Cave, Jake;Sosa, Edmundo;Stubbs, Garrett;
2023-04-16;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Marsh, Brandon;Realmuto, J.T.;Bohm, Alec;Cave, Jake;Harrison, Josh;
2023-04-18a;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Marsh, Brandon;Realmuto, J.T.;Bohm, Alec;Cave, Jake;Harrison, Josh;
2023-04-18b;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Marsh, Brandon;Bohm, Alec;Clemens, Kody;Stubbs, Garrett;Pache, Cristian;
2023-04-19;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Marsh, Brandon;Realmuto, J.T.;Bohm, Alec;Cave, Jake;Harrison, Josh;
2023-04-20;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Marsh, Brandon;Realmuto, J.T.;Bohm, Alec;Cave, Jake;Harrison, Josh;
2023-04-21;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Marsh, Brandon;Realmuto, J.T.;Bohm, Alec;Cave, Jake;Sosa, Edmundo;
2023-04-22;Turner, Trea;Bohm, Alec;Schwarber, Kyle;Castellanos, Nick;Realmuto, J.T.;Sosa, Edmundo;Harrison, Josh;Marsh, Brandon;Pache, Cristian;
2023-04-23;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Marsh, Brandon;Realmuto, J.T.;Bohm, Alec;Clemens, Kody;Clemens, Kody;
2023-04-25;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Realmuto, J.T.;Bohm, Alec;Sosa, Edmundo;Marsh, Brandon;Pache, Cristian;
2023-04-26;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Marsh, Brandon;Realmuto, J.T.;Bohm, Alec;Cave, Jake;Sosa, Edmundo;
2023-04-27;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Marsh, Brandon;Bohm, Alec;Clemens, Kody;Sosa, Edmundo;Stubbs, Garrett;
2023-04-28;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Realmuto, J.T.;Bohm, Alec;Harrison, Josh;Sosa, Edmundo;Pache, Cristian;
2023-04-29;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Marsh, Brandon;Realmuto, J.T.;Bohm, Alec;Clemens, Kody;Cave, Jake;
2023-04-30;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Marsh, Brandon;Realmuto, J.T.;Bohm, Alec;Clemens, Kody;Sosa, Edmundo;
2023-05-01;Stott, Bryson;Turner, Trea;Schwarber, Kyle;Castellanos, Nick;Marsh, Brandon;Realmuto, J.T.;Bohm, Alec;Clemens, Kody;Sosa, Edmundo;
2023-05-02;Schwarber, Kyle;Turner, Trea;Harper, Bryce;Castellanos, Nick;Stott, Bryson;Realmuto, J.T.;Bohm, Alec;Marsh, Brandon;Sosa, Edmundo;
2023-05-03;Schwarber, Kyle;Turner, Trea;Harper, Bryce;Castellanos, Nick;Stott, Bryson;Bohm, Alec;Marsh, Brandon;Sosa, Edmundo;Stubbs, Garrett;
2023-05-05;Schwarber, Kyle;Turner, Trea;Harper, Bryce;Castellanos, Nick;Realmuto, J.T.;Bohm, Alec;Harrison, Josh;Sosa, Edmundo;Guthrie, Dalton;
2023-05-06;Schwarber, Kyle;Turner, Trea;Harper, Bryce;Castellanos, Nick;Stott, Bryson;Realmuto, J.T.;Bohm, Alec;Marsh, Brandon;Sosa, Edmundo;
2023-05-07;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Bohm, Alec;Bohm, Alec;Marsh, Brandon;
2023-05-09;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Bohm, Alec;Marsh, Brandon;Sosa, Edmundo;
2023-05-10;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Bohm, Alec;Marsh, Brandon;Sosa, Edmundo;
2023-05-12;Turner, Trea;Bohm, Alec;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Sosa, Edmundo;Harrison, Josh;Guthrie, Dalton;
2023-05-13;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Bohm, Alec;Marsh, Brandon;Clemens, Kody;Stubbs, Garrett;
2023-05-14;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Bohm, Alec;Marsh, Brandon;Sosa, Edmundo;
2023-05-15;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Bohm, Alec;Marsh, Brandon;Sosa, Edmundo;
2023-05-16;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Bohm, Alec;Marsh, Brandon;Clemens, Kody;
2023-05-17;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Bohm, Alec;Marsh, Brandon;Clemens, Kody;
2023-05-19;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Bohm, Alec;Marsh, Brandon;Sosa, Edmundo;
2023-05-20;Stott, Bryson;Castellanos, Nick;Harper, Bryce;Realmuto, J.T.;Schwarber, Kyle;Bohm, Alec;Marsh, Brandon;Clemens, Kody;Sosa, Edmundo;
2023-05-21;Turner, Trea;Castellanos, Nick;Harper, Bryce;Realmuto, J.T.;Schwarber, Kyle;Bohm, Alec;Sosa, Edmundo;Harrison, Josh;Guthrie, Dalton;
2023-05-22;Turner, Trea;Castellanos, Nick;Harper, Bryce;Realmuto, J.T.;Schwarber, Kyle;Bohm, Alec;Stott, Bryson;Harrison, Josh;Guthrie, Dalton;
2023-05-23;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Clemens, Kody;Sosa, Edmundo;Guthrie, Dalton;
2023-05-24;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Clemens, Kody;Bohm, Alec;Marsh, Brandon;Stubbs, Garrett;
2023-05-25;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Bohm, Alec;Marsh, Brandon;Sosa, Edmundo;
2023-05-26;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Bohm, Alec;Marsh, Brandon;Harrison, Josh;
2023-05-27;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Bohm, Alec;Marsh, Brandon;Clemens, Kody;
2023-05-28;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Clemens, Kody;Marsh, Brandon;Sosa, Edmundo;
2023-05-30;Stott, Bryson;Turner, Trea;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Bohm, Alec;Marsh, Brandon;Clemens, Kody;Guthrie, Dalton;
2023-05-31;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Realmuto, J.T.;Marsh, Brandon;Clemens, Kody;Sosa, Edmundo;
2023-06-01;Stott, Bryson;Turner, Trea;Harper, Bryce;Castellanos, Nick;Schwarber, Kyle;Marsh, Brandon;Clemens, Kody;Sosa, Edmundo;Stubbs, Garrett;
2023-06-02;Schwarber, Kyle;Stott, Bryson;Harper, Bryce;Castellanos, Nick;Turner, Trea;Realmuto, J.T.;Marsh, Brandon;Clemens, Kody;Ellis, Drew;
2023-06-03;Schwarber, Kyle;Castellanos, Nick;Harper, Bryce;Turner, Trea;Realmuto, J.T.;Marsh, Brandon;Harrison, Josh;Ellis, Drew;Sosa, Edmundo;
2023-06-04;Schwarber, Kyle;Castellanos, Nick;Harper, Bryce;Turner, Trea;Stott, Bryson;Realmuto, J.T.;Marsh, Brandon;Clemens, Kody;Ellis, Drew;
2023-06-05;Schwarber, Kyle;Castellanos, Nick;Harper, Bryce;Turner, Trea;Realmuto, J.T.;Stott, Bryson;Ellis, Drew;Sosa, Edmundo;Guthrie, Dalton;
2023-06-06;Schwarber, Kyle;Castellanos, Nick;Harper, Bryce;Turner, Trea;Realmuto, J.T.;Stott, Bryson;Marsh, Brandon;Ellis, Drew;Clemens, Kody;
2023-06-08;Schwarber, Kyle;Castellanos, Nick;Harper, Bryce;Turner, Trea;Realmuto, J.T.;Stott, Bryson;Marsh, Brandon;Clemens, Kody;Harrison, Josh;
