date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2023-03-30, Oneil Cruz, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Canaan Smith-Njigba, Ke'Bryan Hayes, Jack Suwinski, Ji Hwan Bae, Austin Hedges,
2023-04-01, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Connor Joe, Oneil Cruz, Rodolfo Castro, Ji Hwan Bae, Austin Hedges,
2023-04-02, Oneil Cruz, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Ji Man Choi, Ke'Bryan Hayes, Connor Joe, Ji Hwan Bae, Austin Hedges,
2023-04-03, Oneil Cruz, Bryan Reynolds, Ji Man Choi, Carlos Santana, Ke'Bryan Hayes, Canaan Smith-Njigba, Jack Suwinski, Rodolfo Castro, Jason Delay,
2023-04-04, Oneil Cruz, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Ji Man Choi, Ke'Bryan Hayes, Canaan Smith-Njigba, Ji Hwan Bae, Tyler Heineman,
2023-04-05, Oneil Cruz, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Ke'Bryan Hayes, Jack Suwinski, Rodolfo Castro, Ji Hwan Bae, Jason Delay,
2023-04-07, Oneil Cruz, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Ke'Bryan Hayes, Jack Suwinski, Connor Joe, Ji Hwan Bae, Jason Delay,
2023-04-08, Oneil Cruz, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Ji Man Choi, Ke'Bryan Hayes, Ji Hwan Bae, Rodolfo Castro, Jason Delay,
2023-04-09, Oneil Cruz, Bryan Reynolds, Ke'Bryan Hayes, Carlos Santana, Ji Man Choi, Canaan Smith-Njigba, Rodolfo Castro, Jack Suwinski, Tyler Heineman,
2023-04-10, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Ji Man Choi, Connor Joe, Rodolfo Castro, Mark Mathias, Jason Delay,
2023-04-11, Ji Hwan Bae, Bryan Reynolds, Ji Man Choi, Carlos Santana, Ke'Bryan Hayes, Canaan Smith-Njigba, Rodolfo Castro, Jack Suwinski, Jason Delay,
2023-04-12, Ji Hwan Bae, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Ke'Bryan Hayes, Connor Joe, Jack Suwinski, Mark Mathias, Tyler Heineman,
2023-04-13, Ke'Bryan Hayes, Andrew McCutchen, Carlos Santana, Ji Man Choi, Connor Joe, Rodolfo Castro, Mark Mathias, Ji Hwan Bae, Jason Delay,
2023-04-14, Ji Hwan Bae, Bryan Reynolds, Andrew McCutchen, Connor Joe, Jack Suwinski, Rodolfo Castro, Canaan Smith-Njigba, Mark Mathias, Austin Hedges,
2023-04-15, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Connor Joe, Rodolfo Castro, Mark Mathias, Ji Hwan Bae, Jason Delay,
2023-04-16, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Canaan Smith-Njigba, Jack Suwinski, Rodolfo Castro, Tucupita Marcano, Austin Hedges,
2023-04-17, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Connor Joe, Rodolfo Castro, Mark Mathias, Ji Hwan Bae, Austin Hedges,
2023-04-18, Ke'Bryan Hayes, Bryan Reynolds, Connor Joe, Carlos Santana, Jack Suwinski, Canaan Smith-Njigba, Ji Hwan Bae, Tucupita Marcano, Austin Hedges,
2023-04-19, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Connor Joe, Rodolfo Castro, Mark Mathias, Jack Suwinski, Jason Delay,
2023-04-20, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Connor Joe, Jack Suwinski, Rodolfo Castro, Ji Hwan Bae, Austin Hedges,
2023-04-21, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Connor Joe, Jack Suwinski, Mark Mathias, Rodolfo Castro, Austin Hedges,
2023-04-22, Ke'Bryan Hayes, Bryan Reynolds, Connor Joe, Carlos Santana, Jack Suwinski, Rodolfo Castro, Ji Hwan Bae, Tucupita Marcano, Austin Hedges,
2023-04-23, Ke'Bryan Hayes, Tucupita Marcano, Andrew McCutchen, Carlos Santana, Jack Suwinski, Rodolfo Castro, Canaan Smith-Njigba, Ji Hwan Bae, Jason Delay,
2023-04-25, Ke'Bryan Hayes, Tucupita Marcano, Andrew McCutchen, Carlos Santana, Jack Suwinski, Connor Joe, Rodolfo Castro, Ji Hwan Bae, Austin Hedges,
2023-04-26, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Jack Suwinski, Connor Joe, Rodolfo Castro, Ji Hwan Bae, Jason Delay,
2023-04-27, Tucupita Marcano, Bryan Reynolds, Andrew McCutchen, Connor Joe, Rodolfo Castro, Jack Suwinski, Mark Mathias, Drew Maggi, Austin Hedges,
2023-04-29a, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Connor Joe, Rodolfo Castro, Miguel Andujar, Mark Mathias, Ji Hwan Bae, Austin Hedges,
2023-04-29b, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Jack Suwinski, Connor Joe, Rodolfo Castro, Tucupita Marcano, Jason Delay,
2023-04-30, Ke'Bryan Hayes, Bryan Reynolds, Miguel Andujar, Carlos Santana, Jack Suwinski, Connor Joe, Tucupita Marcano, Ji Hwan Bae, Austin Hedges,
2023-05-02, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Jack Suwinski, Connor Joe, Rodolfo Castro, Mark Mathias, Austin Hedges,
2023-05-03, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Connor Joe, Rodolfo Castro, Miguel Andujar, Ji Hwan Bae, Austin Hedges,
2023-05-04, Tucupita Marcano, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Jack Suwinski, Connor Joe, Ke'Bryan Hayes, Ji Hwan Bae, Jason Delay,
2023-05-05, Ji Hwan Bae, Bryan Reynolds, Carlos Santana, Jack Suwinski, Miguel Andujar, Rodolfo Castro, Tucupita Marcano, Mark Mathias, Mark Mathias,
2023-05-06, Tucupita Marcano, Bryan Reynolds, Connor Joe, Carlos Santana, Jack Suwinski, Ke'Bryan Hayes, Miguel Andujar, Rodolfo Castro, Austin Hedges,
2023-05-07, Ke'Bryan Hayes, Bryan Reynolds, Connor Joe, Carlos Santana, Rodolfo Castro, Jack Suwinski, Miguel Andujar, Mark Mathias, Jason Delay,
2023-05-08, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Connor Joe, Rodolfo Castro, Jack Suwinski, Chris Owings, Austin Hedges,
2023-05-09, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Jack Suwinski, Josh Palacios, Jason Delay, Tucupita Marcano, Ji Hwan Bae,
2023-05-10, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Connor Joe, Jack Suwinski, Tucupita Marcano, Chris Owings, Austin Hedges,
2023-05-12, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Jack Suwinski, Connor Joe, Tucupita Marcano, Ji Hwan Bae, Austin Hedges,
2023-05-13, Ke'Bryan Hayes, Bryan Reynolds, Connor Joe, Carlos Santana, Jack Suwinski, Miguel Andujar, Ji Hwan Bae, Chris Owings, Jason Delay,
2023-05-14, Andrew McCutchen, Bryan Reynolds, Carlos Santana, Jack Suwinski, Ke'Bryan Hayes, Tucupita Marcano, Ji Hwan Bae, Josh Palacios, Austin Hedges,
2023-05-16, Andrew McCutchen, Bryan Reynolds, Carlos Santana, Jack Suwinski, Ke'Bryan Hayes, Tucupita Marcano, Ji Hwan Bae, Josh Palacios, Jason Delay,
2023-05-17, Ke'Bryan Hayes, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Connor Joe, Rodolfo Castro, Ji Hwan Bae, Chris Owings, Austin Hedges,
2023-05-19, Andrew McCutchen, Bryan Reynolds, Jack Suwinski, Carlos Santana, Ke'Bryan Hayes, Tucupita Marcano, Ji Hwan Bae, Josh Palacios, Austin Hedges,
2023-05-20, Andrew McCutchen, Bryan Reynolds, Jack Suwinski, Carlos Santana, Ke'Bryan Hayes, Tucupita Marcano, Ji Hwan Bae, Josh Palacios, Austin Hedges,
2023-05-21, Andrew McCutchen, Bryan Reynolds, Jack Suwinski, Carlos Santana, Ke'Bryan Hayes, Connor Joe, Rodolfo Castro, Tucupita Marcano, Jason Delay,
2023-05-22, Andrew McCutchen, Bryan Reynolds, Jack Suwinski, Carlos Santana, Ke'Bryan Hayes, Ke'Bryan Hayes, Tucupita Marcano, Connor Joe, Ji Hwan Bae,
2023-05-23, Andrew McCutchen, Bryan Reynolds, Jack Suwinski, Carlos Santana, Ke'Bryan Hayes, Tucupita Marcano, Josh Palacios, Ji Hwan Bae, Austin Hedges,
2023-05-24, Andrew McCutchen, Bryan Reynolds, Ke'Bryan Hayes, Carlos Santana, Connor Joe, Rodolfo Castro, Jack Suwinski, Jason Delay, Chris Owings,
2023-05-26, Andrew McCutchen, Bryan Reynolds, Connor Joe, Carlos Santana, Jack Suwinski, Ke'Bryan Hayes, Tucupita Marcano, Ji Hwan Bae, Austin Hedges,
2023-05-27, Tucupita Marcano, Bryan Reynolds, Connor Joe, Carlos Santana, Jack Suwinski, Ke'Bryan Hayes, Ji Hwan Bae, Josh Palacios, Jason Delay,
2023-05-28, Andrew McCutchen, Bryan Reynolds, Connor Joe, Carlos Santana, Rodolfo Castro, Ke'Bryan Hayes, Ji Hwan Bae, Chris Owings, Austin Hedges,
2023-05-29, Tucupita Marcano, Bryan Reynolds, Andrew McCutchen, Jack Suwinski, Connor Joe, Ji Hwan Bae, Rodolfo Castro, Josh Palacios, Austin Hedges,
2023-05-30, Andrew McCutchen, Tucupita Marcano, Connor Joe, Jack Suwinski, Ke'Bryan Hayes, Ji Hwan Bae, Rodolfo Castro, Jason Delay, Josh Palacios,
2023-05-31, Andrew McCutchen, Bryan Reynolds, Connor Joe, Rodolfo Castro, Ke'Bryan Hayes, Jack Suwinski, Chris Owings, Ji Hwan Bae, Austin Hedges,
2023-06-02, Tucupita Marcano, Bryan Reynolds, Andrew McCutchen, Jack Suwinski, Carlos Santana, Ji Hwan Bae, Ke'Bryan Hayes, Josh Palacios, Austin Hedges,
2023-06-03, Andrew McCutchen, Bryan Reynolds, Connor Joe, Carlos Santana, Rodolfo Castro, Ke'Bryan Hayes, Tucupita Marcano, Mark Mathias, Jason Delay,
2023-06-04, Tucupita Marcano, Bryan Reynolds, Jack Suwinski, Carlos Santana, Ke'Bryan Hayes, Ji Hwan Bae, Rodolfo Castro, Josh Palacios, Austin Hedges,
2023-06-05, Andrew McCutchen, Bryan Reynolds, Connor Joe, Carlos Santana, Rodolfo Castro, Ke'Bryan Hayes, Ji Hwan Bae, Mark Mathias, Austin Hedges,
2023-06-06, Tucupita Marcano, Bryan Reynolds, Andrew McCutchen, Jack Suwinski, Connor Joe, Josh Palacios, Ke'Bryan Hayes, Rodolfo Castro, Austin Hedges,
2023-06-07, Andrew McCutchen, Bryan Reynolds, Connor Joe, Carlos Santana, Ke'Bryan Hayes, Rodolfo Castro, Mark Mathias, Ji Hwan Bae, Jason Delay,
2023-06-09, Tucupita Marcano, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Jack Suwinski, Ke'Bryan Hayes, Ji Hwan Bae, Josh Palacios, Austin Hedges,
2023-06-10, Andrew McCutchen, Bryan Reynolds, Connor Joe, Carlos Santana, Carlos Santana, Jack Suwinski, Ke'Bryan Hayes, Ji Hwan Bae, Tucupita Marcano,
2023-06-11, Andrew McCutchen, Bryan Reynolds, Connor Joe, Carlos Santana, Jack Suwinski, Ke'Bryan Hayes, Ji Hwan Bae, Tucupita Marcano, Austin Hedges,
2023-06-13, Tucupita Marcano, Bryan Reynolds, Jack Suwinski, Carlos Santana, Connor Joe, Josh Palacios, Ke'Bryan Hayes, Ji Hwan Bae, Austin Hedges,
2023-06-14, Andrew McCutchen, Bryan Reynolds, Connor Joe, Carlos Santana, Ke'Bryan Hayes, Jack Suwinski, Rodolfo Castro, Mark Mathias, Austin Hedges,
2023-06-15, Tucupita Marcano, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Jack Suwinski, Ke'Bryan Hayes, Josh Palacios, Ji Hwan Bae, Jason Delay,
2023-06-16, Tucupita Marcano, Bryan Reynolds, Andrew McCutchen, Carlos Santana, Jack Suwinski, Josh Palacios, Ke'Bryan Hayes, Ji Hwan Bae, Austin Hedges,
2023-06-17, Andrew McCutchen, Bryan Reynolds, Connor Joe, Carlos Santana, Ke'Bryan Hayes, Rodolfo Castro, Ji Hwan Bae, Mark Mathias, Austin Hedges,
2023-06-18, Ji Hwan Bae, Bryan Reynolds, Jack Suwinski, Carlos Santana, Connor Joe, Tucupita Marcano, Josh Palacios, Rodolfo Castro, Jason Delay,
