date;lineup1;lineup2;lineup3;lineup4;lineup5;lineup6;lineup7;lineup8;lineup9;
2023-03-30;Grisham, Trent;Soto, Juan;Machado, Manny;Bogaerts, Xander;Cronenworth, Jake;Carpenter, Matt;Nola, Austin;Kim, Ha-Seong;Dahl, David;
2023-03-31;Bogaerts, Xander;Soto, Juan;Machado, Manny;Cruz, Nelson;Cronenworth, Jake;Nola, Austin;Kim, Ha-Seong;Grisham, Trent;Azocar, Jose;
2023-04-01;Grisham, Trent;Machado, Manny;Soto, Juan;Bogaerts, Xander;Cronenworth, Jake;Carpenter, Matt;Campusano, Luis;Odor, Rougned;Dahl, David;
2023-04-02;Bogaerts, Xander;Machado, Manny;Soto, Juan;Cruz, Nelson;Cronenworth, Jake;Kim, Ha-Seong;Nola, Austin;Grisham, Trent;Azocar, Jose;
2023-04-03;Grisham, Trent;Soto, Juan;Machado, Manny;Bogaerts, Xander;Cronenworth, Jake;Carpenter, Matt;Campusano, Luis;Odor, Rougned;Kim, Ha-Seong;
2023-04-04;Grisham, Trent;Soto, Juan;Bogaerts, Xander;Cronenworth, Jake;Carpenter, Matt;Nola, Austin;Dahl, David;Kim, Ha-Seong;Grisham, Trent;
2023-04-06;Grisham, Trent;Soto, Juan;Machado, Manny;Bogaerts, Xander;Cronenworth, Jake;Carpenter, Matt;Nola, Austin;Odor, Rougned;Kim, Ha-Seong;
2023-04-07;Bogaerts, Xander;Soto, Juan;Machado, Manny;Cruz, Nelson;Cronenworth, Jake;Kim, Ha-Seong;Nola, Austin;Grisham, Trent;Azocar, Jose;
2023-04-08;Grisham, Trent;Machado, Manny;Soto, Juan;Bogaerts, Xander;Carpenter, Matt;Cronenworth, Jake;Campusano, Luis;Odor, Rougned;Kim, Ha-Seong;
2023-04-09;Bogaerts, Xander;Machado, Manny;Soto, Juan;Cruz, Nelson;Cronenworth, Jake;Kim, Ha-Seong;Nola, Austin;Grisham, Trent;Azocar, Jose;
2023-04-10;Grisham, Trent;Machado, Manny;Soto, Juan;Bogaerts, Xander;Carpenter, Matt;Cronenworth, Jake;Kim, Ha-Seong;Odor, Rougned;Nola, Austin;
2023-04-11;Bogaerts, Xander;Machado, Manny;Soto, Juan;Cruz, Nelson;Cronenworth, Jake;Kim, Ha-Seong;Campusano, Luis;Grisham, Trent;Dixon, Brandon;
2023-04-12;Grisham, Trent;Machado, Manny;Soto, Juan;Bogaerts, Xander;Cronenworth, Jake;Carpenter, Matt;Nola, Austin;Odor, Rougned;Dixon, Brandon;
2023-04-13;Grisham, Trent;Machado, Manny;Soto, Juan;Bogaerts, Xander;Cruz, Nelson;Cronenworth, Jake;Kim, Ha-Seong;Odor, Rougned;Nola, Austin;
2023-04-14;Bogaerts, Xander;Machado, Manny;Soto, Juan;Cruz, Nelson;Kim, Ha-Seong;Campusano, Luis;Dixon, Brandon;Grisham, Trent;Azocar, Jose;
2023-04-15;Grisham, Trent;Machado, Manny;Soto, Juan;Bogaerts, Xander;Cruz, Nelson;Cronenworth, Jake;Carpenter, Matt;Nola, Austin;Azocar, Jose;
2023-04-16;Bogaerts, Xander;Machado, Manny;Soto, Juan;Cruz, Nelson;Cronenworth, Jake;Kim, Ha-Seong;Nola, Austin;Grisham, Trent;Azocar, Jose;
2023-04-17;Bogaerts, Xander;Soto, Juan;Machado, Manny;Cruz, Nelson;Cronenworth, Jake;Kim, Ha-Seong;Nola, Austin;Azocar, Jose;Dixon, Brandon;
2023-04-18;Grisham, Trent;Machado, Manny;Soto, Juan;Bogaerts, Xander;Carpenter, Matt;Cronenworth, Jake;Kim, Ha-Seong;Odor, Rougned;Sullivan, Brett;
2023-04-19;Grisham, Trent;Machado, Manny;Soto, Juan;Bogaerts, Xander;Carpenter, Matt;Cronenworth, Jake;Kim, Ha-Seong;Nola, Austin;Nola, Austin;
2023-04-20;Tatis Jr., Fernando;Soto, Juan;Machado, Manny;Bogaerts, Xander;Cronenworth, Jake;Carpenter, Matt;Kim, Ha-Seong;Grisham, Trent;Nola, Austin;
2023-04-21;Tatis Jr., Fernando;Soto, Juan;Machado, Manny;Bogaerts, Xander;Cronenworth, Jake;Cruz, Nelson;Grisham, Trent;Kim, Ha-Seong;Sullivan, Brett;
2023-04-22;Grisham, Trent;Tatis Jr., Fernando;Soto, Juan;Bogaerts, Xander;Carpenter, Matt;Cronenworth, Jake;Kim, Ha-Seong;Odor, Rougned;Nola, Austin;
2023-04-23;Tatis Jr., Fernando;Soto, Juan;Machado, Manny;Bogaerts, Xander;Cronenworth, Jake;Carpenter, Matt;Kim, Ha-Seong;Grisham, Trent;Nola, Austin;
2023-04-25;Tatis Jr., Fernando;Soto, Juan;Machado, Manny;Bogaerts, Xander;Cronenworth, Jake;Kim, Ha-Seong;Carpenter, Matt;Nola, Austin;Grisham, Trent;
2023-04-26;Tatis Jr., Fernando;Soto, Juan;Machado, Manny;Bogaerts, Xander;Cruz, Nelson;Cronenworth, Jake;Kim, Ha-Seong;Nola, Austin;Azocar, Jose;
2023-04-27;Cronenworth, Jake;Tatis Jr., Fernando;Soto, Juan;Bogaerts, Xander;Machado, Manny;Carpenter, Matt;Grisham, Trent;Kim, Ha-Seong;Sullivan, Brett;
2023-04-29;Tatis Jr., Fernando;Machado, Manny;Soto, Juan;Bogaerts, Xander;Cruz, Nelson;Cronenworth, Jake;Kim, Ha-Seong;Nola, Austin;Grisham, Trent;
2023-04-30;Tatis Jr., Fernando;Machado, Manny;Soto, Juan;Bogaerts, Xander;Cronenworth, Jake;Cruz, Nelson;Carpenter, Matt;Nola, Austin;Grisham, Trent;
2023-05-01;Tatis Jr., Fernando;Machado, Manny;Soto, Juan;Bogaerts, Xander;Carpenter, Matt;Cronenworth, Jake;Kim, Ha-Seong;Grisham, Trent;Sullivan, Brett;
2023-05-02;Tatis Jr., Fernando;Machado, Manny;Soto, Juan;Cruz, Nelson;Carpenter, Matt;Cronenworth, Jake;Kim, Ha-Seong;Nola, Austin;Azocar, Jose;
2023-05-03;Grisham, Trent;Tatis Jr., Fernando;Soto, Juan;Bogaerts, Xander;Carpenter, Matt;Cronenworth, Jake;Kim, Ha-Seong;Odor, Rougned;Sullivan, Brett;
