date;lineup1;lineup2;lineup3;lineup4;lineup5;lineup6;lineup7;lineup8;lineup9;
2023-03-30;Rodriguez, Julio;Wong, Kolten;France, Ty;Hernandez, Teoscar;Raleigh, Cal;Suarez, Eugenio;Kelenic, Jarred;La Stella, Tommy;Crawford, J.P.;
2023-03-31;Rodriguez, Julio;Wong, Kolten;France, Ty;Hernandez, Teoscar;Raleigh, Cal;Suarez, Eugenio;Kelenic, Jarred;Hummel, Cooper;Crawford, J.P.;
2023-04-01;Rodriguez, Julio;Wong, Kolten;France, Ty;Suarez, Eugenio;Kelenic, Jarred;Hernandez, Teoscar;La Stella, Tommy;Murphy, Tom;Crawford, J.P.;
2023-04-02;Rodriguez, Julio;Wong, Kolten;France, Ty;Suarez, Eugenio;Raleigh, Cal;Hernandez, Teoscar;Kelenic, Jarred;Pollock, AJ;Crawford, J.P.;
2023-04-03;Rodriguez, Julio;France, Ty;Hernandez, Teoscar;Suarez, Eugenio;Pollock, AJ;Haggerty, Sam;Murphy, Tom;Hummel, Cooper;Crawford, J.P.;
2023-04-04;Rodriguez, Julio;France, Ty;Hernandez, Teoscar;Suarez, Eugenio;Raleigh, Cal;Pollock, AJ;Haggerty, Sam;Murphy, Tom;Crawford, J.P.;
2023-04-05;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Raleigh, Cal;Hernandez, Teoscar;Wong, Kolten;Pollock, AJ;Kelenic, Jarred;Crawford, J.P.;
2023-04-07;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Raleigh, Cal;Hernandez, Teoscar;Wong, Kolten;Kelenic, Jarred;Hummel, Cooper;Crawford, J.P.;
2023-04-08;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Raleigh, Cal;Hernandez, Teoscar;Kelenic, Jarred;Wong, Kolten;Murphy, Tom;Crawford, J.P.;
2023-04-09;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Raleigh, Cal;Hernandez, Teoscar;Kelenic, Jarred;Pollock, AJ;Wong, Kolten;Crawford, J.P.;
2023-04-10;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Hernandez, Teoscar;Pollock, AJ;Haggerty, Sam;Murphy, Tom;Hummel, Cooper;Crawford, J.P.;
2023-04-11;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Raleigh, Cal;Hernandez, Teoscar;Kelenic, Jarred;Wong, Kolten;La Stella, Tommy;Crawford, J.P.;
2023-04-12;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Raleigh, Cal;Hernandez, Teoscar;Kelenic, Jarred;Hummel, Cooper;Wong, Kolten;Crawford, J.P.;
2023-04-14;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Hernandez, Teoscar;Pollock, AJ;Kelenic, Jarred;Murphy, Tom;Haggerty, Sam;Crawford, J.P.;
2023-04-15;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Raleigh, Cal;Hernandez, Teoscar;Kelenic, Jarred;La Stella, Tommy;Wong, Kolten;Crawford, J.P.;
2023-04-16;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Raleigh, Cal;Hernandez, Teoscar;Kelenic, Jarred;Pollock, AJ;Wong, Kolten;Crawford, J.P.;
2023-04-17;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Raleigh, Cal;Hernandez, Teoscar;Kelenic, Jarred;Hummel, Cooper;Wong, Kolten;Crawford, J.P.;
2023-04-18;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Raleigh, Cal;Hernandez, Teoscar;Kelenic, Jarred;La Stella, Tommy;Caballero, Jose;Wong, Kolten;
2023-04-19;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Hernandez, Teoscar;Pollock, AJ;Kelenic, Jarred;Murphy, Tom;Caballero, Jose;Crawford, J.P.;
2023-04-21;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Hernandez, Teoscar;Pollock, AJ;Kelenic, Jarred;Murphy, Tom;Caballero, Jose;Crawford, J.P.;
2023-04-22;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Raleigh, Cal;Hernandez, Teoscar;Kelenic, Jarred;Pollock, AJ;Wong, Kolten;Crawford, J.P.;
2023-04-23;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Raleigh, Cal;Hernandez, Teoscar;Kelenic, Jarred;Pollock, AJ;Wong, Kolten;Crawford, J.P.;
2023-04-25;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Hernandez, Teoscar;Pollock, AJ;Kelenic, Jarred;Raleigh, Cal;Caballero, Jose;Crawford, J.P.;
2023-04-26;Rodriguez, Julio;France, Ty;Kelenic, Jarred;Suarez, Eugenio;Hernandez, Teoscar;Raleigh, Cal;Pollock, AJ;Wong, Kolten;Crawford, J.P.;
2023-04-27;Rodriguez, Julio;France, Ty;Suarez, Eugenio;Hernandez, Teoscar;Pollock, AJ;Kelenic, Jarred;Murphy, Tom;Caballero, Jose;Crawford, J.P.;
2023-04-28;Rodriguez, Julio;France, Ty;Kelenic, Jarred;Suarez, Eugenio;Hernandez, Teoscar;Raleigh, Cal;Crawford, J.P.;Caballero, Jose;Wong, Kolten;
