date;lineup1;lineup2;lineup3;lineup4;lineup5;lineup6;lineup7;lineup8;lineup9;
2023-03-30;Diaz, Yandy;Franco, Wander;Paredes, Isaac;Arozarena, Randy;Ramirez, Harold;Margot, Manuel;Lowe, Brandon;Bethancourt, Christian;Siri, Jose;
2023-04-01;Diaz, Yandy;Lowe, Brandon;Arozarena, Randy;Franco, Wander;Raley, Luke;Siri, Jose;Walls, Taylor;Lowe, Josh;Mejia, Francisco;
2023-04-02;Diaz, Yandy;Franco, Wander;Paredes, Isaac;Arozarena, Randy;Ramirez, Harold;Margot, Manuel;Siri, Jose;Bethancourt, Christian;Walls, Taylor;
2023-04-03;Lowe, Brandon;Franco, Wander;Arozarena, Randy;Raley, Luke;Ramirez, Harold;Paredes, Isaac;Lowe, Josh;Margot, Manuel;Mejia, Francisco;
2023-04-04;Diaz, Yandy;Lowe, Brandon;Arozarena, Randy;Franco, Wander;Raley, Luke;Lowe, Josh;Bethancourt, Christian;Walls, Taylor;Siri, Jose;
2023-04-05;Diaz, Yandy;Franco, Wander;Paredes, Isaac;Arozarena, Randy;Ramirez, Harold;Margot, Manuel;Walls, Taylor;Siri, Jose;Mejia, Francisco;
2023-04-07;Diaz, Yandy;Franco, Wander;Paredes, Isaac;Arozarena, Randy;Ramirez, Harold;Margot, Manuel;Siri, Jose;Bethancourt, Christian;Walls, Taylor;
2023-04-08;Diaz, Yandy;Lowe, Brandon;Arozarena, Randy;Franco, Wander;Raley, Luke;Paredes, Isaac;Lowe, Josh;Margot, Manuel;Mejia, Francisco;
2023-04-09;Lowe, Brandon;Franco, Wander;Arozarena, Randy;Raley, Luke;Paredes, Isaac;Ramirez, Harold;Lowe, Josh;Margot, Manuel;Bethancourt, Christian;
2023-04-10;Diaz, Yandy;Lowe, Brandon;Arozarena, Randy;Franco, Wander;Raley, Luke;Ramirez, Harold;Paredes, Isaac;Margot, Manuel;Bethancourt, Christian;
2023-04-11;Diaz, Yandy;Lowe, Brandon;Arozarena, Randy;Franco, Wander;Raley, Luke;Paredes, Isaac;Mejia, Francisco;Lowe, Josh;Brujan, Vidal;
2023-04-12;Diaz, Yandy;Franco, Wander;Paredes, Isaac;Arozarena, Randy;Ramirez, Harold;Margot, Manuel;Walls, Taylor;Bethancourt, Christian;Brujan, Vidal;
2023-04-13;Diaz, Yandy;Lowe, Brandon;Arozarena, Randy;Franco, Wander;Raley, Luke;Ramirez, Harold;Walls, Taylor;Lowe, Josh;Mejia, Francisco;
