date;lineup1;lineup2;lineup3;lineup4;lineup5;lineup6;lineup7;lineup8;lineup9;
2023-03-30;Springer, George;Bichette, Bo;Guerrero Jr., Vladimir;Varsho, Daulton;Kirk, Alejandro;Belt, Brandon;Chapman, Matt;Merrifield, Whit;Kiermaier, Kevin;
2023-04-01;Springer, George;Bichette, Bo;Guerrero Jr., Vladimir;Varsho, Daulton;Chapman, Matt;Belt, Brandon;Jansen, Danny;Biggio, Cavan;Kiermaier, Kevin;
2023-04-02;Springer, George;Bichette, Bo;Guerrero Jr., Vladimir;Varsho, Daulton;Kirk, Alejandro;Chapman, Matt;Merrifield, Whit;Jansen, Danny;Espinal, Santiago;
2023-04-03;Springer, George;Bichette, Bo;Guerrero Jr., Vladimir;Varsho, Daulton;Kirk, Alejandro;Belt, Brandon;Chapman, Matt;Biggio, Cavan;Kiermaier, Kevin;
2023-04-04;Springer, George;Bichette, Bo;Guerrero Jr., Vladimir;Chapman, Matt;Varsho, Daulton;Merrifield, Whit;Jansen, Danny;Espinal, Santiago;Kiermaier, Kevin;
2023-04-05;Springer, George;Bichette, Bo;Guerrero Jr., Vladimir;Varsho, Daulton;Chapman, Matt;Kirk, Alejandro;Belt, Brandon;Merrifield, Whit;Biggio, Cavan;
2023-04-06;Bichette, Bo;Guerrero Jr., Vladimir;Varsho, Daulton;Chapman, Matt;Merrifield, Whit;Belt, Brandon;Jansen, Danny;Biggio, Cavan;Kiermaier, Kevin;
2023-04-07;Springer, George;Bichette, Bo;Guerrero Jr., Vladimir;Chapman, Matt;Merrifield, Whit;Kirk, Alejandro;Espinal, Santiago;Luplow, Jordan;Kiermaier, Kevin;
2023-04-08;Springer, George;Bichette, Bo;Guerrero Jr., Vladimir;Chapman, Matt;Varsho, Daulton;Kirk, Alejandro;Merrifield, Whit;Belt, Brandon;Espinal, Santiago;
2023-04-09;Springer, George;Bichette, Bo;Guerrero Jr., Vladimir;Chapman, Matt;Varsho, Daulton;Merrifield, Whit;Espinal, Santiago;Jansen, Danny;Kiermaier, Kevin;
2023-04-11;Springer, George;Bichette, Bo;Guerrero Jr., Vladimir;Varsho, Daulton;Chapman, Matt;Belt, Brandon;Kirk, Alejandro;Biggio, Cavan;Kiermaier, Kevin;
