Team,Lineup1,Lineup2,Lineup3,Lineup4,Lineup5,Lineup6,Lineup7,Lineup8,Lineup9,Lineup10,Lineup11,,,
CWS,Tim Anderson,Luis Robert,Andrew Benintendi,Eloy Jimenez,Yoan Moncada,Leury Garcia,Andrew Vaughn,Gavin Sheets,Yasmani Grandal,,,,,No real spring training sense of what is going on with this team.
CLE,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Andres Gimenez,Oscar Gonzalez,Mike Zunino,Myles Straw,,,,,
DET,Riley Greene,Javier Baez,Austin Meadows,Spencer Torkelson,Miguel Cabrera,Akil Baddoo,Jonathan Schoop,Kerry Carpenter,Nick Maton,Ryan Kreidler,Eric Haase,,,
KC,MJ Melendez,Bobby Witt Jr.,Vinnie Pasquantino,Salvador Perez,Michael Massey,Hunter Dozier,Edward Olivares,Michael A. Taylor,Nicky Lopez,Adalberto Mondei,Jackie Bradley Jr.,,,
MIN,Jose Miranda,Carlos Correa,Jorge Polanco,Max Kepler,Byron Buxton,Joey Gallo,Alex Kirilloff,Christian Vazquez,Trevor Larnach,,,,,
BAL,Cedric Mullins II,Adley Rutschman,Ryan Mountcastle,Anthony Santander,Gunnar Henderson,Austin Hays,Adam Frazier,Kyle Stowers,Jorge Mateo,Franchy Cordero,,,,
BOS,Alex Verdugo,Rafael Devers,Justin Turner,Masataka Yoshida,Adam Duvall,Christian Arroyo,Triston Casas,Reese McGuire,Enrique Hernandez,Bobby Dalbec,,,,Verdugo seems to be batting first in spring training
NYY,DJ LeMahieu,Aaron Judge,Gleyber Torres,Anthony Rizzo,Giancarlo Stanton,Josh Donaldson,Aaron Hicks,Anthony Volpe,Jose Trevino,Isiah Kiner-Falefa,Oswaldo Cabrera,,,
TB,Yandy Diaz,Wander Franco,Randy Arozarena,Brandon Lowe,Harold Ramirez,Manuel Margot,Jonathan Aranda,Christian Bethancourt,Jose Siri,Isaac Paredes,,,,
TOR,George Springer,Bo Bichette,Vladimir Guerrero Jr.,Matt Chapman,Alejandro Kirk,Whit Merrifield,Kevin Kiermaier,Daulton Varsho,Cavan Biggio,Brandon Belt,,,,
HOU,Jeremy Pena,Yordan Alvarez,Alex Bregman,Jose Abreu,Kyle Tucker,David Hensley,Michael Brantley,Chas McCormick,Martin Maldonado,,,,,
LAA,Taylor Ward,Mike Trout,Shohei Ohtani,Anthony Rendon,Hunter Renfroe,Brandon Drury,Gio Urshela,Luis Rengifo,Max Stassi,David Fletcher,Mickey Moniak,,,
OAK,Tony Kemp,Aledmys Diaz,Seth Brown,Jesus Aguilar,Jace Peterson,Ramon Laureano,Jordan Diaz,Esteury Ruiz,Shea Langeliers,Nick Allen,Conner Capel,,,
SEA,Julio Rodriguez,Kolten Wong,Ty France,Teoscar Hernandez,Eugenio Suarez,J.P. Crawford,AJ Pollock,Jarred Kelenic,Dylan Moore,Cal Raleigh,,,,
TEX,Marcus Semien,Corey Seager,Nathaniel Lowe,Adolis Garcia,Josh Jung,Josh Smith,Jonah Heim,Leody Taveras,Robbie Grossman,Bubba Thompson,Mitch Garver,,,
CHC,Nico Heorner,Dansby Swanson,Ian Happ,Cody Bellinger,Seiya Suzuki,Trey Mancini,Patrick Wisdom,Eric Hosmer,Tucker Barnhart,Nick Madrigal,Nelson Velazquez,Matt Mervis,,
CIN,Jonathan India,Nick Senzel,Joey Votto,Tyler Stephenson,Wil Myers,Nick Solak,Jake Fraley,Jose Barrero,Spencer Steer,Kurt Casali,,,,
MIL,Willy Adames,Christian Yelich,Jesse Winker,Rowdy Tellez,Keston Hiura,Garrett Mitchell,Luis Urias,Tyrone Taylor,William Contreras,Luke Voit,Brian Anderson,Owen Miller,,
PIT,Oneil Cruz,Bryan Reynolds,Andrew McCutchen,Carlos Santana,Jack Suwinski,Rodolfo Castro,Ke'Bryan Hayes,Cal Mitchell,Austin Hedges,Ji-Man Choi,,,,
STL,Brendan Donovan,Lars Nootbaar,Paul Goldschmidt,Nolan Arenado,Tommy Edman,Tyler O'Neill,Juan Yepez,Dylan Carlson,Willson Contreras,,,,,
ATL,Ozzie Albies,Ronald Acuna Jr.,Austin Riley,Matt Olson,Michael Harris II,Eddie Rosario,Marcell Ozuna,Sean Murphy,Travis d'Arnaud,Orlando Arcia,Vaughn Grissom,,,"Not sure what happens with Albies here, he hasn't been leading off"
MIA,Luis Arraez,Jazz Chisholm Jr.,Bryan De La Cruz,Jorge Soler,Garrett Cooper,Avisail Garcia,Jean Segura,Joey Wendle,Jon Berti,Jacob Stallings,,,,
NYM,Brandon Nimmo,Starling Marte,Francisco Lindor,Pete Alonso,Jeff McNeil,Mark Canha,Daniel Vogelbach,Eduardo Escobar,Omar Narvaez,,,,,
PHI,Trea Turner,Kyle Schwarber,J.T. Realmuto,Nick Castellanos,Alec Bohm,Darick Hall,Bryson Stott,Nick Maton,Brandon Marsh,,,,,
WSH,Lane Thomas,CJ Abrams,Joey Meneses,Victor Robles,Jeimer Candelario,Luis Garcia,Alex Call,Ildemaro Vargas,Keibert Ruiz,Dominic Smith,,,,
AZ,Josh Rojas,Ketel Marte,Lourdes Gurriel Jr.,Christian Walker,Jake McCarthy,Corbin Carroll,Geraldo Perdomo,Gabriel Moreno,Evan Longoria,Nick Ahmed,Pavin Smith,,,I'm not sure what happens with McCarthy vs Rojas. Also Longoria seems to be playing?
COL,Charlie Blackmon,Kris Bryant,Ryan McMahon,C.J. Cron,Brendan Rodgers,Ezequiel Tovar,Elias Dias,Randal Grichuk,Jurickson Profar,Mike Moustakas,Michael Toglia,,,
LAD,Mookie Betts,Freddie Freeman,Will Smith,J.D. Martinez,Max Muncy,Trayce Thompson,Chris Taylor,Miguel Vargas,Miguel Rojas,Gavin Lux,,,,
SD,Trent Grisham,Juan Soto,Manny Machado,Xander Bogaerts,Nelson Cruz,Jake Cronenworth,Matt Carpenter,Ha-Seong Kim,Austin Nola,Fernando Tatis Jr.,Luis Campusano,David Dahl,Rougned Odor,
SF,Lamont Wade Jr.,Michael Conforto,David Villar,Joc Pederson,Mike Yastrzemski,Brandon Crawford,Thairo Estrada,Mitch Haniger,Wilmer Flores,Joey Bart,,,,Very unsure about this one. Is Yas getting burried?
