Team,Lineup1,Lineup2,Lineup3,Lineup4,Lineup5,Lineup6,Lineup7,Lineup8,Lineup9,Lineup10,Lineup11,
CWS,Tim Anderson,Andrew Benintendi,Luis Robert,Eloy Jimenez,Andrew Vaughn,Yoan Moncada,Leury Garcia,Gavin Sheets,Yasmani Grandal,,,They had Luis 3rd so my bet is they keep him there. Eloy takes Jose's spot at cleanup. Beni must have been signed for a reason so he takes the empty spot in the top 2. Moncada/Garcia were consistently 6/7 last year.
CLE,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Andres Gimenez,Oscar Gonzalez,Mike Zunino,Myles Straw,,,Looks like CLE was batting Rosario/Ramirez 2/3 consistently which makes sense. Kwan they want leading off and he is fast and young with a decent average. I bet they slot Bell into cleanup and move Naylor back to 5th. Looks like they put Straw consistently 9th behind their catcher as a double leadoff thing.
DET,Riley Greene,Javier Baez,Austin Meadows,Spencer Torkelson,Jonathan Schoop,Kerry Carpenter,Akil Baddoo,Ryan Kreidler,Eric Haase,,,"Baez 2 and Meadows 3, Schoop 5 seems like a lock. Riley/Torkelson/Baddoo are fighting for leadoff with Torkelson the backup cleanup hitter to Carpenter. Baddoo seems the most likely to sink."
KC,MJ Melendez,Bobby Witt Jr.,Salvador Perez,Vinnie Pasquantino,Edward Olivares,Hunter Dozier,Michael Massey,Michael A. Taylor,Nicky Lopez,Adalberto Mondei,,Lots of Melendez 1 and Witt 2 ending 2022. Perez was consistent #3. They hate Dozier and Taylor and bury them. Vinnie and Olivares jumped around 3-5. I give Vinnie the cleanup nod.
MIN,Luis Arraez,Carlos Correa,Jorge Polanco,Jose Miranda,Max Kepler,Byron Buxton,Joey Gallo,Alex Kirilloff,Christian Vazquez,,,"Luis, Carlos, Miranda, Max was the most common 1-4. I think Polanco slots into the 3 spot on average a lot pushing Miranda and Kepler down. Buxton defaults to 6 as they want him high but he doesn't play all the games. Gallo, Kirilloff, Vazquez seems like the 7-9. "
BAL,Cedric Mullins II,Adley Rutschman,Ryan Mountcastle,Anthony Santander,Austin Hays,Gunnar Henderson,Adam Frazier,Kyle Stowers,Jorge Mateo,Franchy Cordero,,"Tough one with all the kids and their propensity to change the order for LHP/RHP. Looks like they want Mullins 1, Audley 2, and Santender 4. My bet is the keep trying to make Mountcastle a thing and Hays gets to #5. Frazier they batted 7 last year. The rest is a crapshoot."
BOS,Enrique Hernandez,Rafael Devers,Justin Turner,Alex Verdugo,Masataka Yoshida,Adam Duvall,Christian Arroyo,Triston Casas,Reese McGuire,Trevor Story,Bobby Balbec,I'm guessing Adam Duvall gets the nod over Dalbec. Mostly agree otherwise.
NYY,DJ LeMahieu,Aaron Judge,Gleyber Torres,Anthony Rizzo,Giancarlo Stanton,Oswald Peraza,Aaron Hicks,Harrison Bader,Jose Trevino,Isiah Kiner-Falefa,Oswaldo Cabrera,I think they stick with Hicks and I'm assuming that Jurdge will stay high in the order.
TB,Yandy Diaz,Wander Franco,Randy Arozarena,Brandon Lowe,Harold Ramirez,Manuel Margot,Jonathan Aranda,Christian Bethancourt,Jose Siri,,,"Rays love batting Yandy 1, Wander 2, and Randy 3. My guess is Lowe returning from injury is better aligned with power than speed. Lots of folks have Harold as the cleanup, I'm fine with him protecting cleanup."
TOR,George Springer,Bo Bichette,Vladimir Guerrero Jr.,Matt Chapman,Alejandro Kirk,Whit Merrifield,Kevin Kiermaier,Daulton Varsho,Danny Jansen,,,"They want Springer, Bo, Vlad 123, seems like the bounce Chapman and Kirk around a lot but load them into the first 5 plenty. Forecast is for Merrifield burried, which I thinkis right... until Springer gets hurt. 6 seems like a good hedge for leadoff upside."
HOU,Jose Altuve,Jeremy Pena,Alex Bregman,Jose Abreu,Yordan Alvarez,Kyle Tucker,Michael Brantley,Chas McCormick,Martin Maldonado,,,"I like your assumed 1-4, is we switch Pena in... case to be made for Alvarez at cleanup but come on, Jose will put his foot down. That being said, Alvarez is more of a #5 which bumps Kyle to 6. Brantley has to move down for injury risk."
