date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2024-03-28, Steven Kwan, Jose Ramirez, Ramon Laureano, Josh Naylor, David Fry, Tyler Freeman, Andres Gimenez, Austin Hedges, Brayan Rocchio,
2024-03-29, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Will Brennan, Tyler Freeman, Bo Naylor, Estevan Florial, Brayan Rocchio,
2024-03-30, Steven Kwan, Jose Ramirez, Ramon Laureano, David Fry, Tyler Freeman, Andres Gimenez, Gabriel Arias, Austin Hedges, Brayan Rocchio,
2024-03-31, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Will Brennan, Ramon Laureano, Bo Naylor, Estevan Florial, Gabriel Arias,
2024-04-01, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Tyler Freeman, Will Brennan, Ramon Laureano, Bo Naylor, Brayan Rocchio,
2024-04-02, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Tyler Freeman, Will Brennan, Bo Naylor, Austin Hedges, Brayan Rocchio,
2024-04-03, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Will Brennan, Bo Naylor, Gabriel Arias, Estevan Florial, Brayan Rocchio,
2024-04-04, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Tyler Freeman, Will Brennan, Ramon Laureano, Bo Naylor, Brayan Rocchio,
2024-04-06, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Tyler Freeman, Will Brennan, Bo Naylor, David Fry, Brayan Rocchio,
2024-04-08, Steven Kwan, Jose Ramirez, David Fry, Josh Naylor, Tyler Freeman, Ramon Laureano, Andres Gimenez, Austin Hedges, Brayan Rocchio,
2024-04-09, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Tyler Freeman, Will Brennan, Ramon Laureano, Bo Naylor, Gabriel Arias,
2024-04-10, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Will Brennan, Ramon Laureano, Bo Naylor, Estevan Florial, Brayan Rocchio,
2024-04-13a, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Tyler Freeman, Will Brennan, Bo Naylor, Estevan Florial, Brayan Rocchio,
2024-04-13b, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Ramon Laureano, Estevan Florial, David Fry, Gabriel Arias, Brayan Rocchio,
2024-04-14, Steven Kwan, Tyler Freeman, Jose Ramirez, Josh Naylor, David Fry, Ramon Laureano, Andres Gimenez, Austin Hedges, Gabriel Arias,
2024-04-15, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Bo Naylor, Tyler Freeman, Estevan Florial, Gabriel Arias, Brayan Rocchio,
2024-04-16, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Bo Naylor, Ramon Laureano, Will Brennan, Gabriel Arias, Tyler Freeman,
2024-04-17, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Will Brennan, Estevan Florial, Gabriel Arias, Austin Hedges, Brayan Rocchio,
2024-04-18, Andres Gimenez, David Fry, Jose Ramirez, Josh Naylor, Tyler Freeman, Bo Naylor, Ramon Laureano, Gabriel Arias, Brayan Rocchio,
2024-04-19, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Will Brennan, Tyler Freeman, Bo Naylor, Estevan Florial, Brayan Rocchio,
2024-04-20, Steven Kwan, David Fry, Jose Ramirez, Josh Naylor, Ramon Laureano, Tyler Freeman, Gabriel Arias, Austin Hedges, Brayan Rocchio,
2024-04-21, Steven Kwan, Andres Gimenez, Josh Naylor, David Fry, Will Brennan, Ramon Laureano, Bo Naylor, Gabriel Arias, Brayan Rocchio,
2024-04-23, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Will Brennan, Tyler Freeman, Estevan Florial, Bo Naylor, Brayan Rocchio,
2024-04-24, Steven Kwan, Andres Gimenez, Jose Ramirez, Josh Naylor, Will Brennan, Tyler Freeman, Estevan Florial, Bo Naylor, Brayan Rocchio,
2024-04-25, Steven Kwan, Tyler Freeman, Jose Ramirez, Josh Naylor, David Fry, Andres Gimenez, Will Brennan, Gabriel Arias, Brayan Rocchio,
