date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-03-27, Jackson Chourio, Christian Yelich, William Contreras, Rhys Hoskins, Sal Frelick, Joey Ortiz, Garrett Mitchell, Vinny Capra, Brice Turang,
2025-03-29, Jackson Chourio, Christian Yelich, William Contreras, Rhys Hoskins, Sal Frelick, Joey Ortiz, Garrett Mitchell, Vinny Capra, Brice Turang,
2025-03-30, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Jake Bauers, Garrett Mitchell, Joey Ortiz, Oliver Dunn,
2025-03-31, Jackson Chourio, Christian Yelich, William Contreras, Rhys Hoskins, Sal Frelick, Vinny Capra, Garrett Mitchell, Joey Ortiz, Brice Turang,
2025-04-01, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Oliver Dunn, Joey Ortiz, Eric Haase,
2025-04-02, Brice Turang, Jackson Chourio, Isaac Collins, William Contreras, Sal Frelick, Rhys Hoskins, Vinny Capra, Garrett Mitchell, Joey Ortiz,
2025-04-03, Jackson Chourio, Christian Yelich, William Contreras, Rhys Hoskins, Sal Frelick, Vinny Capra, Isaac Collins, Joey Ortiz, Brice Turang,
2025-04-04, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Oliver Dunn, Garrett Mitchell, Joey Ortiz,
2025-04-05, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Oliver Dunn, Garrett Mitchell, Joey Ortiz,
2025-04-06, Brice Turang, Jackson Chourio, Christian Yelich, Garrett Mitchell, Sal Frelick, Jake Bauers, Joey Ortiz, Oliver Dunn, Eric Haase,
2025-04-08, Jackson Chourio, Christian Yelich, William Contreras, Rhys Hoskins, Sal Frelick, Vinny Capra, Isaac Collins, Joey Ortiz, Brice Turang,
2025-04-09, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Garrett Mitchell, Oliver Dunn, Joey Ortiz,
2025-04-10, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Garrett Mitchell, Jake Bauers, Joey Ortiz, Oliver Dunn, Eric Haase,
2025-04-11, Jackson Chourio, Christian Yelich, William Contreras, Rhys Hoskins, Sal Frelick, Joey Ortiz, Isaac Collins, Vinny Capra, Brice Turang,
2025-04-12, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Garrett Mitchell, Joey Ortiz, Oliver Dunn,
2025-04-13, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Garrett Mitchell, Joey Ortiz, Oliver Dunn,
2025-04-14, Jackson Chourio, Isaac Collins, William Contreras, Rhys Hoskins, Sal Frelick, Joey Ortiz, Garrett Mitchell, Vinny Capra, Brice Turang,
2025-04-15, Jackson Chourio, Brice Turang, William Contreras, Christian Yelich, Rhys Hoskins, Sal Frelick, Garrett Mitchell, Joey Ortiz, Oliver Dunn,
2025-04-16, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Garrett Mitchell, Joey Ortiz, Oliver Dunn,
2025-04-18, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Jake Bauers, Joey Ortiz, Garrett Mitchell, Caleb Durbin,
2025-04-19, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Garrett Mitchell, Joey Ortiz, Caleb Durbin,
2025-04-20, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Rhys Hoskins, Sal Frelick, Joey Ortiz, Eric Haase, Caleb Durbin,
2025-04-21, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Rhys Hoskins, Sal Frelick, Joey Ortiz, Isaac Collins, Caleb Durbin,
2025-04-22, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Jake Bauers, Vinny Capra, Garrett Mitchell, Caleb Durbin,
2025-04-23, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Garrett Mitchell, Joey Ortiz, Caleb Durbin,
2025-04-24, Brice Turang, Sal Frelick, Christian Yelich, Rhys Hoskins, Jake Bauers, Joey Ortiz, Garrett Mitchell, Vinny Capra, Eric Haase,
2025-04-25, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Garrett Mitchell, Joey Ortiz, Caleb Durbin,
2025-04-26, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Jake Bauers, Joey Ortiz, Caleb Durbin,
2025-04-27, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Isaac Collins, Joey Ortiz, Caleb Durbin,
2025-04-29, Jackson Chourio, Isaac Collins, William Contreras, Christian Yelich, Rhys Hoskins, Sal Frelick, Caleb Durbin, Brice Turang, Joey Ortiz,
2025-04-30, Isaac Collins, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Jake Bauers, Joey Ortiz, Caleb Durbin,
2025-05-01, Brice Turang, Jackson Chourio, Sal Frelick, William Contreras, Jake Bauers, Rhys Hoskins, Caleb Durbin, Joey Ortiz, Eric Haase,
2025-05-02, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Isaac Collins, Joey Ortiz, Caleb Durbin,
2025-05-03, Jackson Chourio, Brice Turang, William Contreras, Christian Yelich, Rhys Hoskins, Sal Frelick, Isaac Collins, Joey Ortiz, Caleb Durbin,
2025-05-04, Jackson Chourio, Isaac Collins, William Contreras, Christian Yelich, Rhys Hoskins, Sal Frelick, Caleb Durbin, Joey Ortiz, Brice Turang,
2025-05-05, Jackson Chourio, Isaac Collins, William Contreras, Christian Yelich, Rhys Hoskins, Jake Bauers, Caleb Durbin, Vinny Capra, Joey Ortiz,
2025-05-06, Jackson Chourio, Brice Turang, William Contreras, Christian Yelich, Rhys Hoskins, Jake Bauers, Isaac Collins, Caleb Durbin, Joey Ortiz,
2025-05-07, Jackson Chourio, Isaac Collins, Christian Yelich, Rhys Hoskins, Daz Cameron, Caleb Durbin, Vinny Capra, Eric Haase, Joey Ortiz,
2025-05-09, Jackson Chourio, Brice Turang, William Contreras, Christian Yelich, Rhys Hoskins, Sal Frelick, Caleb Durbin, Jake Bauers, Joey Ortiz,
2025-05-10, Jackson Chourio, Brice Turang, William Contreras, Christian Yelich, Rhys Hoskins, Sal Frelick, Caleb Durbin, Isaac Collins, Joey Ortiz,
2025-05-11, Sal Frelick, Jackson Chourio, Christian Yelich, William Contreras, Brice Turang, Rhys Hoskins, Jake Bauers, Joey Ortiz, Caleb Durbin,
2025-05-12, Sal Frelick, Jackson Chourio, Christian Yelich, William Contreras, Brice Turang, Rhys Hoskins, Jake Bauers, Andruw Monasterio, Caleb Durbin,
2025-05-13, Jackson Chourio, Daz Cameron, William Contreras, Christian Yelich, Rhys Hoskins, Brice Turang, Eric Haase, Andruw Monasterio, Joey Ortiz,
2025-05-14, Sal Frelick, Jackson Chourio, Christian Yelich, William Contreras, Brice Turang, Rhys Hoskins, Jake Bauers, Andruw Monasterio, Caleb Durbin,
2025-05-16, Brice Turang, William Contreras, Christian Yelich, Rhys Hoskins, Sal Frelick, Jackson Chourio, Jake Bauers, Caleb Durbin, Joey Ortiz,
2025-05-17, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Jake Bauers, Caleb Durbin, Joey Ortiz,
2025-05-18, Brice Turang, Jackson Chourio, William Contreras, Christian Yelich, Rhys Hoskins, Isaac Collins, Sal Frelick, Caleb Durbin, Joey Ortiz,
2025-05-19, Brice Turang, William Contreras, Jackson Chourio, Christian Yelich, Rhys Hoskins, Isaac Collins, Sal Frelick, Andruw Monasterio, Caleb Durbin,
2025-05-20, Brice Turang, Jackson Chourio, William Contreras, Christian Yelich, Rhys Hoskins, Isaac Collins, Sal Frelick, Caleb Durbin, Joey Ortiz,
2025-05-21, Brice Turang, Jackson Chourio, Christian Yelich, Rhys Hoskins, Sal Frelick, Eric Haase, Jake Bauers, Caleb Durbin, Joey Ortiz,
2025-05-22, Brice Turang, Jackson Chourio, William Contreras, Christian Yelich, Rhys Hoskins, Isaac Collins, Sal Frelick, Caleb Durbin, Joey Ortiz,
2025-05-23, Brice Turang, Jackson Chourio, William Contreras, Christian Yelich, Rhys Hoskins, Sal Frelick, Caleb Durbin, Jake Bauers, Andruw Monasterio,
2025-05-24, Brice Turang, Jackson Chourio, William Contreras, Christian Yelich, Rhys Hoskins, Sal Frelick, Caleb Durbin, Jake Bauers, Jake Bauers,
2025-05-25, Jackson Chourio, William Contreras, Christian Yelich, Rhys Hoskins, Isaac Collins, Sal Frelick, Caleb Durbin, Brice Turang, Joey Ortiz,
2025-05-26, Jackson Chourio, Isaac Collins, William Contreras, Rhys Hoskins, Daz Cameron, Caleb Durbin, Eric Haase, Joey Ortiz, Andruw Monasterio,
2025-05-27, Brice Turang, Jackson Chourio, William Contreras, Christian Yelich, Rhys Hoskins, Isaac Collins, Sal Frelick, Caleb Durbin, Joey Ortiz,
2025-05-28, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Isaac Collins, Caleb Durbin, Jake Bauers, Joey Ortiz,
2025-05-30, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Isaac Collins, Caleb Durbin, Joey Ortiz,
2025-05-31, Jackson Chourio, William Contreras, Christian Yelich, Rhys Hoskins, Daz Cameron, Sal Frelick, Caleb Durbin, Joey Ortiz, Brice Turang,
2025-06-01, Jackson Chourio, William Contreras, Christian Yelich, Rhys Hoskins, Daz Cameron, Sal Frelick, Caleb Durbin, Joey Ortiz, Brice Turang,
2025-06-02, Brice Turang, Jackson Chourio, William Contreras, Christian Yelich, Rhys Hoskins, Sal Frelick, Andruw Monasterio, Jake Bauers, Joey Ortiz,
2025-06-03, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Isaac Collins, Caleb Durbin, Joey Ortiz,
2025-06-04, Andruw Monasterio, Jackson Chourio, Christian Yelich, Rhys Hoskins, Daz Cameron, Sal Frelick, Joey Ortiz, Eric Haase, Brice Turang,
2025-06-06, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Isaac Collins, Jake Bauers, Caleb Durbin, Joey Ortiz,
2025-06-07, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Isaac Collins, Caleb Durbin, Joey Ortiz,
2025-06-08, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Jake Bauers, Caleb Durbin, Joey Ortiz,
2025-06-09, Jackson Chourio, William Contreras, Christian Yelich, Rhys Hoskins, Daz Cameron, Sal Frelick, Caleb Durbin, Joey Ortiz, Brice Turang,
2025-06-10, Brice Turang, Jackson Chourio, William Contreras, Jake Bauers, Rhys Hoskins, Sal Frelick, Isaac Collins, Caleb Durbin, Joey Ortiz,
2025-06-11, Brice Turang, Jackson Chourio, William Contreras, Jake Bauers, Rhys Hoskins, Sal Frelick, Caleb Durbin, Joey Ortiz, Eric Haase,
2025-06-12, Sal Frelick, Jackson Chourio, William Contreras, Christian Yelich, Rhys Hoskins, Isaac Collins, Brice Turang, Caleb Durbin, Joey Ortiz,
2025-06-13, Sal Frelick, Jackson Chourio, William Contreras, Christian Yelich, Rhys Hoskins, Isaac Collins, Brice Turang, Caleb Durbin, Joey Ortiz,
2025-06-14, Sal Frelick, Jackson Chourio, William Contreras, Christian Yelich, Rhys Hoskins, Isaac Collins, Brice Turang, Caleb Durbin, Joey Ortiz,
