date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-03-27, Fernando Tatis Jr., Luis Arraez, Manny Machado, Xander Bogaerts, Jackson Merrill, Yuli Gurriel, Jake Cronenworth, Brandon Lockridge, Elias Diaz,
2025-03-28, Fernando Tatis Jr., Luis Arraez, Manny Machado, Jackson Merrill, Jake Cronenworth, Jake Cronenworth, Xander Bogaerts, Gavin Sheets, Jason Heyward,
2025-03-29, Fernando Tatis Jr., Luis Arraez, Manny Machado, Jackson Merrill, Jake Cronenworth, Xander Bogaerts, Gavin Sheets, Jason Heyward, Martin Maldonado,
2025-03-30, Fernando Tatis Jr., Luis Arraez, Manny Machado, Jackson Merrill, Jake Cronenworth, Xander Bogaerts, Gavin Sheets, Jason Heyward, Elias Diaz,
2025-03-31, Fernando Tatis Jr., Luis Arraez, Manny Machado, Jackson Merrill, Jake Cronenworth, Xander Bogaerts, Gavin Sheets, Jason Heyward, Elias Diaz,
2025-04-01, Fernando Tatis Jr., Luis Arraez, Manny Machado, Xander Bogaerts, Jackson Merrill, Yuli Gurriel, Jose Iglesias, Brandon Lockridge, Elias Diaz,
2025-04-02, Fernando Tatis Jr., Luis Arraez, Manny Machado, Jackson Merrill, Jake Cronenworth, Xander Bogaerts, Gavin Sheets, Jose Iglesias, Martin Maldonado,
2025-04-04, Fernando Tatis Jr., Luis Arraez, Manny Machado, Xander Bogaerts, Jackson Merrill, Yuli Gurriel, Jake Cronenworth, Brandon Lockridge, Martin Maldonado,
2025-04-05, Fernando Tatis Jr., Luis Arraez, Manny Machado, Xander Bogaerts, Jackson Merrill, Yuli Gurriel, Jake Cronenworth, Brandon Lockridge, Elias Diaz,
2025-04-06, Fernando Tatis Jr., Luis Arraez, Manny Machado, Jackson Merrill, Jake Cronenworth, Xander Bogaerts, Gavin Sheets, Jason Heyward, Elias Diaz,
2025-04-07, Fernando Tatis Jr., Luis Arraez, Manny Machado, Jake Cronenworth, Gavin Sheets, Xander Bogaerts, Jason Heyward, Brandon Lockridge, Elias Diaz,
2025-04-08, Fernando Tatis Jr., Luis Arraez, Manny Machado, Xander Bogaerts, Yuli Gurriel, Jake Cronenworth, Jose Iglesias, Brandon Lockridge, Martin Maldonado,
2025-04-09, Luis Arraez, Xander Bogaerts, Manny Machado, Gavin Sheets, Oscar Gonzalez, Jose Iglesias, Jason Heyward, Brandon Lockridge, Martin Maldonado,
2025-04-11, Fernando Tatis Jr., Luis Arraez, Manny Machado, Gavin Sheets, Xander Bogaerts, Jose Iglesias, Jason Heyward, Brandon Lockridge, Elias Diaz,
2025-04-12, Fernando Tatis Jr., Luis Arraez, Manny Machado, Gavin Sheets, Xander Bogaerts, Jose Iglesias, Jason Heyward, Brandon Lockridge, Martin Maldonado,
2025-04-13, Fernando Tatis Jr., Luis Arraez, Manny Machado, Xander Bogaerts, Oscar Gonzalez, Yuli Gurriel, Jose Iglesias, Brandon Lockridge, Elias Diaz,
2025-04-14, Fernando Tatis Jr., Luis Arraez, Manny Machado, Gavin Sheets, Xander Bogaerts, Jose Iglesias, Jason Heyward, Tyler Wade, Martin Maldonado,
2025-04-15, Fernando Tatis Jr., Luis Arraez, Manny Machado, Xander Bogaerts, Oscar Gonzalez, Yuli Gurriel, Jose Iglesias, Jason Heyward, Martin Maldonado,
2025-04-16, Fernando Tatis Jr., Luis Arraez, Manny Machado, Xander Bogaerts, Oscar Gonzalez, Jose Iglesias, Connor Joe, Elias Diaz, Tyler Wade,
2025-04-18, Fernando Tatis Jr., Luis Arraez, Manny Machado, Xander Bogaerts, Gavin Sheets, Oscar Gonzalez, Jose Iglesias, Tyler Wade, Martin Maldonado,
2025-04-19, Fernando Tatis Jr., Luis Arraez, Manny Machado, Gavin Sheets, Oscar Gonzalez, Jose Iglesias, Tyler Wade, Elias Diaz, Connor Joe,
2025-04-20, Fernando Tatis Jr., Luis Arraez, Manny Machado, Xander Bogaerts, Oscar Gonzalez, Yuli Gurriel, Jose Iglesias, Tyler Wade, Martin Maldonado,
2025-04-21, Fernando Tatis Jr., Gavin Sheets, Manny Machado, Xander Bogaerts, Tirso Ornelas, Oscar Gonzalez, Jose Iglesias, Tyler Wade, Martin Maldonado,
2025-04-22, Fernando Tatis Jr., Gavin Sheets, Manny Machado, Xander Bogaerts, Oscar Gonzalez, Jose Iglesias, Elias Diaz, Tyler Wade, Mason McCoy,
2025-04-23, Fernando Tatis Jr., Gavin Sheets, Manny Machado, Xander Bogaerts, Xander Bogaerts, Tirso Ornelas, Oscar Gonzalez, Jose Iglesias, Tyler Wade,
2025-04-25, Fernando Tatis Jr., Xander Bogaerts, Manny Machado, Gavin Sheets, Oscar Gonzalez, Jose Iglesias, Tirso Ornelas, Elias Diaz, Tyler Wade,
2025-04-26, Fernando Tatis Jr., Gavin Sheets, Manny Machado, Xander Bogaerts, Tirso Ornelas, Yuli Gurriel, Jose Iglesias, Tyler Wade, Martin Maldonado,
2025-04-27, Fernando Tatis Jr., Gavin Sheets, Manny Machado, Xander Bogaerts, Oscar Gonzalez, Tirso Ornelas, Jose Iglesias, Tyler Wade, Martin Maldonado,
2025-04-29, Fernando Tatis Jr., Luis Arraez, Manny Machado, Gavin Sheets, Xander Bogaerts, Jose Iglesias, Tyler Wade, Jason Heyward, Elias Diaz,
2025-04-30, Fernando Tatis Jr., Luis Arraez, Manny Machado, Gavin Sheets, Xander Bogaerts, Jose Iglesias, Tyler Wade, Jason Heyward, Elias Diaz,
2025-05-02, Fernando Tatis Jr., Luis Arraez, Manny Machado, Gavin Sheets, Xander Bogaerts, Jose Iglesias, Tyler Wade, Jason Heyward, Martin Maldonado,
