date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2026-03-26, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Gabriel Moreno, Nolan Arenado, Carlos Santana, Jordan Lawlar, Alek Thomas, Tim Tawa,
2026-03-27, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Gabriel Moreno, Pavin Smith, Nolan Arenado, Carlos Santana, Alek Thomas, Jordan Lawlar,
2026-03-28, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Pavin Smith, Nolan Arenado, Alek Thomas, Carlos Santana, James McCann, Jorge Barrosa,
2026-03-30, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Gabriel Moreno, Nolan Arenado, Alek Thomas, Carlos Santana, Ildemaro Vargas, Jordan Lawlar,
2026-03-31, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Gabriel Moreno, Alek Thomas, Jose Fernandez, Carlos Santana, James McCann, Jordan Lawlar,
2026-04-01, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Gabriel Moreno, Ildemaro Vargas, Nolan Arenado, Jose Fernandez, Tim Tawa, Jordan Lawlar,
2026-04-02, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Gabriel Moreno, Alek Thomas, Nolan Arenado, Carlos Santana, Jordan Lawlar, Jorge Barrosa,
2026-04-03, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Gabriel Moreno, Nolan Arenado, Alek Thomas, James McCann, Carlos Santana, Tim Tawa,
2026-04-04, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Gabriel Moreno, Adrian Del Castillo, Nolan Arenado, Jose Fernandez, Alek Thomas, Jorge Barrosa,
2026-04-05, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Nolan Arenado, Jose Fernandez, Carlos Santana, Tim Tawa, James McCann, Jorge Barrosa,
2026-04-07, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Gabriel Moreno, Adrian Del Castillo, Nolan Arenado, Ildemaro Vargas, Alek Thomas, Jorge Barrosa,
2026-04-08, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Gabriel Moreno, Nolan Arenado, Ildemaro Vargas, Jose Fernandez, Tim Tawa, Jorge Barrosa,
2026-04-09, Ketel Marte, Ildemaro Vargas, Geraldo Perdomo, Adrian Del Castillo, Jose Fernandez, James McCann, Alek Thomas, Tim Tawa, Jorge Barrosa,
2026-04-10, Ketel Marte, Ildemaro Vargas, Geraldo Perdomo, Gabriel Moreno, Nolan Arenado, Jose Fernandez, Tim Tawa, Alek Thomas, Jorge Barrosa,
2026-04-11, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Adrian Del Castillo, Jose Fernandez, Nolan Arenado, Tim Tawa, Alek Thomas, Jorge Barrosa,
2026-04-12, Ildemaro Vargas, Corbin Carroll, Geraldo Perdomo, Jose Fernandez, Nolan Arenado, Tim Tawa, James McCann, Alek Thomas, Jorge Barrosa,
2026-04-13, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Adrian Del Castillo, Jose Fernandez, Ildemaro Vargas, Nolan Arenado, Alek Thomas, Jorge Barrosa,
2026-04-14, Ildemaro Vargas, Corbin Carroll, Geraldo Perdomo, Jose Fernandez, Jose Fernandez, Nolan Arenado, Luken Baker, James McCann, Tim Tawa,
2026-04-15, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Adrian Del Castillo, Jose Fernandez, Ildemaro Vargas, Nolan Arenado, Alek Thomas, Jorge Barrosa,
2026-04-17, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Jose Fernandez, Nolan Arenado, Ildemaro Vargas, James McCann, Tim Tawa, Jorge Barrosa,
2026-04-18, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Lourdes Gurriel Jr., Adrian Del Castillo, Jose Fernandez, Nolan Arenado, Ildemaro Vargas, Alek Thomas,
2026-04-19, Ketel Marte, Corbin Carroll, Jose Fernandez, Lourdes Gurriel Jr., Adrian Del Castillo, Ildemaro Vargas, Nolan Arenado, James McCann, Alek Thomas,
2026-04-21, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Adrian Del Castillo, Lourdes Gurriel Jr., Jose Fernandez, Nolan Arenado, Ildemaro Vargas, Alek Thomas,
2026-04-22, Ketel Marte, Corbin Carroll, Geraldo Perdomo, Lourdes Gurriel Jr., Jose Fernandez, Nolan Arenado, Ildemaro Vargas, James McCann, Jorge Barrosa,
2026-04-23, Geraldo Perdomo, Ketel Marte, Corbin Carroll, Adrian Del Castillo, Ildemaro Vargas, Nolan Arenado, Jorge Barrosa, Alek Thomas, Aramis Garcia,
