date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2026-03-27, Austin Slater, Agustin Ramirez, Jakob Marsee, Otto Lopez, Connor Norby, Heriberto Hernandez, Xavier Edwards, Owen Caissie, Javier Sanoja,
2026-03-28, Jakob Marsee, Xavier Edwards, Agustin Ramirez, Liam Hicks, Otto Lopez, Owen Caissie, Griffin Conine, Connor Norby, Graham Pauley,
2026-03-29, Austin Slater, Agustin Ramirez, Jakob Marsee, Otto Lopez, Connor Norby, Heriberto Hernandez, Xavier Edwards, Deyvison De Los Santos, Javier Sanoja,
2026-03-30, Jakob Marsee, Xavier Edwards, Agustin Ramirez, Liam Hicks, Otto Lopez, Owen Caissie, Connor Norby, Griffin Conine, Graham Pauley,
2026-03-31, Jakob Marsee, Xavier Edwards, Agustin Ramirez, Liam Hicks, Otto Lopez, Owen Caissie, Heriberto Hernandez, Griffin Conine, Graham Pauley,
2026-04-01, Jakob Marsee, Xavier Edwards, Otto Lopez, Liam Hicks, Connor Norby, Owen Caissie, Heriberto Hernandez, Graham Pauley, Javier Sanoja,
2026-04-03, Jakob Marsee, Xavier Edwards, Agustin Ramirez, Liam Hicks, Otto Lopez, Owen Caissie, Connor Norby, Griffin Conine, Graham Pauley,
2026-04-04, Austin Slater, Agustin Ramirez, Jakob Marsee, Otto Lopez, Heriberto Hernandez, Connor Norby, Xavier Edwards, Leo Jimenez, Javier Sanoja,
2026-04-05, Austin Slater, Agustin Ramirez, Jakob Marsee, Otto Lopez, Heriberto Hernandez, Connor Norby, Xavier Edwards, Liam Hicks, Javier Sanoja,
2026-04-06, Austin Slater, Agustin Ramirez, Jakob Marsee, Otto Lopez, Heriberto Hernandez, Connor Norby, Xavier Edwards, Leo Jimenez, Javier Sanoja,
2026-04-07, Austin Slater, Agustin Ramirez, Jakob Marsee, Otto Lopez, Heriberto Hernandez, Connor Norby, Xavier Edwards, Leo Jimenez, Javier Sanoja,
2026-04-08, Jakob Marsee, Xavier Edwards, Agustin Ramirez, Liam Hicks, Connor Norby, Owen Caissie, Griffin Conine, Leo Jimenez, Graham Pauley,
2026-04-09, Jakob Marsee, Xavier Edwards, Agustin Ramirez, Liam Hicks, Otto Lopez, Owen Caissie, Griffin Conine, Javier Sanoja, Graham Pauley,
2026-04-10, Jakob Marsee, Xavier Edwards, Agustin Ramirez, Liam Hicks, Otto Lopez, Owen Caissie, Connor Norby, Graham Pauley, Javier Sanoja,
2026-04-11, Jakob Marsee, Xavier Edwards, Agustin Ramirez, Liam Hicks, Otto Lopez, Owen Caissie, Connor Norby, Graham Pauley, Heriberto Hernandez,
2026-04-12, Austin Slater, Agustin Ramirez, Jakob Marsee, Otto Lopez, Heriberto Hernandez, Connor Norby, Xavier Edwards, Deyvison De Los Santos, Javier Sanoja,
2026-04-13, Jakob Marsee, Xavier Edwards, Agustin Ramirez, Liam Hicks, Otto Lopez, Owen Caissie, Connor Norby, Heriberto Hernandez, Graham Pauley,
2026-04-14, Jakob Marsee, Xavier Edwards, Agustin Ramirez, Liam Hicks, Otto Lopez, Owen Caissie, Connor Norby, Javier Sanoja, Graham Pauley,
2026-04-15, Jakob Marsee, Xavier Edwards, Otto Lopez, Liam Hicks, Connor Norby, Owen Caissie, Heriberto Hernandez, Graham Pauley, Deyvison De Los Santos,
2026-04-17, Jakob Marsee, Xavier Edwards, Agustin Ramirez, Liam Hicks, Otto Lopez, Owen Caissie, Connor Norby, Javier Sanoja, Graham Pauley,
2026-04-18, Jakob Marsee, Xavier Edwards, Agustin Ramirez, Liam Hicks, Otto Lopez, Connor Norby, Owen Caissie, Heriberto Hernandez, Javier Sanoja,
2026-04-19, Jakob Marsee, Xavier Edwards, Otto Lopez, Kyle Stowers, Agustin Ramirez, Liam Hicks, Connor Norby, Owen Caissie, Graham Pauley,
2026-04-20, Jakob Marsee, Kyle Stowers, Otto Lopez, Xavier Edwards, Liam Hicks, Agustin Ramirez, Owen Caissie, Graham Pauley, Connor Norby,
2026-04-21, Jakob Marsee, Kyle Stowers, Otto Lopez, Xavier Edwards, Liam Hicks, Agustin Ramirez, Owen Caissie, Graham Pauley, Connor Norby,
2026-04-22, Jakob Marsee, Xavier Edwards, Otto Lopez, Liam Hicks, Agustin Ramirez, Heriberto Hernandez, Owen Caissie, Leo Jimenez, Javier Sanoja,
2026-04-24, Jakob Marsee, Kyle Stowers, Otto Lopez, Xavier Edwards, Liam Hicks, Agustin Ramirez, Owen Caissie, Graham Pauley, Connor Norby,
2026-04-25, Agustin Ramirez, Otto Lopez, Kyle Stowers, Connor Norby, Xavier Edwards, Heriberto Hernandez, Leo Jimenez, Javier Sanoja, Esteury Ruiz,
2026-04-26, Jakob Marsee, Kyle Stowers, Otto Lopez, Xavier Edwards, Liam Hicks, Owen Caissie, Connor Norby, Graham Pauley, Heriberto Hernandez,
2026-04-27, Jakob Marsee, Kyle Stowers, Otto Lopez, Xavier Edwards, Liam Hicks, Agustin Ramirez, Owen Caissie, Javier Sanoja, Connor Norby,
