date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2026-03-26, James Wood, Andres Chaparro, Brady House, Daylen Lile, Joey Wiemer, CJ Abrams, Nasim Nunez, Keibert Ruiz, Jacob Young,
2026-03-28, James Wood, Drew Millas, Luis Garcia Jr., Daylen Lile, Brady House, Jorbit Vivas, Nasim Nunez, Jose Tena, Jacob Young,
2026-03-29, James Wood, Andres Chaparro, Brady House, Daylen Lile, Joey Wiemer, CJ Abrams, Nasim Nunez, Keibert Ruiz, Jacob Young,
2026-03-30, James Wood, Luis Garcia Jr., Brady House, Daylen Lile, CJ Abrams, Drew Millas, Jose Tena, Jorbit Vivas, Joey Wiemer,
2026-03-31, James Wood, Luis Garcia Jr., CJ Abrams, Daylen Lile, Jorbit Vivas, Keibert Ruiz, Jose Tena, Joey Wiemer, Nasim Nunez,
2026-04-01, James Wood, Curtis Mead, Brady House, Daylen Lile, Joey Wiemer, CJ Abrams, Nasim Nunez, Jacob Young, Drew Millas,
2026-04-03, James Wood, Luis Garcia Jr., Daylen Lile, Brady House, CJ Abrams, Nasim Nunez, Jorbit Vivas, Keibert Ruiz, Jacob Young,
2026-04-04, James Wood, Luis Garcia Jr., Brady House, Daylen Lile, CJ Abrams, Curtis Mead, Jorbit Vivas, Drew Millas, Jacob Young,
2026-04-05, James Wood, Nasim Nunez, Luis Garcia Jr., Daylen Lile, Joey Wiemer, CJ Abrams, Jorbit Vivas, Keibert Ruiz, Jose Tena,
2026-04-06, James Wood, Luis Garcia Jr., Brady House, Daylen Lile, CJ Abrams, Nasim Nunez, Jose Tena, Drew Millas, Jacob Young,
2026-04-07, James Wood, Curtis Mead, Brady House, Daylen Lile, Joey Wiemer, CJ Abrams, Jacob Young, Nasim Nunez, Keibert Ruiz,
2026-04-08, James Wood, Luis Garcia Jr., Brady House, Daylen Lile, CJ Abrams, Nasim Nunez, Jose Tena, Drew Millas, Jacob Young,
2026-04-10, James Wood, Curtis Mead, Daylen Lile, Brady House, CJ Abrams, Joey Wiemer, Luis Garcia Jr., Jorbit Vivas, Keibert Ruiz,
2026-04-11, James Wood, Curtis Mead, Brady House, Daylen Lile, Joey Wiemer, CJ Abrams, Jacob Young, Nasim Nunez, Keibert Ruiz,
2026-04-12, James Wood, Luis Garcia Jr., Brady House, Daylen Lile, CJ Abrams, Jacob Young, Jorbit Vivas, Drew Millas, Nasim Nunez,
2026-04-13, James Wood, Luis Garcia Jr., CJ Abrams, Daylen Lile, Jacob Young, Jose Tena, Jorbit Vivas, Nasim Nunez, Keibert Ruiz,
2026-04-14, James Wood, Luis Garcia Jr., Brady House, Daylen Lile, CJ Abrams, Jacob Young, Jorbit Vivas, Drew Millas, Nasim Nunez,
2026-04-15, James Wood, Curtis Mead, Daylen Lile, Brady House, CJ Abrams, Joey Wiemer, Jorbit Vivas, Keibert Ruiz, Luis Garcia Jr.,
2026-04-16, James Wood, Luis Garcia Jr., Brady House, Daylen Lile, CJ Abrams, Jacob Young, Jorbit Vivas, Drew Millas, Nasim Nunez,
2026-04-17, James Wood, Brady House, Luis Garcia Jr., CJ Abrams, Joey Wiemer, Daylen Lile, Nasim Nunez, Jose Tena, Keibert Ruiz,
2026-04-18, James Wood, Luis Garcia Jr., Jose Tena, CJ Abrams, Jacob Young, Daylen Lile, Nasim Nunez, Jorbit Vivas, Drew Millas,
2026-04-19, James Wood, Curtis Mead, Brady House, CJ Abrams, Jacob Young, Joey Wiemer, Luis Garcia Jr., Nasim Nunez, Keibert Ruiz,
