player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
Shohei Ohtani,LAA,31.0,40.0,79.0,2.0,0.0,0.0,0.0,0.0,0.0
Mike Trout,LAA,0.0,99.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Rendon,LAA,0.0,1.0,12.0,24.0,8.0,0.0,0.0,0.0,0.0
Jared Walsh,LAA,0.0,0.0,12.0,38.0,34.0,17.0,5.0,1.0,0.0
Jose Rojas,LAA,0.0,0.0,0.0,1.0,1.0,4.0,2.0,6.0,0.0
Brandon Marsh,LAA,7.0,4.0,0.0,1.0,11.0,30.0,20.0,28.0,14.0
Kurt Suzuki,LAA,0.0,0.0,0.0,0.0,1.0,5.0,27.0,6.0,2.0
Tyler Wade,LAA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,15.0
David Fletcher,LAA,30.0,1.0,0.0,0.0,2.0,3.0,1.0,5.0,11.0
Matt Duffy,LAA,4.0,0.0,2.0,12.0,13.0,14.0,10.0,2.0,0.0
Max Stassi,LAA,0.0,0.0,1.0,7.0,18.0,18.0,25.0,18.0,6.0
Jack Mayfield,LAA,0.0,0.0,0.0,3.0,3.0,5.0,6.0,0.0,1.0
Jo Adell,LAA,0.0,1.0,0.0,4.0,18.0,20.0,17.0,10.0,0.0
Andrew Velazquez,LAA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,84.0
Taylor Ward,LAA,50.0,13.0,8.0,46.0,14.0,0.0,0.0,0.0,0.0
Chad Wallach,LAA,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0
Luis Rengifo,LAA,23.0,2.0,30.0,20.0,21.0,11.0,3.0,7.0,2.0
Aaron Whitefield,LAA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Austin Romine,LAA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,35.0
Juan Lagares,LAA,2.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,2.0
Dillon Thomas,LAA,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
David MacKinnon,LAA,0.0,1.0,0.0,3.0,1.0,4.0,1.0,3.0,0.0
Monte Harrison,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Jonathan Villar,LAA,7.0,5.0,3.0,1.0,3.0,14.0,7.0,7.0,5.0
Michael Stefanic,LAA,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,7.0
Phil Gosselin,LAA,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0
Magneuris Sierra,LAA,1.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,10.0
Mickey Moniak,LAA,3.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,11.0
Steven Duggar,LAA,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,6.0
Mike Ford,LAA,0.0,0.0,0.0,1.0,12.0,13.0,8.0,2.0,1.0
Matt Thaiss,LAA,0.0,0.0,0.0,0.0,6.0,5.0,4.0,3.0,1.0
Ryan Aguilar,LAA,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0
Livan Soto,LAA,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0
Logan O'Hoppe,LAA,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
Jose Altuve,HOU,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Brantley,HOU,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Bregman,HOU,0.0,2.0,76.0,74.0,0.0,0.0,0.0,0.0,0.0
Yordan Alvarez,HOU,0.0,0.0,70.0,62.0,0.0,0.0,0.0,0.0,0.0
Aledmys Diaz,HOU,0.0,11.0,2.0,4.0,13.0,21.0,25.0,0.0,0.0
Kyle Tucker,HOU,1.0,1.0,11.0,17.0,82.0,35.0,0.0,0.0,0.0
Jeremy Pena,HOU,8.0,49.0,0.0,0.0,1.0,17.0,43.0,10.0,3.0
Jose Siri,HOU,4.0,0.0,1.0,0.0,2.0,4.0,5.0,31.0,40.0
Martin Maldonado,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
Niko Goodrum,HOU,0.0,2.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0
Jason Castro,HOU,0.0,0.0,0.0,0.0,0.0,1.0,2.0,17.0,2.0
Chas McCormick,HOU,8.0,1.0,0.0,0.0,0.0,4.0,31.0,44.0,10.0
Yuli Gurriel,HOU,0.0,29.0,1.0,3.0,55.0,52.0,0.0,0.0,0.0
J.J. Matijevic,HOU,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0
