player,avg,ngames,teamgames,team
Zach Neto,1.19,113,117,LAA
Mike Trout,2.00, 98,117,LAA
Nolan Schanuel,3.63, 94,117,LAA
Jorge Soler,3.87, 85,117,LAA
Yoan Moncada,5.12, 32,117,LAA
Jo Adell,4.98,114,117,LAA
Josh Lowe,7.18, 61,117,LAA
Logan O'Hoppe,8.16, 67,117,LAA
Oswald Peraza,6.61, 69,117,LAA
Travis d'Arnaud,7.75, 16,117,LAA
Adam Frazier,8.92, 24,117,LAA
Jeimer Candelario,5.25,  4,117,LAA
Bryce Teodosio,8.93, 15,117,LAA
Vaughn Grissom,4.29, 66,117,LAA
Sebastian Rivero,8.25, 16,117,LAA
Omar Martinez,9.00,  1,117,LAA
Jose Siri,8.03, 31,117,LAA
Wade Meckler,4.89, 45,117,LAA
Donovan Walton,7.18, 33,117,LAA
Nick Madrigal,6.46, 13,117,LAA
Denzer Guzman,5.73, 40,117,LAA
Trey Mancini,6.33,  3,117,LAA
Logan Porter,8.50,  2,117,LAA
Christian Moore,5.80,  5,117,LAA
Tyler Heineman,8.88, 40,117,LAA
Moises Ballesteros,5.29, 52,117,LAA
Jose Altuve,3.18, 92,118,HOU
Yordan Alvarez,2.09,116,118,HOU
Isaac Paredes,3.26,108,118,HOU
Carlos Correa,2.78, 32,118,HOU
Joey Loperfido,6.37, 27,118,HOU
Cam Smith,6.41,103,118,HOU
Christian Walker,4.16,112,118,HOU
Yainer Diaz,6.80, 55,118,HOU
Jake Meyers,7.22, 36,118,HOU
Jeremy Pena,1.04, 67,118,HOU
Brice Matthews,7.24, 55,118,HOU
Christian Vazquez,8.78, 58,118,HOU
Nick Allen,8.50, 28,118,HOU
Taylor Trammell,6.51, 45,118,HOU
Shay Whitcomb,8.00,  3,118,HOU
Dustin Harris,7.38, 13,118,HOU
Daniel Johnson,7.67,  3,118,HOU
Braden Shewmake,7.04, 25,118,HOU
Zach Cole,6.14, 14,118,HOU
Zach Dezenzo,6.75, 20,118,HOU
Cesar Salazar,8.86,  7,118,HOU
LaMonte Wade Jr.,5.62, 21,118,HOU
Collin Price,8.67,  3,118,HOU
Raynel Delgado,8.70, 10,118,HOU
Lucas Spence,7.90, 10,118,HOU
Daulton Varsho,4.79, 95,118,HOU
Nick Kurtz,1.81, 97,117,ATH
Shea Langeliers,2.35, 93,117,ATH
Tyler Soderstrom,3.79,102,117,ATH
Brent Rooker,3.85, 47,117,ATH
Jacob Wilson,3.41, 75,117,ATH
Lawrence Butler,6.21, 75,117,ATH
Max Muncy,5.96,146,117,ATH
Jeff McNeil,7.39, 84,117,ATH
Denzel Clarke,8.94, 17,117,ATH
Carlos Cortes,4.39, 61,117,ATH
Darell Hernaiz,8.28, 36,117,ATH
Austin Wynns,8.00, 20,117,ATH
Andy Ibanez,5.00,  7,117,ATH
Zack Gelof,6.28, 60,117,ATH
Colby Thomas,4.41, 32,117,ATH
Brett Harris,8.50,  2,117,ATH
Jonah Heim,5.41, 61,117,ATH
Henry Bolte,6.12, 66,117,ATH
Michael Stefanic,9.00,  1,117,ATH
Alika Williams,8.62, 34,117,ATH
Joey Meneses,5.29,  7,117,ATH
Joshua Kuroda-Grauer,5.56, 16,117,ATH
Brian Serven,7.50,  6,117,ATH
Tommy White,5.25, 20,117,ATH
Jonathan Ornelas,9.00,  3,117,ATH
George Springer,1.82, 84,118,TOR
Nathan Lukes,2.53, 68,118,TOR
Vladimir Guerrero Jr.,2.70,108,118,TOR
Addison Barger,3.67,  6,118,TOR
Alejandro Kirk,4.92, 38,118,TOR
Kazuma Okamoto,4.56,111,118,TOR
Ernie Clement,4.73,111,118,TOR
Andres Gimenez,8.14, 98,118,TOR
Davis Schneider,6.34, 35,118,TOR
Myles Straw,7.19, 47,118,TOR
Jesus Sanchez,4.50, 64,118,TOR
Brandon Valenzuela,7.87, 54,118,TOR
Eloy Jimenez,5.33,  9,118,TOR
Lenyn Sosa,5.43, 30,118,TOR
Yohendrick Pinango,4.87, 46,118,TOR
Charles McAdoo,7.29,  7,118,TOR
Luis Urias,6.93, 15,118,TOR
Sean Keys,6.64, 11,118,TOR
Jonatan Clase,8.57,  7,118,TOR
Josh Smith,7.00, 39,118,TOR
Brett Bateman,5.50,  2,118,TOR
Ronald Acuna Jr.,1.12, 65,117,ATL
Drake Baldwin,1.88, 93,117,ATL
Ozzie Albies,3.52,116,117,ATL
Matt Olson,3.20,117,117,ATL
Austin Riley,5.75,114,117,ATL
Eli White,7.22, 36,117,ATL
Mauricio Dubon,5.06,109,117,ATL
Michael Harris II,4.55,103,117,ATL
Mike Yastrzemski,7.15, 74,117,ATL
Dominic Smith,6.31, 64,117,ATL
Jorge Mateo,8.45, 38,117,ATL
Kyle Farmer,7.00,  1,117,ATL
Jose Azocar,8.67,  6,117,ATL
Sean Murphy,7.83,  6,117,ATL
Jim Jarvis,8.81, 27,117,ATL
Ha-Seong Kim,8.25, 24,117,ATL
Sandy Leon,8.76, 17,117,ATL
Chadwick Tromp,9.00, 13,117,ATL
Joey Bart,7.94, 33,117,ATL
Rowdy Tellez,8.00,  1,117,ATL
Brewer Hicklen,8.80,  5,117,ATL
Lane Thomas,3.91, 74,117,ATL
Brice Turang,2.16,111,117,MIL
William Contreras,3.27,102,117,MIL
Christian Yelich,2.21, 76,117,MIL
Andrew Vaughn,4.92, 52,117,MIL
Jake Bauers,4.75, 95,117,MIL
Sal Frelick,6.52, 75,117,MIL
David Hamilton,8.63, 76,117,MIL
Garrett Mitchell,5.30, 93,117,MIL
Joey Ortiz,8.67, 73,117,MIL
Brandon Lockridge,6.13, 23,117,MIL
Luis Rengifo,5.49, 65,117,MIL
Gary Sanchez,4.91, 45,117,MIL
Jeferson Quero,7.00,  1,117,MIL
Blake Perkins,7.54, 24,117,MIL
Luis Matos,6.17,  6,117,MIL
Greg Jones,7.57,  7,117,MIL
Tyler Black,5.00,  7,117,MIL
Jackson Chourio,1.68, 79,117,MIL
Cooper Pratt,7.98, 41,117,MIL
Luis Lara,6.35, 17,117,MIL
JJ Wetherholt,1.00,109,117,STL
Ivan Herrera,2.19,116,117,STL
Alec Burleson,3.34,110,117,STL
Masyn Winn,5.49,106,117,STL
Nolan Gorman,5.24, 54,117,STL
Jordan Walker,3.67,112,117,STL
Nathan Church,7.56, 84,117,STL
Pedro Pages,8.30, 50,117,STL
Victor Scott II,9.00, 54,117,STL
Ramon Urias,6.41, 17,117,STL
Thomas Saggese,7.36, 22,117,STL
Yohel Pozo,7.75,  8,117,STL
Jose Fermin,6.75, 51,117,STL
Cesar Prieto,8.00,  6,117,STL
Bryan Torres,6.85, 26,117,STL
Nelson Velazquez,4.50, 20,117,STL
Jimmy Crooks,8.00, 29,117,STL
Lars Nootbaar,5.02, 47,117,STL
Blaze Jordan,7.74, 39,117,STL
Everson Pereira,5.48, 23,117,STL
Michael Busch,3.64,116,118,CHC
Alex Bregman,2.94,114,118,CHC
Ian Happ,4.55,111,118,CHC
Pete Crow-Armstrong,3.75,117,118,CHC
Nico Hoerner,3.57,114,118,CHC
Carson Kelly,6.44, 72,118,CHC
Dansby Swanson,8.21,112,118,CHC
Matt Shaw,7.34, 32,118,CHC
Miguel Amaya,8.35, 51,118,CHC
Michael Conforto,5.98, 43,118,CHC
Dylan Carlson,9.00,  1,118,CHC
Seiya Suzuki,3.91, 97,118,CHC
Pedro Ramirez,7.21, 24,118,CHC
Kevin Alcantara,8.71,  7,118,CHC
James Triantos,9.00,  1,118,CHC
Tyrone Taylor,7.73, 37,118,CHC
Ketel Marte,1.44,110,118,AZ
Corbin Carroll,2.29,114,118,AZ
Geraldo Perdomo,2.67,113,118,AZ
Gabriel Moreno,4.40, 84,118,AZ
Nolan Arenado,5.52,107,118,AZ
Carlos Santana,6.88,  8,118,AZ
Jordan Lawlar,7.83, 12,118,AZ
Alek Thomas,7.82, 28,118,AZ
Tim Tawa,7.60, 43,118,AZ
Pavin Smith,6.00, 22,118,AZ
James McCann,7.78, 27,118,AZ
Jorge Barrosa,8.66, 32,118,AZ
Ildemaro Vargas,5.48, 79,118,AZ
Jose Fernandez,6.44, 43,118,AZ
Adrian Del Castillo,5.37, 49,118,AZ
Luken Baker,7.00,  1,118,AZ
Lourdes Gurriel Jr.,5.47, 45,118,AZ
Aramis Garcia,8.17,  6,118,AZ
Ryan Waldschmidt,7.92, 49,118,AZ
Tommy Troy,8.70, 37,118,AZ
LuJames Groover,7.86, 14,118,AZ
Max Kepler,5.31, 26,118,AZ
Tyler Locklear,7.38,  8,118,AZ
Shohei Ohtani,1.00,106,117,LAD
Kyle Tucker,4.57,108,117,LAD
Mookie Betts,3.77, 79,117,LAD
Freddie Freeman,3.07,114,117,LAD
Will Smith,4.20, 46,117,LAD
Teoscar Hernandez,6.03, 80,117,LAD
Andy Pages,3.83,114,117,LAD
Miguel Rojas,7.44, 39,117,LAD
Alex Freeland,8.68, 59,117,LAD
Santiago Espinal,8.33, 12,117,LAD
Dalton Rushing,7.66, 59,117,LAD
Alex Call,6.96, 27,117,LAD
Hyeseong Kim,8.31, 35,117,LAD
Ryan Ward,7.06, 17,117,LAD
Enrique Hernandez,8.00,  6,117,LAD
Chuckie Robinson,9.00,  6,117,LAD
Tommy Edman,5.49, 35,117,LAD
Eliezer Alfonzo,9.00,  9,117,LAD
Ben Rortvedt,9.00,  1,117,LAD
Hunter Feduccia,8.51, 53,117,LAD
Luis Arraez,2.09,109,117,SF
Matt Chapman,4.43, 83,117,SF
Rafael Devers,3.73,117,117,SF
Willy Adames,4.21,112,117,SF
