Taylor Ward          2.49
Mike Trout           2.27
Shohei Ohtani        2.40
Anthony Rendon       3.98
Hunter Renfroe       5.39
Jake Lamb            6.00
Luis Rengifo         5.46
Gio Urshela          6.84
Logan O'Hoppe        5.94
Brandon Drury        4.32
David Fletcher       8.38
Matt Thaiss          6.59
Brett Phillips       8.39
Zach Neto            5.76
Chad Wallach         7.98
Chris Okey           8.00
Mickey Moniak        3.97
Livan Soto           9.00
Jared Walsh          6.25
Jo Adell             5.56
Andrew Velazquez     8.88
Michael Stefanic     7.78
Kevin Padlo          6.00
Eduardo Escobar      6.79
Mike Moustakas       4.75
Trey Cabbage         7.67
C.J. Cron            4.18
Randal Grichuk       5.34
Jordyn Adams         8.30
Nolan Schanuel       1.00
Kyren Paris          8.17
Jeremy Pena          5.03
Alex Bregman         2.70
Yordan Alvarez       3.21
Jose Abreu           4.88
Kyle Tucker          3.97
Corey Julks          6.81
David Hensley        7.00
Jake Meyers          8.09
Martin Maldonado     8.97
Chas McCormick       6.16
Yainer Diaz          6.33
Mauricio Dubon       3.66
Cesar Salazar        8.75
Rylan Bannon         8.00
Jose Altuve          1.19
Grae Kessinger       7.38
Bligh Madris         6.50
Jon Singleton        5.86
Michael Brantley     6.29
Esteury Ruiz         3.28
Aledmys Diaz         5.40
Seth Brown           3.92
Jesus Aguilar        4.36
Brent Rooker         3.50
Ramon Laureano       4.54
Shea Langeliers      6.71
Tony Kemp            4.32
Nick Allen           8.70
Jace Peterson        6.25
Conner Capel         6.81
Ryan Noda            2.53
Carlos Perez         5.70
Kevin Smith          7.83
Tyler Wade           8.36
Jordan Diaz          5.57
JJ Bleday            4.41
Jonah Bride          6.17
Manny Pina           7.75
Cody Thomas          5.67
Tyler Soderstrom     6.83
Zack Gelof           2.24
Lawrence Butler      6.67
George Springer      1.57
Bo Bichette          2.03
Vladim Guerrero Jr.  3.22
Daulton Varsho       5.92
Matt Chapman         5.00
Brandon Belt         4.06
Danny Jansen         7.12
Cavan Biggio         6.77
Kevin Kiermaier      8.74
Alejandro Kirk       6.53
Whit Merrifield      4.90
Santiago Espinal     7.98
Jordan Luplow        5.11
Nathan Lukes         7.83
Ernie Clement        7.46
Tyler Heineman       8.93
Spencer Horwitz      5.33
Paul DeJong          7.46
Davis Schneider      4.22
Vladimir Guerrero Jr. 3.10
Cam Eden             9.00
Ronald Acuna Jr.     1.05
Matt Olson           3.19
Austin Riley         3.04
Ozzie Albies         3.61
Michael Harris II    7.71
Travis d'Arnaud      5.44
Eddie Rosario        6.15
Marcell Ozuna        5.89
Orlando Arcia        7.96
Sean Murphy          5.00
Kevin Pillar         7.83
Sam Hilliard         8.42
Eli White            9.00
Vaughn Grissom       7.00
Chadwick Tromp       9.00
Ehire Adrianza       8.50
Braden Shewmake      9.00
Nicky Lopez          8.43
Luke Williams        8.25
Forrest Wall         9.00
Mike Brosseau        5.05
Willy Adames         3.54
Christian Yelich     1.33
William Contreras    2.67
Luke Voit            5.94
Rowdy Tellez         4.26
Brian Anderson       5.92
Owen Miller          4.61
Joey Wiemer          8.52
Jesse Winker         2.91
Garrett Mitchell     6.12
Victor Caratini      6.91
Brice Turang         7.71
Blake Perkins        7.71
Tyrone Taylor        7.71
Darin Ruf            3.53
Andruw Monasterio    6.63
Abraham Toro         6.20
Luis Urias           7.80
Raimel Tapia         5.51
Jahmai Jones         6.75
Sal Frelick          4.12
Carlos Santana       3.61
Mark Canha           5.87
Josh Donaldson       5.23
Brendan Donovan      3.25
Alec Burleson        4.90
Paul Goldschmidt     2.22
Nolan Arenado        3.79
Nolan Gorman         4.41
Tyler O'Neill        5.43
Jordan Walker        6.39
Andrew Knizner       7.97
Tommy Edman          5.62
Willson Contreras    4.60
Dylan Carlson        6.73
Juan Yepez           6.07
Taylor Motter        8.10
Lars Nootbaar        2.61
Oscar Mercado        8.86
Luken Baker          5.87
Ivan Herrera         6.80
Jose Fermin          8.19
Masyn Winn           9.00
Richie Palacios      6.12
Juniel Querecuto     8.00
Irving Lopez         8.00
Nico Hoerner         1.51
Dansby Swanson       3.68
Ian Happ             3.24
Cody Bellinger       4.48
Trey Mancini         6.11
Edwin Rios           6.78
Eric Hosmer          6.77
Nick Madrigal        7.88
Tucker Barnhart      9.00
Yan Gomes            7.32
Patrick Wisdom       7.08
Luis Torrens         8.00
Miles Mastrobuoni    7.91
Nelson Velazquez     5.81
Seiya Suzuki         4.56
Miguel Amaya         8.32
Matt Mervis          7.15
