plr,ngames
Anthony Rendon,49
Aaron Hicks,19
Mike Trout,43
Taylor Ward,157
Brandon Drury,75
Nolan Schanuel,143
Miguel Sano,33
Logan O'Hoppe,133
Zach Neto,154
Luis Rengifo,105
Jo Adell,127
Matt Thaiss,32
Mickey Moniak,114
Ehire Adrianza,8
Cole Tucker,21
Kevin Pillar,67
Willie Calhoun,81
Luis Guillorme,49
Niko Goodrum,10
Kyren Paris,24
Michael Stefanic,10
Keston Hiura,10
Jose Altuve,157
Yordan Alvarez,152
Kyle Tucker,91
Alex Bregman,156
Jose Abreu,47
Chas McCormick,75
Yainer Diaz,144
Jeremy Pena,159
Jake Meyers,124
Mauricio Dubon,103
Victor Caratini,45
Jon Singleton,106
Grae Kessinger,2
Trey Cabbage,29
Joey Loperfido,45
Cooper Hummel,0
Cesar Salazar,10
Aledmys Diaz,14
Esteury Ruiz,23
Zack Gelof,127
J.D. Davis,57
Shea Langeliers,123
Abraham Toro,108
JJ Bleday,143
Darell Hernaiz,32
Nick Allen,32
Lawrence Butler,83
Ryan Noda,32
Brent Rooker,137
Seth Brown,85
Kyle McCann,43
Tyler Nevin,68
Max Schuemann,114
Brett Harris,45
Tyler Soderstrom,63
Daz Cameron,31
Miguel Andujar,79
Armando Alvarez,8
Jacob Wilson,0
George Springer,146
Vladimir Guerrero Jr.,159
Bo Bichette,122
Justin Turner,124
Daulton Varsho,138
Alejandro Kirk,78
Kevin Kiermaier,91
Isiah Kiner-Falefa,113
Cavan Biggio,75
Daniel Vogelbach,30
Ernie Clement,87
Brian Serven,5
Davis Schneider,118
Danny Jansen,81
Addison Barger,25
Spencer Horwitz,54
Orelvis Martinez,0
Leo Jimenez,19
Steward Berroa,2
Ronald Acuna Jr.,75
Ozzie Albies,141
Austin Riley,140
Matt Olson,161
Marcell Ozuna,161
Michael Harris II,104
Orlando Arcia,152
Travis d'Arnaud,83
Jarred Kelenic,128
Adam Duvall,106
Chadwick Tromp,24
David Fletcher,3
Zack Short,34
Luke Williams,5
Sean Murphy,51
Brian Anderson,2
J.P. Martinez,0
Ramon Laureano,47
Forrest Wall,14
Eli White,3
Eddie Rosario,117
Nacho Alvarez Jr.,6
Sal Frelick,130
William Contreras,156
Christian Yelich,112
Willy Adames,0
Jake Bauers,75
Rhys Hoskins,120
Oliver Dunn,34
Brice Turang,148
Jackson Chourio,125
Joey Ortiz,111
Gary Sanchez,61
Blake Perkins,112
Andruw Monasterio,34
Joey Wiemer,8
Owen Miller,10
Tyler Black,13
Eric Haase,8
Garrett Mitchell,21
Vinny Capra,2
Brendan Donovan,152
Paul Goldschmidt,156
Nolan Gorman,135
Nolan Arenado,152
Willson Contreras,89
Alec Burleson,135
Jordan Walker,27
Victor Scott II,24
Masyn Winn,138
Matt Carpenter,43
Ivan Herrera,71
Brandon Crawford,30
Michael Siani,110
Lars Nootbaar,81
Dylan Carlson,43
Jose Fermin,13
Pedro Pages,46
Nico Hoerner,145
Seiya Suzuki,120
Cody Bellinger,120
Christopher Morel,154
Dansby Swanson,140
Ian Happ,153
Garrett Cooper,41
Yan Gomes,39
Michael Busch,136
Mike Tauchman,101
Miguel Amaya,97
Nick Madrigal,30
