,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
0,"Fletcher, David",LAA,87.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0
1,"Ohtani, Shohei",LAA,23.0,117.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Trout, Mike",LAA,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Rendon, Anthony",LAA,0.0,1.0,30.0,25.0,2.0,0.0,0.0,0.0,0.0
4,"Upton, Justin",LAA,25.0,0.0,13.0,14.0,19.0,15.0,1.0,0.0,0.0
5,"Pujols, Albert",LAA,0.0,0.0,0.0,2.0,5.0,7.0,8.0,0.0,0.0
6,"Iglesias, José",LAA,4.0,1.0,3.0,7.0,24.0,24.0,38.0,8.0,2.0
7,"Stassi, Max",LAA,0.0,0.0,6.0,11.0,19.0,11.0,15.0,12.0,6.0
8,"Fowler, Dexter",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
9,"Walsh, Jared",LAA,0.0,5.0,24.0,66.0,33.0,9.0,0.0,0.0,0.0
10,"Suzuki, Kurt",LAA,0.0,0.0,0.0,3.0,5.0,11.0,14.0,21.0,9.0
11,"Lagares, Juan",LAA,0.0,0.0,0.0,5.0,5.0,3.0,20.0,28.0,22.0
12,"Rojas, Jose",LAA,2.0,0.0,0.0,0.0,2.0,20.0,8.0,8.0,2.0
13,"Jay, Jon",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
14,"Mayfield, Jack",LAA,0.0,1.0,2.0,5.0,9.0,4.0,2.0,9.0,35.0
15,"Bemboom, Anthony",LAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0
16,"Rengifo, Luis",LAA,2.0,3.0,0.0,0.0,4.0,4.0,2.0,19.0,12.0
17,"Schebler, Scott",LAA,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
18,"Gosselin, Phil",LAA,2.0,7.0,37.0,20.0,10.0,4.0,2.0,5.0,1.0
19,"Ward, Taylor",LAA,3.0,1.0,5.0,1.0,6.0,16.0,21.0,5.0,1.0
20,"Butera, Drew",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0
21,"Wong, Kean",LAA,0.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,3.0
22,"Bundy, Dylan",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,"Heaney, Andrew",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,"Cobb, Alex",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
