,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,Year
2,1,Charlie Culberson,ATL,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,2023
3,2,Michael Perez,NYM,3,8,8,4,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.500,2023
4,3,Cole Tucker,COL,5,8,10,4,4,0,0,0,2,2,1,0,2,1,0,0,0,0,0,.500,2023
5,4,Zack Collins,CLE,2,4,6,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,.500,2023
6,5,Alejo Lopez,CIN,1,2,2,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,.500,2023
7,6,Forrest Wall,ATL,15,13,15,6,3,2,0,1,6,2,2,0,4,0,0,0,0,5,1,.462,2023
8,7,Abraham Toro,MIL,9,18,21,8,6,0,0,2,4,9,2,0,5,1,0,0,0,0,0,.444,2023
9,8,Tristan Gray,TBR,2,5,5,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.400,2023
10,9,Jeter Downs,WSN,6,5,9,2,2,0,0,0,4,1,4,0,1,0,0,0,0,2,0,.400,2023
11,10,Ernie Clement,TOR,30,50,52,19,16,1,1,1,7,10,1,0,4,0,1,0,0,1,0,.380,2023
12,11,Luis Arraez,MIA,147,574,617,203,160,30,3,10,71,69,35,10,34,4,3,1,18,3,2,.354,2023
13,12,Ronald Acuna Jr.,ATL,159,643,735,217,137,35,4,41,149,106,80,3,84,9,3,0,15,73,14,.337,2023
14,13,Drew Maggi,PIT,3,6,6,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,.333,2023
15,14,Freddie Freeman,LAD,161,637,730,211,121,59,2,29,131,102,72,12,121,16,5,0,14,23,1,.331,2023
16,15,Yandy Diaz,TBR,137,525,600,173,116,35,0,22,95,78,65,0,94,8,2,0,16,0,1,.330,2023
17,16,Corey Seager,TEX,119,477,536,156,81,42,0,33,88,96,49,9,88,4,6,0,9,2,1,.327,2023
18,17,Nick Loftin,KCR,19,62,68,20,14,5,1,0,10,10,4,0,12,1,1,0,0,2,0,.323,2023
19,18,Luis Campusano,SDP,49,163,174,52,38,7,0,7,27,30,7,0,21,3,1,0,8,0,0,.319,2023
20,19,Sean Bouchard,COL,21,38,43,12,6,2,0,4,11,7,4,0,14,0,1,0,0,0,1,.316,2023
21,20,Wilyer Abreu,BOS,28,76,85,24,16,6,0,2,10,14,9,0,23,0,0,0,0,3,1,.316,2023
22,21,Noelvi Marte,CIN,35,114,123,36,26,7,0,3,15,15,8,0,25,1,0,0,1,6,2,.316,2023
23,22,Harold Ramirez,TBR,122,400,434,125,92,19,2,12,58,68,22,0,79,6,6,0,7,5,3,.313,2023
24,23,Weston Wilson,PHI,8,16,22,5,4,0,0,1,5,2,6,0,5,0,0,0,0,3,1,.313,2023
25,24,Jose Altuve,HOU,90,360,410,112,72,21,2,17,76,51,44,0,71,5,1,0,9,14,2,.311,2023
26,25,Royce Lewis,MIN,58,217,239,67,45,7,0,15,36,52,20,0,55,2,0,0,5,6,1,.309,2023
27,26,Josh Naylor,CLE,121,452,495,139,91,31,0,17,52,97,33,9,68,3,7,0,11,10,3,.308,2023
28,27,Cody Bellinger,CHC,130,499,556,153,97,29,1,26,95,97,40,3,87,5,12,0,7,20,6,.307,2023
29,28,Mookie Betts,LAD,152,584,693,179,99,40,1,39,126,107,96,3,107,8,5,0,5,14,3,.307,2023
30,29,Bo Bichette,TOR,135,571,601,175,122,30,3,20,69,73,27,0,115,2,1,0,14,5,3,.306,2023
31,30,Evan Carter,TEX,23,62,75,19,9,4,1,5,15,12,12,1,24,0,1,0,1,3,0,.306,2023
32,31,Shohei Ohtani,LAA,135,497,599,151,73,26,8,44,102,95,91,21,143,3,3,0,9,20,6,.304,2023
33,32,Johan Rojas,PHI,59,149,164,45,32,9,2,2,24,23,5,0,42,4,0,6,1,14,1,.302,2023
34,33,Dominic Fletcher,ARI,28,93,102,28,20,5,1,2,10,14,7,1,22,0,0,2,0,0,2,.301,2023
35,34,Gio Urshela,LAA,62,214,228,64,53,8,1,2,22,24,10,0,36,1,3,0,9,3,2,.299,2023
36,35,Victor Robles,WSN,36,107,126,32,26,5,1,0,15,8,11,0,18,4,0,4,3,8,1,.299,2023
37,36,Jared Triolo,PIT,54,181,209,54,42,9,0,3,30,21,24,0,63,3,1,0,0,6,1,.298,2023
38,37,Ivan Herrera,STL,13,37,44,11,9,2,0,0,6,4,5,0,11,2,0,0,1,0,0,.297,2023
39,38,Nolan Jones,COL,106,367,424,109,63,22,4,20,60,62,53,3,126,3,1,0,1,20,4,.297,2023
40,39,Jarren Duran,BOS,102,332,362,98,54,34,2,8,46,40,24,1,90,3,2,0,3,24,2,.295,2023
41,40,Xavier Edwards,MIA,30,78,84,23,20,3,0,0,12,3,3,0,14,1,0,2,1,5,0,.295,2023
42,41,Alexander Canario,CHC,6,17,17,5,2,1,1,1,1,6,0,0,8,0,0,0,0,0,0,.294,2023
43,42,Jon Berti,MIA,133,388,424,114,88,16,3,7,53,33,29,2,77,2,3,2,10,16,6,.294,2023
44,43,Bryce Harper,PHI,126,457,546,134,83,29,1,21,84,72,80,8,119,5,4,0,10,11,3,.293,2023
45,44,Michael Harris II,ATL,138,505,539,148,94,33,3,18,76,57,25,1,101,5,3,1,8,20,4,.293,2023
46,45,Yordan Alvarez,HOU,114,410,496,120,64,24,1,31,77,97,69,5,92,13,4,0,7,0,0,.293,2023
47,46,Josh Lowe,TBR,135,466,501,136,81,33,2,20,71,83,31,2,124,1,3,0,6,32,3,.292,2023
48,47,Matt McLain,CIN,89,365,403,106,63,23,4,16,65,50,31,0,115,7,0,0,5,14,5,.290,2023
49,48,Oscar Mercado,STL,20,31,32,9,6,3,0,0,3,5,1,0,4,0,0,0,0,2,1,.290,2023
50,49,Michael Stefanic,LAA,25,62,71,18,15,2,1,0,5,6,8,0,8,1,0,0,0,0,1,.290,2023
51,50,Tom Murphy,SEA,47,145,159,42,22,12,0,8,19,17,10,0,44,1,2,0,4,0,0,.290,2023
52,51,Ryan O'Hearn,BAL,112,346,368,100,63,22,1,14,48,60,15,2,82,3,3,1,2,5,1,.289,2023
53,52,William Contreras,MIL,141,540,611,156,100,38,1,17,86,78,63,2,126,5,2,1,23,6,1,.289,2023
54,53,Masataka Yoshida,BOS,140,537,580,155,104,33,3,15,71,72,34,0,81,7,2,0,20,8,0,.289,2023
55,54,Riley Greene,DET,99,378,416,109,75,19,4,11,51,37,35,0,114,1,2,0,7,7,0,.288,2023
56,55,Pablo Reyes,BOS,64,167,185,48,37,9,0,2,27,20,14,0,21,0,2,2,3,7,2,.287,2023
57,56,Drew Millas,WSN,11,28,33,8,5,2,0,1,1,6,4,0,5,0,0,1,2,0,0,.286,2023
58,57,Andre Lipcius,DET,13,35,38,10,8,1,0,1,3,4,3,0,8,0,0,0,1,0,0,.286,2023
59,58,Seiya Suzuki,CHC,138,515,583,147,90,31,6,20,75,74,59,3,130,2,7,0,8,6,7,.285,2023
60,59,Xander Bogaerts,SDP,155,596,665,170,118,31,2,19,83,58,56,0,110,7,6,0,21,19,2,.285,2023
61,60,Corbin Carroll,ARI,155,565,645,161,96,30,10,25,116,76,57,1,125,13,4,6,7,54,5,.285,2023
62,61,Gabriel Moreno,ARI,111,341,380,97,70,19,1,7,33,50,29,0,75,3,7,0,17,6,2,.284,2023
63,62,Brendan Donovan,STL,95,327,371,93,71,10,1,11,48,34,33,2,53,9,1,1,4,5,1,.284,2023
64,63,Kyle Tucker,HOU,157,574,674,163,92,37,5,29,97,112,80,9,92,3,10,0,11,30,5,.284,2023
65,64,Wilmer Flores,SFG,126,405,454,115,70,22,0,23,51,60,41,1,63,5,3,0,13,0,0,.284,2023
66,65,Matt Olson,ATL,162,608,720,172,88,27,3,54,127,139,104,8,167,4,4,0,13,1,0,.283,2023
