date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2021-10-05, Kyle Schwarber, Enrique Hernandez, Rafael Devers, Xander Bogaerts, Alex Verdugo, Hunter Renfroe, Kevin Plawecki, Bobby Dalbec, Christian Arroyo,
2021-10-07, Enrique Hernandez, Kyle Schwarber, Xander Bogaerts, Rafael Devers, Hunter Renfroe, Alex Verdugo, Bobby Dalbec, Christian Vazquez, Christian Arroyo,
2021-10-08, Kyle Schwarber, Enrique Hernandez, Rafael Devers, Xander Bogaerts, Alex Verdugo, J.D. Martinez, Hunter Renfroe, Christian Vazquez, Christian Arroyo,
2021-10-10, Kyle Schwarber, Enrique Hernandez, Rafael Devers, Xander Bogaerts, Alex Verdugo, J.D. Martinez, Hunter Renfroe, Kevin Plawecki, Christian Arroyo,
2021-10-11, Kyle Schwarber, Enrique Hernandez, Rafael Devers, Xander Bogaerts, Alex Verdugo, J.D. Martinez, Hunter Renfroe, Christian Vazquez, Christian Arroyo,
2021-10-15, Enrique Hernandez, Kyle Schwarber, Xander Bogaerts, Rafael Devers, J.D. Martinez, Hunter Renfroe, Alex Verdugo, Christian Arroyo, Christian Vazquez,
2021-10-16, Kyle Schwarber, Enrique Hernandez, Rafael Devers, Xander Bogaerts, Alex Verdugo, J.D. Martinez, Hunter Renfroe, Kevin Plawecki, Christian Arroyo,
2021-10-18, Kyle Schwarber, Enrique Hernandez, Rafael Devers, Xander Bogaerts, Alex Verdugo, J.D. Martinez, Hunter Renfroe, Christian Vazquez, Christian Arroyo,
2021-10-19, Kyle Schwarber, Enrique Hernandez, Rafael Devers, Xander Bogaerts, Alex Verdugo, J.D. Martinez, Hunter Renfroe, Christian Vazquez, Christian Arroyo,
2021-10-20, Enrique Hernandez, Kyle Schwarber, Xander Bogaerts, Rafael Devers, J.D. Martinez, Hunter Renfroe, Alex Verdugo, Christian Arroyo, Christian Vazquez,
2021-10-22, Kyle Schwarber, Enrique Hernandez, Rafael Devers, Xander Bogaerts, J.D. Martinez, Alex Verdugo, Christian Arroyo, Hunter Renfroe, Kevin Plawecki,
