date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2022-10-11, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Trey Mancini, Chas McCormick, Martin Maldonado,
2022-10-13, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Aledmys Diaz, Jake Meyers, Martin Maldonado,
2022-10-15, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Trey Mancini, Chas McCormick, Martin Maldonado,
2022-10-19, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Aledmys Diaz, Chas McCormick, Martin Maldonado,
2022-10-20, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Aledmys Diaz, Chas McCormick, Martin Maldonado,
2022-10-22, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Trey Mancini, Christian Vazquez, Chas McCormick,
2022-10-23, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Trey Mancini, Chas McCormick, Martin Maldonado,
2022-10-28, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Trey Mancini, Chas McCormick, Martin Maldonado,
2022-10-29, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Aledmys Diaz, Chas McCormick, Martin Maldonado,
2022-11-01, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, David Hensley, Chas McCormick, Martin Maldonado,
2022-11-02, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Christian Vazquez, Aledmys Diaz, Chas McCormick,
2022-11-03, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, David Hensley, Chas McCormick, Martin Maldonado,
2022-11-05, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Christian Vazquez, Trey Mancini, Chas McCormick, Martin Maldonado,
