date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2023-10-03, Corbin Carroll, Ketel Marte, Tommy Pham, Christian Walker, Gabriel Moreno, Lourdes Gurriel Jr., Alek Thomas, Evan Longoria, Geraldo Perdomo,
2023-10-04, Corbin Carroll, Ketel Marte, Tommy Pham, Christian Walker, Gabriel Moreno, Lourdes Gurriel Jr., Alek Thomas, Evan Longoria, Geraldo Perdomo,
2023-10-07, Ketel Marte, Corbin Carroll, Tommy Pham, Christian Walker, Gabriel Moreno, Lourdes Gurriel Jr., Alek Thomas, Evan Longoria, Geraldo Perdomo,
2023-10-09, Corbin Carroll, Ketel Marte, Tommy Pham, Christian Walker, Gabriel Moreno, Lourdes Gurriel Jr., Alek Thomas, Evan Longoria, Geraldo Perdomo,
2023-10-11, Corbin Carroll, Ketel Marte, Tommy Pham, Christian Walker, Gabriel Moreno, Lourdes Gurriel Jr., Alek Thomas, Evan Longoria, Geraldo Perdomo,
2023-10-16, Corbin Carroll, Ketel Marte, Tommy Pham, Christian Walker, Gabriel Moreno, Lourdes Gurriel Jr., Alek Thomas, Evan Longoria, Geraldo Perdomo,
2023-10-17, Corbin Carroll, Ketel Marte, Tommy Pham, Christian Walker, Gabriel Moreno, Lourdes Gurriel Jr., Alek Thomas, Evan Longoria, Geraldo Perdomo,
2023-10-19, Ketel Marte, Corbin Carroll, Gabriel Moreno, Christian Walker, Tommy Pham, Lourdes Gurriel Jr., Evan Longoria, Emmanuel Rivera, Geraldo Perdomo,
2023-10-20, Ketel Marte, Corbin Carroll, Gabriel Moreno, Christian Walker, Tommy Pham, Lourdes Gurriel Jr., Evan Longoria, Emmanuel Rivera, Geraldo Perdomo,
2023-10-21, Corbin Carroll, Ketel Marte, Gabriel Moreno, Christian Walker, Pavin Smith, Lourdes Gurriel Jr., Alek Thomas, Evan Longoria, Geraldo Perdomo,
2023-10-23, Corbin Carroll, Ketel Marte, Gabriel Moreno, Christian Walker, Tommy Pham, Lourdes Gurriel Jr., Alek Thomas, Evan Longoria, Geraldo Perdomo,
2023-10-24, Ketel Marte, Corbin Carroll, Gabriel Moreno, Christian Walker, Tommy Pham, Lourdes Gurriel Jr., Evan Longoria, Emmanuel Rivera, Geraldo Perdomo,
2023-10-27, Corbin Carroll, Ketel Marte, Gabriel Moreno, Christian Walker, Tommy Pham, Lourdes Gurriel Jr., Alek Thomas, Evan Longoria, Geraldo Perdomo,
2023-10-28, Ketel Marte, Corbin Carroll, Gabriel Moreno, Christian Walker, Tommy Pham, Lourdes Gurriel Jr., Alek Thomas, Evan Longoria, Geraldo Perdomo,
2023-10-30, Corbin Carroll, Ketel Marte, Gabriel Moreno, Christian Walker, Tommy Pham, Lourdes Gurriel Jr., Alek Thomas, Evan Longoria, Geraldo Perdomo,
2023-10-31, Ketel Marte, Corbin Carroll, Gabriel Moreno, Christian Walker, Christian Walker, Tommy Pham, Lourdes Gurriel Jr., Alek Thomas, Emmanuel Rivera,
2023-11-01, Corbin Carroll, Ketel Marte, Gabriel Moreno, Christian Walker, Tommy Pham, Lourdes Gurriel Jr., Alek Thomas, Evan Longoria, Geraldo Perdomo,
