date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2023-10-03, Kyle Schwarber, Trea Turner, Alec Bohm, Bryce Harper, J.T. Realmuto, Nick Castellanos, Bryson Stott, Cristian Pache, Johan Rojas,
2023-10-04, Kyle Schwarber, Trea Turner, Alec Bohm, Bryce Harper, J.T. Realmuto, Nick Castellanos, Bryson Stott, Cristian Pache, Johan Rojas,
2023-10-07, Kyle Schwarber, Trea Turner, Bryce Harper, Alec Bohm, Bryson Stott, J.T. Realmuto, Nick Castellanos, Brandon Marsh, Johan Rojas,
2023-10-09, Kyle Schwarber, Trea Turner, Alec Bohm, Bryce Harper, J.T. Realmuto, Nick Castellanos, Bryson Stott, Cristian Pache, Johan Rojas,
2023-10-11, Kyle Schwarber, Trea Turner, Bryce Harper, Alec Bohm, Bryson Stott, J.T. Realmuto, Nick Castellanos, Brandon Marsh, Johan Rojas,
2023-10-12, Kyle Schwarber, Trea Turner, Alec Bohm, Bryson Stott, J.T. Realmuto, Nick Castellanos, Brandon Marsh, Johan Rojas, Kyle Schwarber,
2023-10-16, Kyle Schwarber, Trea Turner, Bryce Harper, Alec Bohm, Bryson Stott, J.T. Realmuto, Nick Castellanos, Brandon Marsh, Johan Rojas,
2023-10-17, Kyle Schwarber, Trea Turner, Bryce Harper, Alec Bohm, Bryson Stott, Bryson Stott, J.T. Realmuto, Nick Castellanos, Brandon Marsh,
2023-10-19, Kyle Schwarber, Trea Turner, Bryce Harper, Alec Bohm, Bryson Stott, J.T. Realmuto, Nick Castellanos, Brandon Marsh, Johan Rojas,
2023-10-20, Kyle Schwarber, Trea Turner, Bryce Harper, Alec Bohm, Bryson Stott, J.T. Realmuto, Nick Castellanos, Brandon Marsh, Johan Rojas,
2023-10-21, Kyle Schwarber, Trea Turner, Bryce Harper, Alec Bohm, Bryson Stott, J.T. Realmuto, Nick Castellanos, Brandon Marsh, Johan Rojas,
2023-10-23, Kyle Schwarber, Trea Turner, Bryce Harper, Alec Bohm, Bryson Stott, J.T. Realmuto, Nick Castellanos, Brandon Marsh, Johan Rojas,
2023-10-24, Kyle Schwarber, Trea Turner, Bryce Harper, Alec Bohm, Bryson Stott, J.T. Realmuto, Nick Castellanos, Brandon Marsh, Johan Rojas,
