date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2023-10-03, Marcus Semien, Corey Seager, Robbie Grossman, Adolis Garcia, Nathaniel Lowe, Jonah Heim, Leody Taveras, Josh Jung, Evan Carter,
2023-10-04, Marcus Semien, Corey Seager, Robbie Grossman, Adolis Garcia, Nathaniel Lowe, Jonah Heim, Leody Taveras, Josh Jung, Evan Carter,
2023-10-07, Marcus Semien, Corey Seager, Robbie Grossman, Adolis Garcia, Evan Carter, Jonah Heim, Nathaniel Lowe, Josh Jung, Leody Taveras,
2023-10-08, Marcus Semien, Corey Seager, Mitch Garver, Adolis Garcia, Evan Carter, Jonah Heim, Nathaniel Lowe, Josh Jung, Leody Taveras,
2023-10-10, Marcus Semien, Corey Seager, Mitch Garver, Adolis Garcia, Evan Carter, Jonah Heim, Nathaniel Lowe, Josh Jung, Leody Taveras,
2023-10-15, Marcus Semien, Corey Seager, Mitch Garver, Adolis Garcia, Evan Carter, Jonah Heim, Nathaniel Lowe, Josh Jung, Leody Taveras,
2023-10-16, Marcus Semien, Corey Seager, Robbie Grossman, Adolis Garcia, Mitch Garver, Jonah Heim, Nathaniel Lowe, Josh Jung, Leody Taveras,
2023-10-18, Marcus Semien, Corey Seager, Evan Carter, Adolis Garcia, Jonah Heim, Mitch Garver, Nathaniel Lowe, Josh Jung, Leody Taveras,
2023-10-19, Marcus Semien, Corey Seager, Evan Carter, Adolis Garcia, Mitch Garver, Jonah Heim, Nathaniel Lowe, Josh Jung, Leody Taveras,
2023-10-20, Marcus Semien, Corey Seager, Evan Carter, Adolis Garcia, Leody Taveras, Josh Jung, Nathaniel Lowe, Mitch Garver, Jonah Heim,
2023-10-22, Marcus Semien, Corey Seager, Robbie Grossman, Adolis Garcia, Mitch Garver, Jonah Heim, Nathaniel Lowe, Josh Jung, Leody Taveras,
2023-10-23, Marcus Semien, Corey Seager, Evan Carter, Adolis Garcia, Mitch Garver, Jonah Heim, Nathaniel Lowe, Josh Jung, Leody Taveras,
2023-10-27, Marcus Semien, Corey Seager, Evan Carter, Adolis Garcia, Mitch Garver, Jonah Heim, Nathaniel Lowe, Josh Jung, Leody Taveras,
2023-10-28, Marcus Semien, Corey Seager, Evan Carter, Adolis Garcia, Mitch Garver, Jonah Heim, Nathaniel Lowe, Josh Jung, Leody Taveras,
2023-10-30, Marcus Semien, Corey Seager, Adolis Garcia, Evan Carter, Mitch Garver, Jonah Heim, Nathaniel Lowe, Josh Jung, Leody Taveras,
2023-10-31, Marcus Semien, Corey Seager, Mitch Garver, Evan Carter, Josh Jung, Nathaniel Lowe, Jonah Heim, Leody Taveras, Travis Jankowski,
2023-11-01, Marcus Semien, Corey Seager, Evan Carter, Mitch Garver, Josh Jung, Nathaniel Lowe, Jonah Heim, Leody Taveras, Travis Jankowski,
