date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2024-10-01, Francisco Lindor, Jose Iglesias, Brandon Nimmo, Mark Vientos, Pete Alonso, Jesse Winker, Starling Marte, Tyrone Taylor, Francisco Alvarez,
2024-10-02, Francisco Lindor, Jose Iglesias, Mark Vientos, Brandon Nimmo, Pete Alonso, J.D. Martinez, Starling Marte, Tyrone Taylor, Francisco Alvarez,
2024-10-03, Francisco Lindor, Mark Vientos, Brandon Nimmo, Pete Alonso, Jose Iglesias, Jesse Winker, Starling Marte, Tyrone Taylor, Francisco Alvarez,
2024-10-05, Francisco Lindor, Mark Vientos, Brandon Nimmo, Pete Alonso, Jose Iglesias, Jesse Winker, Starling Marte, Tyrone Taylor, Francisco Alvarez,
2024-10-06, Francisco Lindor, Mark Vientos, Brandon Nimmo, Pete Alonso, Jose Iglesias, J.D. Martinez, Starling Marte, Francisco Alvarez, Harrison Bader,
2024-10-08, Francisco Lindor, Mark Vientos, Brandon Nimmo, Pete Alonso, Jose Iglesias, Jesse Winker, Starling Marte, Tyrone Taylor, Francisco Alvarez,
2024-10-09, Francisco Lindor, Mark Vientos, Brandon Nimmo, Pete Alonso, Jose Iglesias, J.D. Martinez, Starling Marte, Tyrone Taylor, Francisco Alvarez,
2024-10-13, Francisco Lindor, Mark Vientos, Brandon Nimmo, Pete Alonso, Starling Marte, Jesse Winker, Jose Iglesias, Tyrone Taylor, Francisco Alvarez,
2024-10-14, Francisco Lindor, Mark Vientos, Brandon Nimmo, Pete Alonso, Starling Marte, Jesse Winker, Jose Iglesias, Tyrone Taylor, Francisco Alvarez,
2024-10-16, Francisco Lindor, Mark Vientos, Brandon Nimmo, Pete Alonso, Starling Marte, J.D. Martinez, Jose Iglesias, Tyrone Taylor, Francisco Alvarez,
2024-10-17, Francisco Lindor, Mark Vientos, Pete Alonso, Brandon Nimmo, Starling Marte, J.D. Martinez, Jose Iglesias, Harrison Bader, Francisco Alvarez,
2024-10-18, Francisco Lindor, Brandon Nimmo, Mark Vientos, Pete Alonso, Jesse Winker, Starling Marte, Tyrone Taylor, Jeff McNeil, Francisco Alvarez,
2024-10-20, Francisco Lindor, Brandon Nimmo, Mark Vientos, Pete Alonso, Jesse Winker, Starling Marte, Tyrone Taylor, Jeff McNeil, Francisco Alvarez,
