date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2024-10-05, Gleyber Torres, Juan Soto, Aaron Judge, Austin Wells, Giancarlo Stanton, Jazz Chisholm Jr., Anthony Volpe, Oswaldo Cabrera, Alex Verdugo,
2024-10-07, Gleyber Torres, Juan Soto, Aaron Judge, Austin Wells, Giancarlo Stanton, Jazz Chisholm Jr., Anthony Volpe, Alex Verdugo, Jon Berti,
2024-10-09, Gleyber Torres, Juan Soto, Aaron Judge, Austin Wells, Giancarlo Stanton, Jazz Chisholm Jr., Anthony Volpe, Oswaldo Cabrera, Alex Verdugo,
2024-10-10, Gleyber Torres, Juan Soto, Aaron Judge, Austin Wells, Giancarlo Stanton, Jazz Chisholm Jr., Anthony Volpe, Alex Verdugo, Jon Berti,
2024-10-14, Gleyber Torres, Juan Soto, Aaron Judge, Austin Wells, Giancarlo Stanton, Jazz Chisholm Jr., Anthony Volpe, Anthony Rizzo, Alex Verdugo,
2024-10-15, Gleyber Torres, Juan Soto, Aaron Judge, Austin Wells, Giancarlo Stanton, Jazz Chisholm Jr., Anthony Volpe, Anthony Rizzo, Alex Verdugo,
2024-10-17, Gleyber Torres, Juan Soto, Aaron Judge, Giancarlo Stanton, Jazz Chisholm Jr., Jon Berti, Anthony Volpe, Alex Verdugo, Jose Trevino,
2024-10-18, Gleyber Torres, Juan Soto, Aaron Judge, Jazz Chisholm Jr., Giancarlo Stanton, Anthony Rizzo, Anthony Volpe, Austin Wells, Alex Verdugo,
2024-10-19, Gleyber Torres, Juan Soto, Aaron Judge, Giancarlo Stanton, Jazz Chisholm Jr., Anthony Rizzo, Anthony Volpe, Austin Wells, Alex Verdugo,
2024-10-25, Gleyber Torres, Juan Soto, Aaron Judge, Giancarlo Stanton, Jazz Chisholm Jr., Anthony Rizzo, Anthony Volpe, Austin Wells, Alex Verdugo,
2024-10-26, Gleyber Torres, Juan Soto, Aaron Judge, Giancarlo Stanton, Jazz Chisholm Jr., Anthony Rizzo, Anthony Volpe, Austin Wells, Alex Verdugo,
2024-10-28, Gleyber Torres, Juan Soto, Aaron Judge, Giancarlo Stanton, Jazz Chisholm Jr., Anthony Volpe, Anthony Rizzo, Jose Trevino, Alex Verdugo,
2024-10-29, Gleyber Torres, Juan Soto, Aaron Judge, Jazz Chisholm Jr., Giancarlo Stanton, Anthony Rizzo, Anthony Volpe, Austin Wells, Alex Verdugo,
2024-10-30, Gleyber Torres, Juan Soto, Aaron Judge, Jazz Chisholm Jr., Giancarlo Stanton, Anthony Rizzo, Anthony Volpe, Austin Wells, Alex Verdugo,
