date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-09-30, Shohei Ohtani, Mookie Betts, Freddie Freeman, Max Muncy, Teoscar Hernandez, Tommy Edman, Andy Pages, Enrique Hernandez, Ben Rortvedt,
2025-10-01, Shohei Ohtani, Mookie Betts, Freddie Freeman, Teoscar Hernandez, Max Muncy, Andy Pages, Enrique Hernandez, Miguel Rojas, Ben Rortvedt,
2025-10-04, Shohei Ohtani, Mookie Betts, Teoscar Hernandez, Freddie Freeman, Tommy Edman, Enrique Hernandez, Alex Call, Andy Pages, Ben Rortvedt,
2025-10-06, Shohei Ohtani, Mookie Betts, Teoscar Hernandez, Freddie Freeman, Tommy Edman, Enrique Hernandez, Miguel Rojas, Andy Pages, Ben Rortvedt,
2025-10-08, Shohei Ohtani, Mookie Betts, Teoscar Hernandez, Freddie Freeman, Will Smith, Enrique Hernandez, Max Muncy, Andy Pages, Tommy Edman,
2025-10-09, Shohei Ohtani, Mookie Betts, Teoscar Hernandez, Freddie Freeman, Tommy Edman, Will Smith, Alex Call, Enrique Hernandez, Andy Pages,
2025-10-13, Shohei Ohtani, Mookie Betts, Teoscar Hernandez, Freddie Freeman, Will Smith, Tommy Edman, Max Muncy, Enrique Hernandez, Andy Pages,
2025-10-14, Shohei Ohtani, Mookie Betts, Freddie Freeman, Will Smith, Max Muncy, Teoscar Hernandez, Tommy Edman, Enrique Hernandez, Andy Pages,
2025-10-16, Shohei Ohtani, Mookie Betts, Will Smith, Freddie Freeman, Tommy Edman, Teoscar Hernandez, Max Muncy, Enrique Hernandez, Andy Pages,
2025-10-17, Shohei Ohtani, Mookie Betts, Will Smith, Freddie Freeman, Tommy Edman, Teoscar Hernandez, Max Muncy, Enrique Hernandez, Andy Pages,
2025-10-24, Shohei Ohtani, Mookie Betts, Freddie Freeman, Will Smith, Teoscar Hernandez, Max Muncy, Enrique Hernandez, Tommy Edman, Andy Pages,
2025-10-25, Shohei Ohtani, Mookie Betts, Freddie Freeman, Will Smith, Teoscar Hernandez, Max Muncy, Enrique Hernandez, Tommy Edman, Andy Pages,
2025-10-27, Shohei Ohtani, Mookie Betts, Freddie Freeman, Will Smith, Max Muncy, Teoscar Hernandez, Tommy Edman, Enrique Hernandez, Andy Pages,
