date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-10-04, Randy Arozarena, Cal Raleigh, Julio Rodriguez, Josh Naylor, Jorge Polanco, Eugenio Suarez, Dominic Canzone, Victor Robles, J.P. Crawford,
2025-10-05, Randy Arozarena, Cal Raleigh, Julio Rodriguez, Jorge Polanco, Eugenio Suarez, Josh Naylor, Mitch Garver, Victor Robles, J.P. Crawford,
2025-10-07, Randy Arozarena, Cal Raleigh, Julio Rodriguez, Jorge Polanco, Josh Naylor, Eugenio Suarez, Dominic Canzone, Victor Robles, J.P. Crawford,
2025-10-08, Randy Arozarena, Cal Raleigh, Julio Rodriguez, Jorge Polanco, Josh Naylor, Eugenio Suarez, Dominic Canzone, Victor Robles, J.P. Crawford,
2025-10-10, Randy Arozarena, Cal Raleigh, Julio Rodriguez, Jorge Polanco, Eugenio Suarez, Josh Naylor, Mitch Garver, Victor Robles, J.P. Crawford,
2025-10-12, Randy Arozarena, Cal Raleigh, Julio Rodriguez, Jorge Polanco, Josh Naylor, Eugenio Suarez, Dominic Canzone, Victor Robles, J.P. Crawford,
2025-10-13, Randy Arozarena, Cal Raleigh, Julio Rodriguez, Jorge Polanco, Josh Naylor, Eugenio Suarez, Dominic Canzone, Victor Robles, J.P. Crawford,
2025-10-15, Randy Arozarena, Cal Raleigh, Julio Rodriguez, Jorge Polanco, Josh Naylor, Eugenio Suarez, Dominic Canzone, Victor Robles, J.P. Crawford,
2025-10-16, Randy Arozarena, Cal Raleigh, Julio Rodriguez, Jorge Polanco, Josh Naylor, Eugenio Suarez, Dominic Canzone, J.P. Crawford, Leo Rivas,
2025-10-17, Julio Rodriguez, Cal Raleigh, Jorge Polanco, Josh Naylor, Randy Arozarena, Eugenio Suarez, J.P. Crawford, Dominic Canzone, Leo Rivas,
2025-10-19, Julio Rodriguez, Cal Raleigh, Jorge Polanco, Josh Naylor, Randy Arozarena, Eugenio Suarez, J.P. Crawford, Dominic Canzone, Leo Rivas,
2025-10-20, Julio Rodriguez, Cal Raleigh, Josh Naylor, Jorge Polanco, Randy Arozarena, Eugenio Suarez, J.P. Crawford, Leo Rivas, Victor Robles,
