date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-10-04, George Springer, Nathan Lukes, Vladimir Guerrero Jr., Addison Barger, Alejandro Kirk, Daulton Varsho, Anthony Santander, Andres Gimenez, Ernie Clement,
2025-10-05, George Springer, Davis Schneider, Vladimir Guerrero Jr., Alejandro Kirk, Daulton Varsho, Ernie Clement, Isiah Kiner-Falefa, Andres Gimenez, Myles Straw,
2025-10-07, George Springer, Davis Schneider, Vladimir Guerrero Jr., Alejandro Kirk, Daulton Varsho, Ernie Clement, Anthony Santander, Isiah Kiner-Falefa, Andres Gimenez,
2025-10-08, George Springer, Nathan Lukes, Vladimir Guerrero Jr., Addison Barger, Alejandro Kirk, Daulton Varsho, Anthony Santander, Ernie Clement, Andres Gimenez,
2025-10-12, George Springer, Nathan Lukes, Vladimir Guerrero Jr., Addison Barger, Alejandro Kirk, Daulton Varsho, Ernie Clement, Anthony Santander, Andres Gimenez,
2025-10-13, George Springer, Nathan Lukes, Vladimir Guerrero Jr., Addison Barger, Alejandro Kirk, Daulton Varsho, Ernie Clement, Davis Schneider, Andres Gimenez,
2025-10-15, George Springer, Nathan Lukes, Vladimir Guerrero Jr., Anthony Santander, Alejandro Kirk, Daulton Varsho, Addison Barger, Ernie Clement, Andres Gimenez,
2025-10-16, George Springer, Nathan Lukes, Vladimir Guerrero Jr., Alejandro Kirk, Daulton Varsho, Ernie Clement, Addison Barger, Isiah Kiner-Falefa, Andres Gimenez,
2025-10-17, George Springer, Nathan Lukes, Vladimir Guerrero Jr., Alejandro Kirk, Daulton Varsho, Ernie Clement, Addison Barger, Isiah Kiner-Falefa, Andres Gimenez,
2025-10-19, George Springer, Nathan Lukes, Vladimir Guerrero Jr., Alejandro Kirk, Daulton Varsho, Ernie Clement, Addison Barger, Isiah Kiner-Falefa, Andres Gimenez,
2025-10-20, George Springer, Nathan Lukes, Vladimir Guerrero Jr., Alejandro Kirk, Daulton Varsho, Ernie Clement, Addison Barger, Isiah Kiner-Falefa, Andres Gimenez,
2025-10-24, George Springer, Davis Schneider, Vladimir Guerrero Jr., Bo Bichette, Alejandro Kirk, Daulton Varsho, Ernie Clement, Myles Straw, Andres Gimenez,
2025-10-25, George Springer, Nathan Lukes, Vladimir Guerrero Jr., Alejandro Kirk, Daulton Varsho, Ernie Clement, Addison Barger, Isiah Kiner-Falefa, Andres Gimenez,
2025-10-27, George Springer, Nathan Lukes, Vladimir Guerrero Jr., Bo Bichette, Daulton Varsho, Alejandro Kirk, Addison Barger, Ernie Clement, Andres Gimenez,
2025-10-28, Nathan Lukes, Vladimir Guerrero Jr., Bo Bichette, Addison Barger, Alejandro Kirk, Daulton Varsho, Ernie Clement, Andres Gimenez, Isiah Kiner-Falefa,
2025-10-29, Davis Schneider, Vladimir Guerrero Jr., Bo Bichette, Alejandro Kirk, Daulton Varsho, Ernie Clement, Ernie Clement, Addison Barger, Isiah Kiner-Falefa,
2025-10-31, George Springer, Nathan Lukes, Vladimir Guerrero Jr., Bo Bichette, Daulton Varsho, Alejandro Kirk, Addison Barger, Ernie Clement, Andres Gimenez,
2025-11-01, George Springer, Nathan Lukes, Vladimir Guerrero Jr., Bo Bichette, Addison Barger, Alejandro Kirk, Daulton Varsho, Ernie Clement, Andres Gimenez,
