date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,team
2022-10-11, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Trey Mancini, Chas McCormick, Martin Maldonado,HOU
2022-10-13, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Aledmys Diaz, Jake Meyers, Martin Maldonado,HOU
2022-10-15, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Trey Mancini, Chas McCormick, Martin Maldonado,HOU
2022-10-19, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Aledmys Diaz, Chas McCormick, Martin Maldonado,HOU
2022-10-20, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Aledmys Diaz, Chas McCormick, Martin Maldonado,HOU
2022-10-22, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Trey Mancini, Christian Vazquez, Chas McCormick,HOU
2022-10-23, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Trey Mancini, Chas McCormick, Martin Maldonado,HOU
2022-10-28, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Trey Mancini, Chas McCormick, Martin Maldonado,HOU
2022-10-29, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Aledmys Diaz, Chas McCormick, Martin Maldonado,HOU
2022-11-01, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, David Hensley, Chas McCormick, Martin Maldonado,HOU
2022-11-02, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, Christian Vazquez, Aledmys Diaz, Chas McCormick,HOU
2022-11-03, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Yuli Gurriel, David Hensley, Chas McCormick, Martin Maldonado,HOU
2022-11-05, Jose Altuve, Jeremy Pena, Yordan Alvarez, Alex Bregman, Kyle Tucker, Christian Vazquez, Trey Mancini, Chas McCormick, Martin Maldonado,HOU
2022-10-07, George Springer, Bo Bichette, Vladimir Guerrero Jr., Alejandro Kirk, Teoscar Hernandez, Matt Chapman, Raimel Tapia, Danny Jansen, Whit Merrifield,TOR
2022-10-08, George Springer, Bo Bichette, Vladimir Guerrero Jr., Alejandro Kirk, Teoscar Hernandez, Matt Chapman, Danny Jansen, Whit Merrifield, Santiago Espinal,TOR
2022-10-11, Ronald Acuna Jr., Dansby Swanson, Austin Riley, Matt Olson, William Contreras, Travis d'Arnaud, Orlando Arcia, Michael Harris II, Robbie Grossman,ATL
2022-10-12, Ronald Acuna Jr., Dansby Swanson, Matt Olson, Austin Riley, Travis d'Arnaud, Michael Harris II, Orlando Arcia, Marcell Ozuna, Eddie Rosario,ATL
2022-10-14, Ronald Acuna Jr., Dansby Swanson, Matt Olson, Austin Riley, Travis d'Arnaud, Michael Harris II, Marcell Ozuna, Vaughn Grissom, Eddie Rosario,ATL
2022-10-15, Ronald Acuna Jr., Dansby Swanson, Matt Olson, Travis d'Arnaud, Austin Riley, Michael Harris II, William Contreras, Orlando Arcia, Eddie Rosario,ATL
2022-10-07, Lars Nootbaar, Albert Pujols, Paul Goldschmidt, Nolan Arenado, Brendan Donovan, Dylan Carlson, Corey Dickerson, Yadier Molina, Tommy Edman,STL
2022-10-08, Lars Nootbaar, Albert Pujols, Paul Goldschmidt, Nolan Arenado, Brendan Donovan, Juan Yepez, Corey Dickerson, Yadier Molina, Tommy Edman,STL
2022-10-11, Mookie Betts, Trea Turner, Freddie Freeman, Will Smith, Max Muncy, Justin Turner, Gavin Lux, Trayce Thompson, Cody Bellinger,LAD
2022-10-12, Mookie Betts, Trea Turner, Freddie Freeman, Will Smith, Max Muncy, Justin Turner, Gavin Lux, Trayce Thompson, Cody Bellinger,LAD
2022-10-14, Mookie Betts, Trea Turner, Freddie Freeman, Will Smith, Max Muncy, Justin Turner, Chris Taylor, Trayce Thompson, Austin Barnes,LAD
2022-10-15, Mookie Betts, Trea Turner, Freddie Freeman, Will Smith, Max Muncy, Justin Turner, Trayce Thompson, Chris Taylor, Gavin Lux,LAD
2022-10-07, Steven Kwan, Amed Rosario, Jose Ramirez, Oscar Gonzalez, Josh Naylor, Owen Miller, Andres Gimenez, Austin Hedges, Myles Straw,CLE
2022-10-08, Steven Kwan, Amed Rosario, Jose Ramirez, Josh Naylor, Oscar Gonzalez, Andres Gimenez, Will Brennan, Austin Hedges, Myles Straw,CLE
2022-10-11, Steven Kwan, Amed Rosario, Jose Ramirez, Josh Naylor, Oscar Gonzalez, Andres Gimenez, Will Brennan, Austin Hedges, Myles Straw,CLE
2022-10-14, Steven Kwan, Amed Rosario, Jose Ramirez, Oscar Gonzalez, Josh Naylor, Owen Miller, Andres Gimenez, Austin Hedges, Myles Straw,CLE
2022-10-15, Steven Kwan, Amed Rosario, Jose Ramirez, Josh Naylor, Oscar Gonzalez, Andres Gimenez, Gabriel Arias, Austin Hedges, Myles Straw,CLE
2022-10-16, Steven Kwan, Amed Rosario, Jose Ramirez, Josh Naylor, Oscar Gonzalez, Andres Gimenez, Gabriel Arias, Austin Hedges, Myles Straw,CLE
2022-10-18, Steven Kwan, Amed Rosario, Jose Ramirez, Oscar Gonzalez, Josh Naylor, Gabriel Arias, Andres Gimenez, Austin Hedges, Myles Straw,CLE
2022-10-07, Julio Rodriguez, Ty France, Eugenio Suarez, Cal Raleigh, Mitch Haniger, Carlos Santana, Jarred Kelenic, Adam Frazier, J.P. Crawford,SEA
2022-10-08, Julio Rodriguez, Ty France, Eugenio Suarez, Cal Raleigh, Mitch Haniger, Adam Frazier, Carlos Santana, Jarred Kelenic, J.P. Crawford,SEA
2022-10-11, Julio Rodriguez, Ty France, Eugenio Suarez, Cal Raleigh, Mitch Haniger, Carlos Santana, Adam Frazier, Jarred Kelenic, J.P. Crawford,SEA
2022-10-13, Julio Rodriguez, Ty France, Eugenio Suarez, Mitch Haniger, Carlos Santana, Dylan Moore, Cal Raleigh, Adam Frazier, J.P. Crawford,SEA
2022-10-15, Julio Rodriguez, Ty France, Eugenio Suarez, Cal Raleigh, Mitch Haniger, Carlos Santana, Adam Frazier, Jarred Kelenic, J.P. Crawford,SEA
2022-10-07, Brandon Nimmo, Francisco Lindor, Jeff McNeil, Pete Alonso, Daniel Vogelbach, Starling Marte, Mark Canha, Eduardo Escobar, Tomas Nido,NYM
2022-10-08, Brandon Nimmo, Starling Marte, Francisco Lindor, Pete Alonso, Mark Canha, Jeff McNeil, Eduardo Escobar, Darin Ruf, Tomas Nido,NYM
2022-10-09, Brandon Nimmo, Starling Marte, Francisco Lindor, Pete Alonso, Jeff McNeil, Mark Canha, Daniel Vogelbach, Eduardo Escobar, Tomas Nido,NYM
2022-10-07, Jurickson Profar, Juan Soto, Manny Machado, Josh Bell, Jake Cronenworth, Wil Myers, Ha-Seong Kim, Trent Grisham, Austin Nola,SD
2022-10-08, Jurickson Profar, Juan Soto, Manny Machado, Josh Bell, Jake Cronenworth, Brandon Drury, Ha-Seong Kim, Trent Grisham, Austin Nola,SD
