date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2021-02-28, Ketel Marte, David Peralta, Eduardo Escobar, Kole Calhoun, Nick Ahmed, Carson Kelly, Pavin Smith, Trayce Thompson, Daulton Varsho,
2021-03-01, Stephen Vogt, Asdrubal Cabrera, Christian Walker, Josh VanMeter, Tim Locastro, Josh Rojas, Andrew Young, Pavin Smith, Wyatt Mathisen,
2021-03-02, David Peralta, Nick Ahmed, Ketel Marte, Eduardo Escobar, Trayce Thompson, Andrew Young, Daulton Varsho, Josh Rojas, Wyatt Mathisen,
2021-03-03, Asdrubal Cabrera, Josh VanMeter, Carson Kelly, Christian Walker, Trayce Thompson, Domingo Leyba, Wyatt Mathisen, Stuart Fairchild, Jake McCarthy,
2021-03-04, Josh Rojas, Ketel Marte, David Peralta, Eduardo Escobar, Stephen Vogt, Nick Ahmed, Trayce Thompson, Domingo Leyba, Wyatt Mathisen,
2021-03-05, Josh Rojas, Asdrubal Cabrera, Carson Kelly, Christian Walker, Josh VanMeter, Andrew Young, Daulton Varsho, Stuart Fairchild, Pavin Smith,
2021-03-06, David Peralta, Ketel Marte, Eduardo Escobar, Nick Ahmed, Carson Kelly, Trayce Thompson, Daulton Varsho, Pavin Smith, Domingo Leyba,
2021-03-07, Josh Rojas, Ketel Marte, Eduardo Escobar, Christian Walker, Asdrubal Cabrera, Stephen Vogt, Josh VanMeter, Trayce Thompson, Stuart Fairchild,
2021-03-08, Josh Rojas, Stephen Vogt, David Peralta, Trayce Thompson, Josh VanMeter, Andrew Young, Daulton Varsho, Pavin Smith, Wyatt Mathisen,
2021-03-09, Josh Rojas, Ketel Marte, Eduardo Escobar, Christian Walker, Asdrubal Cabrera, Carson Kelly, Daulton Varsho, Stuart Fairchild, Domingo Leyba,
2021-03-10, David Peralta, Carson Kelly, Josh Rojas, Trayce Thompson, Stephen Vogt, Josh VanMeter, Daulton Varsho, Pavin Smith, Andrew Young,
2021-03-12, David Peralta, Josh Rojas, Christian Walker, Eduardo Escobar, Asdrubal Cabrera, Carson Kelly, Daulton Varsho, Trayce Thompson, Pavin Smith,
2021-03-13, Ketel Marte, Tim Locastro, Josh Rojas, Christian Walker, Stephen Vogt, Daulton Varsho, Josh VanMeter, Pavin Smith, Domingo Leyba,
2021-03-14, David Peralta, Asdrubal Cabrera, Eduardo Escobar, Carson Kelly, Trayce Thompson, Daulton Varsho, Wyatt Mathisen, Pavin Smith, Domingo Leyba,
2021-03-15, Ketel Marte, Tim Locastro, Eduardo Escobar, Christian Walker, Josh Rojas, Carson Kelly, Josh VanMeter, Wyatt Mathisen, Stuart Fairchild,
2021-03-16, David Peralta, Ketel Marte, Asdrubal Cabrera, Eduardo Escobar, Josh Rojas, Stephen Vogt, Trayce Thompson, Domingo Leyba, Madison Bumgarner,
2021-03-17, Tim Locastro, Josh VanMeter, Carson Kelly, Christian Walker, Pavin Smith, Wyatt Mathisen, Daulton Varsho, Domingo Leyba, Zac Gallen,
2021-03-18, David Peralta, Nick Ahmed, Asdrubal Cabrera, Eduardo Escobar, Stephen Vogt, Josh Rojas, Trayce Thompson, Pavin Smith, Merrill Kelly,
2021-03-19, Ketel Marte, Tim Locastro, Josh Rojas, Christian Walker, Josh VanMeter, Carson Kelly, Daulton Varsho, Wyatt Mathisen, Caleb Smith,
2021-03-20, David Peralta, Nick Ahmed, Eduardo Escobar, Christian Walker, Asdrubal Cabrera, Stephen Vogt, Trayce Thompson, Tim Locastro, Luke Weaver,
2021-03-21, David Peralta, Ketel Marte, Asdrubal Cabrera, Eduardo Escobar, Nick Ahmed, Josh Rojas, Daulton Varsho, Bryan Holaday, Taylor Clarke,
2021-03-22, Tim Locastro, Carson Kelly, Josh Rojas, Christian Walker, Josh VanMeter, Wyatt Mathisen, Pavin Smith, Domingo Leyba, Seth Frankoff,
2021-03-23, Ketel Marte, Asdrubal Cabrera, Eduardo Escobar, Christian Walker, Stephen Vogt, Nick Ahmed, Trayce Thompson, Pavin Smith, Merrill Kelly,
2021-03-24, Ketel Marte, David Peralta, Josh Rojas, Eduardo Escobar, Asdrubal Cabrera, Nick Ahmed, Carson Kelly, Tim Locastro, Caleb Smith,
2021-03-25, Tim Locastro, Josh Rojas, Josh VanMeter, Christian Walker, Stephen Vogt, Trayce Thompson, Pavin Smith, Wyatt Mathisen, Luke Weaver,
2021-03-26, David Peralta, Ketel Marte, Eduardo Escobar, Christian Walker, Asdrubal Cabrera, Josh VanMeter, Carson Kelly, Josh Rojas, Madison Bumgarner,
2021-03-28, Tim Locastro, David Peralta, Asdrubal Cabrera, Christian Walker, Stephen Vogt, Wyatt Mathisen, Josh Rojas, Pavin Smith, Merrill Kelly,
2021-03-29, Ketel Marte, David Peralta, Eduardo Escobar, Christian Walker, Asdrubal Cabrera, Josh Rojas, Carson Kelly, Pavin Smith, Caleb Smith,
2021-03-30, Ketel Marte, David Peralta, Eduardo Escobar, Christian Walker, Asdrubal Cabrera, Josh Rojas, Carson Kelly, Pavin Smith, Taylor Widener,
