date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2021-02-28, Whit Merrifield, Andrew Benintendi, Carlos Santana, Salvador Perez, Jorge Soler, Ryan O'Hearn, Hanser Alberto, Nicky Lopez, Edward Olivares,
2021-03-01, Nicky Lopez, Bobby Witt Jr., Carlos Santana, Jorge Soler, Michael A. Taylor, Emmanuel Rivera, Kyle Isbel, Cam Gallagher, Nick Heath,
2021-03-02, Whit Merrifield, Andrew Benintendi, Salvador Perez, Ryan O'Hearn, Hunter Dozier, Seuly Matias, Hanser Alberto, Bubba Starling, Lucius Fox,
2021-03-03, Michael A. Taylor, Hunter Dozier, Carlos Santana, Salvador Perez, Jorge Soler, Bobby Witt Jr., Nick Heath, Cam Gallagher, Nicky Lopez,
2021-03-04, Kyle Isbel, Andrew Benintendi, Jorge Soler, Ryan O'Hearn, Hanser Alberto, Edward Olivares, Emmanuel Rivera, Lucius Fox, Sebastian  Rivero,
2021-03-05, Whit Merrifield, Adalberto Mondesi, Carlos Santana, Salvador Perez, Hunter Dozier, Michael A. Taylor, Ryan McBroom, Bubba Starling, Nicky Lopez,
2021-03-06, Bobby Witt Jr., Andrew Benintendi, Carlos Santana, Salvador Perez, Jorge Soler, Ryan O'Hearn, Hunter Dozier, Hanser Alberto, Edward Olivares,
2021-03-07, Whit Merrifield, Andrew Benintendi, Adalberto Mondesi, Jorge Soler, Ryan O'Hearn, Michael A. Taylor, Ryan McBroom, Hanser Alberto, Cam Gallagher,
2021-03-08, Whit Merrifield, Adalberto Mondesi, Carlos Santana, Salvador Perez, Hunter Dozier, Ryan O'Hearn, Michael A. Taylor, Kyle Isbel, Nicky Lopez,
2021-03-09, Bobby Witt Jr., Andrew Benintendi, Carlos Santana, Salvador Perez, Jorge Soler, Hunter Dozier, Hanser Alberto, Erick Mejia, Cam Gallagher,
2021-03-10, Jarrod Dyson, Andrew Benintendi, Adalberto Mondesi, Jorge Soler, Michael A. Taylor, Ryan O'Hearn, Hanser Alberto, Sebastian  Rivero, Nicky Lopez,
2021-03-11, Bobby Witt Jr., Carlos Santana, Salvador Perez, Jorge Soler, Hunter Dozier, Ryan McBroom, Kyle Isbel, Erick Mejia, Nicky Lopez,
2021-03-13, Whit Merrifield, Andrew Benintendi, Adalberto Mondesi, Carlos Santana, Salvador Perez, Jorge Soler, Emmanuel Rivera, Jarrod Dyson, Nicky Lopez,
2021-03-14, Bobby Witt Jr., Adalberto Mondesi, Carlos Santana, Jorge Soler, Ryan McBroom, Kelvin Gutierrez, Bubba Starling, Cam Gallagher, Erick Mejia,
2021-03-15, Whit Merrifield, Hunter Dozier, Salvador Perez, Ryan O'Hearn, Michael A. Taylor, Ryan McBroom, Bubba Starling, Jarrod Dyson, Nicky Lopez,
2021-03-16, Bobby Witt Jr., Adalberto Mondesi, Carlos Santana, Jorge Soler, Emmanuel Rivera, Seuly Matias, Ryan McBroom, Cam Gallagher, Jarrod Dyson,
2021-03-17, Whit Merrifield, Michael A. Taylor, Hunter Dozier, Ryan McBroom, Emmanuel Rivera, Bubba Starling, Cam Gallagher, Jeison Guzman, Gabriel Cancel,
2021-03-18, Bobby Witt Jr., Andrew Benintendi, Adalberto Mondesi, Salvador Perez, Carlos Santana, Jorge Soler, Hunter Dozier, Michael A. Taylor, Jarrod Dyson,
2021-03-19, Whit Merrifield, Andrew Benintendi, Adalberto Mondesi, Salvador Perez, Carlos Santana, Jorge Soler, Hanser Alberto, Jarrod Dyson, Nicky Lopez,
2021-03-20, Kyle Isbel, Michael A. Taylor, Hunter Dozier, Ryan O'Hearn, Ryan McBroom, Bubba Starling, Cam Gallagher, Nick Loftin, Nicky Lopez,
2021-03-21, Whit Merrifield, Andrew Benintendi, Carlos Santana, Jorge Soler, Hunter Dozier, Ryan O'Hearn, Hanser Alberto, Michael A. Taylor, Cam Gallagher,
2021-03-22, Whit Merrifield, Andrew Benintendi, Carlos Santana, Salvador Perez, Jorge Soler, Hunter Dozier, Hanser Alberto, Michael A. Taylor, Nicky Lopez,
2021-03-24, Whit Merrifield, Andrew Benintendi, Adalberto Mondesi, Carlos Santana, Jorge Soler, Hunter Dozier, Michael A. Taylor, Kyle Isbel, Cam Gallagher,
2021-03-25, Whit Merrifield, Andrew Benintendi, Adalberto Mondesi, Salvador Perez, Carlos Santana, Jorge Soler, Hunter Dozier, Michael A. Taylor, Kyle Isbel,
2021-03-26, Whit Merrifield, Adalberto Mondesi, Carlos Santana, Salvador Perez, Jorge Soler, Hunter Dozier, Ryan McBroom, Emmanuel Rivera, Jarrod Dyson,
2021-03-27, Kyle Isbel, Andrew Benintendi, Michael A. Taylor, Ryan O'Hearn, Ryan McBroom, Hanser Alberto, Emmanuel Rivera, Cam Gallagher, Erick Mejia,
2021-03-28, Whit Merrifield, Andrew Benintendi, Adalberto Mondesi, Carlos Santana, Salvador Perez, Jorge Soler, Hunter Dozier, Kyle Isbel, Michael A. Taylor,
2021-03-29, Whit Merrifield, Andrew Benintendi, Adalberto Mondesi, Carlos Santana, Salvador Perez, Jorge Soler, Hunter Dozier, Kyle Isbel, Michael A. Taylor,
