date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2021-02-28, Max Kepler, Mitch Garver, Jorge Polanco, Miguel Sano, Byron Buxton, Alex Kirilloff, Willians Astudillo, JT Riddle, Caleb Hamilton,
2021-03-01, Luis Arraez, Ryan Jeffers, Jake Cave, Brent Rooker, Trevor Larnach, Kyle Garlick, Travis Blankenhorn, Andrew Romine, Tzu-Wei Lin,
2021-03-02, Max Kepler, Byron Buxton, Jorge Polanco, Miguel Sano, Alex Kirilloff, Willians Astudillo, JT Riddle, Keon Broxton, Jose Miranda,
2021-03-03, Luis Arraez, Mitch Garver, Nelson Cruz, Jake Cave, Kyle Garlick, Brent Rooker, Andrew Romine, Tzu-Wei Lin, Aaron Sabato,
2021-03-04, Max Kepler, Byron Buxton, Jorge Polanco, Miguel Sano, Ryan Jeffers, Alex Kirilloff, Brent Rooker, JT Riddle, Tzu-Wei Lin,
2021-03-05, Luis Arraez, Kyle Garlick, Jake Cave, Willians Astudillo, Alex Kirilloff, Travis Blankenhorn, Andrew Romine, Keon Broxton, Tomas Telis,
2021-03-07, Luis Arraez, Josh Donaldson, Jorge Polanco, Nelson Cruz, Byron Buxton, Ryan Jeffers, Jake Cave, Alex Kirilloff, Rob Refsnyder,
2021-03-09, Max Kepler, Josh Donaldson, Nelson Cruz, Jorge Polanco, Miguel Sano, Mitch Garver, Alex Kirilloff, Keon Broxton, JT Riddle,
2021-03-10, Luis Arraez, Ryan Jeffers, Miguel Sano, Willians Astudillo, Kyle Garlick, Brent Rooker, Rob Refsnyder, Tzu-Wei Lin, Gilberto Celestino,
2021-03-11, Max Kepler, Josh Donaldson, Nelson Cruz, Jorge Polanco, Mitch Garver, Alex Kirilloff, Brent Rooker, Keon Broxton, JT Riddle,
2021-03-12, Luis Arraez, Andrelton Simmons, Nelson Cruz, Jorge Polanco, Miguel Sano, Ryan Jeffers, Kyle Garlick, Keon Broxton, Rob Refsnyder,
2021-03-13, Luis Arraez, Kyle Garlick, Max Kepler, Willians Astudillo, Alex Kirilloff, JT Riddle, Tzu-Wei Lin, Andrew Romine, Gilberto Celestino,
2021-03-14, Max Kepler, Josh Donaldson, Nelson Cruz, Mitch Garver, Jorge Polanco, Miguel Sano, Byron Buxton, Andrelton Simmons, Brent Rooker,
2021-03-15, Luis Arraez, Jake Cave, Ryan Jeffers, Alex Kirilloff, Willians Astudillo, Kyle Garlick, Trevor Larnach, JT Riddle, Nick Gordon,
2021-03-16, Max Kepler, Josh Donaldson, Nelson Cruz, Jorge Polanco, Miguel Sano, Mitch Garver, Byron Buxton, Andrelton Simmons, Brent Rooker,
2021-03-17, Luis Arraez, Josh Donaldson, Nelson Cruz, Byron Buxton, Jake Cave, Alex Kirilloff, Ryan Jeffers, Willians Astudillo, JT Riddle,
2021-03-19, Andrelton Simmons, Jake Cave, Mitch Garver, Miguel Sano, Byron Buxton, Alex Kirilloff, Brent Rooker, Tzu-Wei Lin, Tomas Telis,
2021-03-20, Luis Arraez, Josh Donaldson, Nelson Cruz, Byron Buxton, Miguel Sano, Mitch Garver, Andrelton Simmons, Kyle Garlick, Willians Astudillo,
2021-03-21, Luis Arraez, Kyle Garlick, Max Kepler, Jorge Polanco, Ryan Jeffers, Jake Cave, Alex Kirilloff, Willians Astudillo, JT Riddle,
2021-03-22, Max Kepler, Josh Donaldson, Nelson Cruz, Jorge Polanco, Byron Buxton, Miguel Sano, Andrelton Simmons, Jake Cave, Ryan Jeffers,
2021-03-23, Luis Arraez, Mitch Garver, Jake Cave, Miguel Sano, Brent Rooker, Kyle Garlick, Willians Astudillo, JT Riddle, Andrew Romine,
2021-03-24, Max Kepler, Josh Donaldson, Nelson Cruz, Jorge Polanco, Byron Buxton, Ryan Jeffers, Andrelton Simmons, Willians Astudillo, Brent Rooker,
2021-03-25, Mitch Garver, Josh Donaldson, Nelson Cruz, Kyle Garlick, Miguel Sano, Byron Buxton, Andrelton Simmons, Luis Arraez, Jake Cave,
2021-03-26, Jorge Polanco, Kyle Garlick, Miguel Sano, Max Kepler, Brent Rooker, Luis Arraez, Willians Astudillo, Jake Cave, JT Riddle,
2021-03-27, Max Kepler, Josh Donaldson, Nelson Cruz, Jorge Polanco, Byron Buxton, Miguel Sano, Brent Rooker, Andrelton Simmons, David Banuelos,
2021-03-28, Luis Arraez, Josh Donaldson, Nelson Cruz, Byron Buxton, Jake Cave, Kyle Garlick, Ryan Jeffers, Andrelton Simmons, Willians Astudillo,
2021-03-29, Luis Arraez, Mitch Garver, Jorge Polanco, Max Kepler, Miguel Sano, Jake Cave, Willians Astudillo, Brent Rooker, Kyle Garlick,
2021-03-30, Luis Arraez, Josh Donaldson, Nelson Cruz, Jorge Polanco, Max Kepler, Miguel Sano, Byron Buxton, Mitch Garver, Andrelton Simmons,
