date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2021-02-28, Willie Calhoun, Isiah Kiner-Falefa, Joey Gallo, Khris Davis, Nick Solak, Ronald Guzman, Brock Holt, Jonah Heim, Eli White,
2021-03-01, Leody Taveras, David Dahl, Nathaniel Lowe, Rougned Odor, Jose Trevino, Davis Wendzel, Adolis Garcia, Delino DeShields, Charlie Culberson,
2021-03-02, Willie Calhoun, Isiah Kiner-Falefa, Joey Gallo, Khris Davis, Nick Solak, Ronald Guzman, Eli White, Brock Holt, Drew Butera,
2021-03-03, Leody Taveras, David Dahl, Nathaniel Lowe, Rougned Odor, Ronald Guzman, Jonah Heim, Steele Walker, Andy Ibanez, Charlie Culberson,
2021-03-04, Isiah Kiner-Falefa, Nick Solak, Joey Gallo, Khris Davis, Willie Calhoun, Nathaniel Lowe, Jose Trevino, Brock Holt, Eli White,
2021-03-06, Leody Taveras, Isiah Kiner-Falefa, Joey Gallo, David Dahl, Willie Calhoun, Nick Solak, Rougned Odor, Ronald Guzman, Drew Butera,
2021-03-07, Isiah Kiner-Falefa, Brock Holt, Joey Gallo, Khris Davis, Rougned Odor, Nathaniel Lowe, Eli White, Jonah Heim, Delino DeShields,
2021-03-08, Leody Taveras, Nick Solak, Willie Calhoun, David Dahl, Ronald Guzman, Jose Trevino, Nathaniel Lowe, Charlie Culberson, Andy Ibanez,
2021-03-09, Isiah Kiner-Falefa, Ronald Guzman, Joey Gallo, Khris Davis, Rougned Odor, Nick Solak, Delino DeShields, Drew Butera, Drew Butera,
2021-03-10, Brock Holt, Eli White, David Dahl, Jose Trevino, Nathaniel Lowe, Andy Ibanez, Anderson Tejeda, Adolis Garcia, Jason Martin,
2021-03-11, Isiah Kiner-Falefa, Nick Solak, Joey Gallo, Khris Davis, Rougned Odor, Ronald Guzman, Nathaniel Lowe, Jonah Heim, Leody Taveras,
2021-03-12, Brock Holt, David Dahl, Joey Gallo, Khris Davis, Ronald Guzman, Anderson Tejeda, Charlie Culberson, Delino DeShields, John Hicks,
2021-03-13, Leody Taveras, Delino DeShields, Brock Holt, Curtis Terry, Eli White, Andy Ibanez, Jason Martin, Drew Butera, Charlie Culberson,
2021-03-14, Leody Taveras, Isiah Kiner-Falefa, Joey Gallo, Khris Davis, Rougned Odor, Nick Solak, Nathaniel Lowe, Jose Trevino, Jason Martin,
2021-03-16, Isiah Kiner-Falefa, David Dahl, Joey Gallo, Khris Davis, Rougned Odor, Nick Solak, Ronald Guzman, Eli White, Jonah Heim,
2021-03-17, Isiah Kiner-Falefa, David Dahl, Joey Gallo, Rougned Odor, Nick Solak, Nathaniel Lowe, Ronald Guzman, Jose Trevino, Leody Taveras,
2021-03-18, Leody Taveras, Eli White, Nathaniel Lowe, Khris Davis, Brock Holt, Andy Ibanez, Charlie Culberson, Delino DeShields, Drew Butera,
2021-03-19, Isiah Kiner-Falefa, David Dahl, Joey Gallo, Nick Solak, Rougned Odor, Jose Trevino, Ronald Guzman, Jonah Heim, Jason Martin,
2021-03-20, Isiah Kiner-Falefa, David Dahl, Joey Gallo, Khris Davis, Rougned Odor, Nick Solak, Nathaniel Lowe, Jose Trevino, Leody Taveras,
2021-03-21, Eli White, Andy Ibanez, Ronald Guzman, Curtis Terry, Charlie Culberson, Delino DeShields, Jason Martin, Drew Butera, Davis Wendzel,
2021-03-22, Isiah Kiner-Falefa, David Dahl, Nathaniel Lowe, Khris Davis, Ronald Guzman, Nick Solak, Rougned Odor, Eli White, Jose Trevino,
2021-03-23, Isiah Kiner-Falefa, Nick Solak, Joey Gallo, Khris Davis, Nathaniel Lowe, Brock Holt, Leody Taveras, Jonah Heim, Delino DeShields,
2021-03-24, Leody Taveras, Nathaniel Lowe, Joey Gallo, Rougned Odor, Andy Ibanez, Jose Trevino, Charlie Culberson, Delino DeShields, Anderson Tejeda,
2021-03-25, Brock Holt, Eli White, Ronald Guzman, Rougned Odor, Adolis Garcia, Charlie Culberson, Jose Trevino, Drew Butera, Jason Martin,
2021-03-26, Isiah Kiner-Falefa, David Dahl, Joey Gallo, Nathaniel Lowe, Nick Solak, Brock Holt, Andy Ibanez, Jonah Heim, Leody Taveras,
2021-03-27, Eli White, Jason Martin, Adolis Garcia, Anderson Tejeda, Curtis Terry, Jose Trevino, Delino DeShields, Davis Wendzel, Cody Freeman,
2021-03-28, Isiah Kiner-Falefa, David Dahl, Joey Gallo, Nathaniel Lowe, Nick Solak, Rougned Odor, Andy Ibanez, Leody Taveras, Jonah Heim,
2021-03-29, Isiah Kiner-Falefa, David Dahl, Joey Gallo, Nick Solak, Nathaniel Lowe, Ronald Guzman, Leody Taveras, Jose Trevino, Charlie Culberson,
2021-03-30, Isiah Kiner-Falefa, David Dahl, Joey Gallo, Nathaniel Lowe, Nick Solak, Brock Holt, Ronald Guzman, Eli White, Jonah Heim,
