date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2022-03-17a, Zach Davis, P.J. Higgins, Andy Weber, Nelson Maldonado, Bryce Ball, Levi Jordan, Darius Hill, Kevin Made, D.J. Artis,
2022-03-17b, Ildemaro Vargas, Yan Gomes, Brennen Davis, Jared Young, Pete Crow-Armstrong, Chase Strumpf, Donnie Dewees, Dixon Machado, Trent Giambrone,
2022-03-18, Nico Hoerner, Rafael Ortega, Frank Schwindel, Clint Frazier, Yan Gomes, Ildemaro Vargas, Greg Deichmann, Nelson Velazquez, Dixon Machado,
2022-03-19, Michael Hermosillo, Willson Contreras, Jason Heyward, Patrick Wisdom, Alfonso Rivas III, Sergio Alcantara, Brennen Davis, Alexander Canario, Andy Weber,
2022-03-20, Rafael Ortega, Nico Hoerner, Frank Schwindel, Clint Frazier, Yan Gomes, Nelson Velazquez, Ildemaro Vargas, Dixon Machado, Greg Deichmann,
2022-03-21, Nick Madrigal, Willson Contreras, Jason Heyward, Patrick Wisdom, Alfonso Rivas III, Michael Hermosillo, Brennen Davis, Narciso Crook, Sergio Alcantara,
2022-03-22, Rafael Ortega, Nico Hoerner, Yan Gomes, Clint Frazier, Alfonso Rivas III, Ildemaro Vargas, Dixon Machado, Michael Hermosillo, Owen Caissie,
2022-03-23, Nick Madrigal, Jason Heyward, Willson Contreras, Ian Happ, Clint Frazier, Patrick Wisdom, Nico Hoerner, Brennen Davis, Ildemaro Vargas,
2022-03-24, Rafael Ortega, Andrelton Simmons, Patrick Wisdom, Yan Gomes, Alfonso Rivas III, Michael Hermosillo, Dixon Machado, Greg Deichmann, Andy Weber,
2022-03-25, Clint Frazier, Seiya Suzuki, Ian Happ, Willson Contreras, Jason Heyward, Jonathan Villar, Nick Madrigal, Nico Hoerner, Alfonso Rivas III,
2022-03-26, Clint Frazier, Nico Hoerner, Patrick Wisdom, Yan Gomes, Alfonso Rivas III, Michael Hermosillo, Rafael Ortega, Ildemaro Vargas, Christopher Morel,
2022-03-27, Rafael Ortega, Seiya Suzuki, Frank Schwindel, Willson Contreras, Ian Happ, Jason Heyward, Jonathan Villar, Patrick Wisdom, Nick Madrigal,
2022-03-28, Clint Frazier, Jason Heyward, Jonathan Villar, Yan Gomes, Nico Hoerner, Alfonso Rivas III, Michael Hermosillo, Ildemaro Vargas, Alexander Canario,
2022-03-29, Nick Madrigal, Seiya Suzuki, Willson Contreras, Frank Schwindel, Ian Happ, Patrick Wisdom, Rafael Ortega, Alfonso Rivas III, Ildemaro Vargas,
2022-03-30, Nick Madrigal, Seiya Suzuki, Frank Schwindel, Willson Contreras, Jonathan Villar, Jason Heyward, Ian Happ, Clint Frazier, Nico Hoerner,
2022-04-01a, Clint Frazier, Rafael Ortega, Willson Contreras, Jonathan Villar, Michael Hermosillo, Alfonso Rivas III, Reginald Preciado, Greg Deichmann, Ed Howard,
2022-04-01b, Nico Hoerner, Seiya Suzuki, Frank Schwindel, Jason Heyward, Patrick Wisdom, Ian Happ, Yan Gomes, Ildemaro Vargas, James Triantos,
2022-04-02, Jonathan Villar, Nico Hoerner, Willson Contreras, Frank Schwindel, Seiya Suzuki, Ian Happ, Patrick Wisdom, Jason Heyward, Ildemaro Vargas,
