date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2022-03-18, Tommy Edman, Paul Goldschmidt, Tyler O'Neill, Nolan Arenado, Dylan Carlson, Harrison Bader, Paul DeJong, Lars Nootbaar, Andrew Knizner,
2022-03-20, Tommy Edman, Paul Goldschmidt, Tyler O'Neill, Nolan Arenado, Dylan Carlson, Harrison Bader, Paul DeJong, Edmundo Sosa, Andrew Knizner,
2022-03-21, Corey Dickerson, Lars Nootbaar, Nolan Gorman, Juan Yepez, Edmundo Sosa, Brendan Donovan, Ali Sanchez, Alec Burleson, Conner Capel,
2022-03-22, Tommy Edman, Paul Goldschmidt, Dylan Carlson, Nolan Arenado, Paul DeJong, Andrew Knizner, Juan Yepez, Brendan Donovan, Alec Burleson,
2022-03-23, Tommy Edman, Paul Goldschmidt, Tyler O'Neill, Nolan Arenado, Dylan Carlson, Corey Dickerson, Paul DeJong, Harrison Bader, Ali Sanchez,
2022-03-25, Dylan Carlson, Paul Goldschmidt, Tyler O'Neill, Nolan Arenado, Corey Dickerson, Paul DeJong, Harrison Bader, Andrew Knizner, Nolan Gorman,
2022-03-26, Tommy Edman, Paul Goldschmidt, Tyler O'Neill, Nolan Arenado, Corey Dickerson, Lars Nootbaar, Edmundo Sosa, Andrew Knizner, Juan Yepez,
2022-03-27, Dylan Carlson, Lars Nootbaar, Harrison Bader, Paul DeJong, Juan Yepez, Brendan Donovan, Alec Burleson, Ali Sanchez, Kramer Robertson,
2022-03-28, Tommy Edman, Paul Goldschmidt, Tyler O'Neill, Nolan Arenado, Dylan Carlson, Yadier Molina, Paul DeJong, Juan Yepez, Harrison Bader,
2022-03-30, Dylan Carlson, Paul Goldschmidt, Tyler O'Neill, Albert Pujols, Paul DeJong, Yadier Molina, Harrison Bader, Tommy Edman, Brendan Donovan,
2022-03-31, Harrison Bader, Tyler O'Neill, Nolan Arenado, Paul DeJong, Lars Nootbaar, Andrew Knizner, Brendan Donovan, Alec Burleson, Luken Baker,
2022-04-01, Brendan Donovan, Alec Burleson, Conner Capel, Luken Baker, Cory Spangenberg, Kramer Robertson, Delvin Perez, Julio E. Rodriguez, Mike Antico,
