date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2023-02-25, Tim Anderson, Luis Robert Jr., Yoan Moncada, Eloy Jimenez, Andrew Vaughn, Yasmani Grandal, Gavin Sheets, Victor Reyes, Leury Garcia,
2023-02-26, Jake Marisnick, Oscar Colas, Hanser Alberto, Jake Burger, Bryan Ramos, Victor Reyes, Seby Zavala, Erik Gonzalez, Billy Hamilton,
2023-02-27, Tim Anderson, Luis Robert Jr., Andrew Benintendi, Eloy Jimenez, Yoan Moncada, Andrew Vaughn, Yasmani Grandal, Gavin Sheets, Elvis Andrus,
2023-02-28, Tim Anderson, Luis Robert Jr., Yoan Moncada, Eloy Jimenez, Gavin Sheets, Andrew Vaughn, Hanser Alberto, Seby Zavala, Romy Gonzalez,
2023-03-01, Tim Anderson, Luis Robert Jr., Andrew Benintendi, Eloy Jimenez, Yoan Moncada, Yasmani Grandal, Jake Burger, Oscar Colas, Elvis Andrus,
2023-03-02, Romy Gonzalez, Elvis Andrus, Andrew Vaughn, Gavin Sheets, Hanser Alberto, Victor Reyes, Jake Marisnick, Seby Zavala, Leury Garcia,
2023-03-03, Tim Anderson, Andrew Vaughn, Andrew Benintendi, Eloy Jimenez, Yasmani Grandal, Gavin Sheets, Hanser Alberto, Zach Remillard, Romy Gonzalez,
2023-03-04, Tim Anderson, Elvis Andrus, Andrew Benintendi, Eloy Jimenez, Yasmani Grandal, Oscar Colas, Leury Garcia, Seby Zavala, Adam Haseley,
2023-03-05, Hanser Alberto, Andrew Vaughn, Andrew Benintendi, Eloy Jimenez, Jake Burger, Oscar Colas, Leury Garcia, Lenyn Sosa, Sebastian  Rivero,
2023-03-07, Elvis Andrus, Oscar Colas, Andrew Vaughn, Yasmani Grandal, Gavin Sheets, Hanser Alberto, Jake Marisnick, Adam Haseley, Erik Gonzalez,
2023-03-08, Oscar Colas, Andrew Vaughn, Andrew Benintendi, Jake Burger, Yasmani Grandal, Gavin Sheets, Romy Gonzalez, Leury Garcia, Billy Hamilton,
2023-03-10, Elvis Andrus, Andrew Vaughn, Andrew Benintendi, Yasmani Grandal, Oscar Colas, Jake Marisnick, Bryan Ramos, Seby Zavala, Erik Gonzalez,
2023-03-11, Leury Garcia, Andrew Vaughn, Andrew Benintendi, Yasmani Grandal, Jake Burger, Bryan Ramos, Jake Marisnick, Erik Gonzalez, Billy Hamilton,
2023-03-12, Elvis Andrus, Oscar Colas, Andrew Vaughn, Gavin Sheets, Jake Burger, Zach Remillard, Leury Garcia, Seby Zavala, Adam Haseley,
2023-03-14, Elvis Andrus, Oscar Colas, Andrew Benintendi, Yasmani Grandal, Jake Burger, Gavin Sheets, Hanser Alberto, Victor Reyes, Leury Garcia,
2023-03-16, Elvis Andrus, Oscar Colas, Andrew Benintendi, Yasmani Grandal, Jake Burger, Gavin Sheets, Hanser Alberto, Victor Reyes, Romy Gonzalez,
2023-03-17, Elvis Andrus, Oscar Colas, Andrew Benintendi, Eloy Jimenez, Hanser Alberto, Adam Haseley, Romy Gonzalez, Seby Zavala, Erik Gonzalez,
2023-03-18, Andrew Benintendi, Adam Haseley, Gavin Sheets, Yasmani Grandal, Jake Burger, Victor Reyes, Jake Marisnick, Zach Remillard, Moises Castillo,
2023-03-19, Elvis Andrus, Hanser Alberto, Eloy Jimenez, Jake Burger, Yasmani Grandal, Oscar Colas, Romy Gonzalez, Seby Zavala, Erik Gonzalez,
2023-03-20, Elvis Andrus, Gavin Sheets, Andrew Benintendi, Eloy Jimenez, Yasmani Grandal, Hanser Alberto, Oscar Colas, Zach Remillard, Billy Hamilton,
2023-03-21, Romy Gonzalez, Gavin Sheets, Andrew Benintendi, Yasmani Grandal, Jake Burger, Adam Haseley, Seby Zavala, Erik Gonzalez, Zach Remillard,
2023-03-22a, Elvis Andrus, Adam Haseley, Gavin Sheets, Yasmani Grandal, Oscar Colas, Seby Zavala, Leury Garcia, Duke Ellis, Bryce Willits,
2023-03-22b, Hanser Alberto, Jake Burger, Andrew Benintendi, Eloy Jimenez, Erik Gonzalez, Zach Remillard, Sebastian  Rivero, Billy Hamilton, Nate Mondou,
2023-03-23, Elvis Andrus, Luis Robert Jr., Andrew Benintendi, Eloy Jimenez, Hanser Alberto, Jake Burger, Yasmani Grandal, Seby Zavala, Leury Garcia,
2023-03-24, Tim Anderson, Yoan Moncada, Luis Robert Jr., Eloy Jimenez, Romy Gonzalez, Elvis Andrus, Hanser Alberto, Seby Zavala, Jake Marisnick,
2023-03-25, Romy Gonzalez, Leury Garcia, Gavin Sheets, Yasmani Grandal, Jake Burger, Oscar Colas, Hanser Alberto, Zach Remillard, Erik Gonzalez,
2023-03-26, Tim Anderson, Luis Robert Jr., Andrew Benintendi, Eloy Jimenez, Yoan Moncada, Gavin Sheets, Elvis Andrus, Oscar Colas, Seby Zavala,
2023-03-27, Adam Haseley, Andrew Vaughn, Andrew Benintendi, Gavin Sheets, Yasmani Grandal, Hanser Alberto, Oscar Colas, Zach Remillard, Erik Gonzalez,
2023-03-28, Elvis Andrus, Romy Gonzalez, Andrew Vaughn, Gavin Sheets, Seby Zavala, Oscar Colas, Moises Castillo, DJ Gladney, Wes Kath,
