date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2023-02-25, Tony Kemp, Seth Brown, Ramon Laureano, JJ Bleday, Manny Pina, Jace Peterson, Dermis Garcia, Ryan Noda, Nick Allen,
2023-02-26, Esteury Ruiz, Aledmys Diaz, Shea Langeliers, Jesus Aguilar, Conner Capel, Brent Rooker, Jordan Diaz, Zack Gelof, Kevin Smith,
2023-02-27, Tony Kemp, Ramon Laureano, Seth Brown, Brent Rooker, Jace Peterson, Dermis Garcia, JJ Bleday, Tyler Soderstrom, Nick Allen,
2023-02-28, Tony Kemp, Aledmys Diaz, Seth Brown, Jesus Aguilar, Jace Peterson, Conner Capel, Shea Langeliers, Ryan Noda, Esteury Ruiz,
2023-03-01, Nick Allen, Conner Capel, JJ Bleday, Brent Rooker, Dermis Garcia, Jordan Diaz, Yohel Pozo, Kevin Smith, Zack Gelof,
2023-03-02, Tony Kemp, Aledmys Diaz, Seth Brown, Jesus Aguilar, Ryan Noda, Shea Langeliers, Jace Peterson, JJ Bleday, Esteury Ruiz,
2023-03-03, Nick Allen, Conner Capel, Ramon Laureano, Ryan Noda, Brent Rooker, Tyler Soderstrom, Cristian Pache, Tyler Wade, Zack Gelof,
2023-03-04a, Esteury Ruiz, Tony Kemp, Aledmys Diaz, Ryan Noda, Ramon Laureano, Jace Peterson, Brent Rooker, Yohel Pozo, Denzel Clarke,
2023-03-04b, Nick Allen, Conner Capel, Shea Langeliers, Seth Brown, Jesus Aguilar, JJ Bleday, Jonah Bride, Jordan Diaz, Cristian Pache,
2023-03-05a, Esteury Ruiz, Kevin Smith, Ramon Laureano, Brent Rooker, Dermis Garcia, Yohel Pozo, Pablo Reyes, Logan Davidson, Denzel Clarke,
2023-03-05b, Cristian Pache, Seth Brown, Shea Langeliers, Jonah Bride, Kevin Cron, Zack Gelof, Ernie Clement, Lawrence Butler, Max Muncy,
2023-03-07, Tony Kemp, Aledmys Diaz, Ryan Noda, Shea Langeliers, Jesus Aguilar, JJ Bleday, Ramon Laureano, Jace Peterson, Esteury Ruiz,
2023-03-09, Tony Kemp, Aledmys Diaz, Conner Capel, Shea Langeliers, Jesus Aguilar, Jace Peterson, Ramon Laureano, Ryan Noda, Esteury Ruiz,
2023-03-10, Esteury Ruiz, Seth Brown, Aledmys Diaz, Jesus Aguilar, Jace Peterson, Ramon Laureano, JJ Bleday, Nick Allen, Kyle McCann,
2023-03-11, Tony Kemp, Jonah Bride, Conner Capel, Shea Langeliers, Ryan Noda, Brent Rooker, JJ Bleday, Kevin Smith, Lawrence Butler,
2023-03-12a, Esteury Ruiz, Conner Capel, Shea Langeliers, Jesus Aguilar, Jace Peterson, Jonah Bride, JJ Bleday, Nick Allen, Tyler Wade,
2023-03-12b, Tony Kemp, Aledmys Diaz, Seth Brown, Ramon Laureano, Ryan Noda, Brent Rooker, Kyle McCann, Kevin Smith, Cristian Pache,
2023-03-13, Esteury Ruiz, Tony Kemp, Aledmys Diaz, Jesus Aguilar, Jace Peterson, Ramon Laureano, Conner Capel, Tyler Soderstrom, Nick Allen,
2023-03-14, Jace Peterson, Shea Langeliers, Seth Brown, Brent Rooker, Ryan Noda, Cristian Pache, Cristian Pache, Tyler Wade, Cody Thomas,
2023-03-16, Nick Allen, Esteury Ruiz, Ramon Laureano, Brent Rooker, Kevin Smith, Cristian Pache, Kyle McCann, Dermis Garcia, Pablo Reyes,
2023-03-17, Tony Kemp, Aledmys Diaz, Jesus Aguilar, Seth Brown, Shea Langeliers, Jace Peterson, Ramon Laureano, Conner Capel, Cristian Pache,
2023-03-18, Esteury Ruiz, Seth Brown, Aledmys Diaz, Jesus Aguilar, Ramon Laureano, Shea Langeliers, Brent Rooker, Tony Kemp, Nick Allen,
2023-03-19, Esteury Ruiz, Ryan Noda, Shea Langeliers, Conner Capel, Tyler Soderstrom, Nick Allen, JJ Bleday, Tyler Wade, Zack Gelof,
2023-03-21, Tony Kemp, Conner Capel, Aledmys Diaz, Jesus Aguilar, Jace Peterson, Ramon Laureano, Shea Langeliers, Ryan Noda, Esteury Ruiz,
2023-03-22, Tony Kemp, Seth Brown, Aledmys Diaz, Jesus Aguilar, Jace Peterson, Ramon Laureano, Shea Langeliers, Conner Capel, Esteury Ruiz,
2023-03-23, Nick Allen, Conner Capel, Ryan Noda, Brent Rooker, Kyle McCann, Kevin Smith, Tyler Wade, Pablo Reyes, Cristian Pache,
2023-03-24a, Cal Stevenson, Cody Thomas, Zack Gelof, Tyler Soderstrom, Jonah Bride, Jordan Diaz, Dermis Garcia, Lawrence Butler, Max Muncy,
2023-03-24b, Tony Kemp, Aledmys Diaz, Seth Brown, Jesus Aguilar, Ramon Laureano, Jace Peterson, Shea Langeliers, Ryan Noda, Esteury Ruiz,
2023-03-25, Nick Allen, Conner Capel, Kyle McCann, Brent Rooker, Ryan Noda, Kevin Smith, Cristian Pache, Tyler Wade, Pablo Reyes,
2023-03-26, Tony Kemp, Aledmys Diaz, Ramon Laureano, Jesus Aguilar, Brent Rooker, Shea Langeliers, Seth Brown, Nick Allen, Esteury Ruiz,
2023-03-27, Tony Kemp, Aledmys Diaz, Seth Brown, Jesus Aguilar, Jace Peterson, Ramon Laureano, Ryan Noda, Shea Langeliers, Esteury Ruiz,
