date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2023-02-24, Xander Bogaerts, Manny Machado, Juan Soto, Nelson Cruz, Ha-Seong Kim, Brandon Dixon, Luis Campusano, Alfonso Rivas III, Jose Azocar,
2023-02-25, Trent Grisham, Brandon Dixon, Jake Cronenworth, Matt Carpenter, David Dahl, Pedro Severino, Alfonso Rivas III, Jantzen Witte, Jackson Merrill,
2023-02-26, Xander Bogaerts, Manny Machado, Juan Soto, Nelson Cruz, Jake Cronenworth, Ha-Seong Kim, Austin Nola, Trent Grisham, Jose Azocar,
2023-02-27, Xander Bogaerts, David Dahl, Manny Machado, Nelson Cruz, Matt Carpenter, Ha-Seong Kim, Taylor Kohlwey, Luis Campusano, Brandon Dixon,
2023-02-28, Trent Grisham, Fernando Tatis Jr., Jake Cronenworth, Matt Carpenter, David Dahl, Jose Azocar, Jackson Merrill, Brett Sullivan, Tim Lopes,
2023-03-01, Xander Bogaerts, Juan Soto, Manny Machado, Nelson Cruz, Jake Cronenworth, Austin Nola, Trent Grisham, Brandon Dixon, Alfonso Rivas III,
2023-03-02, Fernando Tatis Jr., Juan Soto, Manny Machado, Nelson Cruz, Matt Carpenter, Luis Campusano, Rougned Odor, David Dahl, Jackson Merrill,
2023-03-03, Trent Grisham, Jake Cronenworth, Manny Machado, Nelson Cruz, Matt Carpenter, Austin Nola, Taylor Kohlwey, Jose Azocar, Jackson Merrill,
2023-03-04, Tim Lopes, Fernando Tatis Jr., Rougned Odor, Luis Campusano, David Dahl, Brandon Dixon, Alfonso Rivas III, Rangel Ravelo, Taylor Kohlwey,
2023-03-05, Trent Grisham, Manny Machado, Jake Cronenworth, Nelson Cruz, Austin Nola, Brandon Dixon, Rangel Ravelo, Jackson Merrill, Jose Azocar,
2023-03-06, Trent Grisham, Fernando Tatis Jr., Matt Carpenter, Luis Campusano, David Dahl, Austin Nola, Rougned Odor, Jackson Merrill, Jantzen Witte,
2023-03-07, Jose Azocar, Jake Cronenworth, Brandon Dixon, Matt Carpenter, Tim Lopes, Rougned Odor, Pedro Severino, Taylor Kohlwey, Luis Liberato,
2023-03-08, Trent Grisham, Fernando Tatis Jr., Jake Cronenworth, David Dahl, Brandon Dixon, Alfonso Rivas III, Preston Tucker, Pedro Severino, Jackson Merrill,
2023-03-09, Fernando Tatis Jr., Rougned Odor, Austin Nola, Matt Carpenter, David Dahl, Jose Azocar, Tim Lopes, Taylor Kohlwey, Jantzen Witte,
2023-03-10, Trent Grisham, Brandon Dixon, Jake Cronenworth, Rougned Odor, Tim Lopes, Jose Azocar, Jackson Merrill, Pedro Severino, Luis Liberato,
2023-03-11, Trent Grisham, Fernando Tatis Jr., Jake Cronenworth, Matt Carpenter, Brandon Dixon, David Dahl, Austin Nola, Adam Engel, Tim Lopes,
2023-03-12, Luis Liberato, Jose Azocar, Rougned Odor, Rangel Ravelo, David Dahl, Alfonso Rivas III, Pedro Severino, Jackson Merrill, Matthew Batten,
2023-03-13, Trent Grisham, Austin Nola, Fernando Tatis Jr., Jake Cronenworth, Adam Engel, Matt Carpenter, Brandon Dixon, Tim Lopes, Jose Azocar,
2023-03-16, Trent Grisham, Fernando Tatis Jr., Jake Cronenworth, Xander Bogaerts, Ha-Seong Kim, Austin Nola, David Dahl, Matthew Batten, Rangel Ravelo,
2023-03-17, Adam Engel, Rougned Odor, Fernando Tatis Jr., Matt Carpenter, Austin Nola, David Dahl, Alfonso Rivas III, Tim Lopes, Jackson Merrill,
2023-03-18, Fernando Tatis Jr., Juan Soto, Manny Machado, Xander Bogaerts, Jake Cronenworth, Nelson Cruz, Trent Grisham, Ha-Seong Kim, Luis Campusano,
2023-03-19, Adam Engel, Austin Nola, Matt Carpenter, Nelson Cruz, Brandon Dixon, Rougned Odor, Jose Azocar, Tim Lopes, Matthew Batten,
2023-03-21, Fernando Tatis Jr., Jake Cronenworth, Manny Machado, Xander Bogaerts, Matt Carpenter, Ha-Seong Kim, Trent Grisham, Luis Campusano, David Dahl,
2023-03-22, Adam Engel, Tim Lopes, Rougned Odor, Nelson Cruz, David Dahl, Jose Azocar, Brett Sullivan, Matthew Batten, Taylor Kohlwey,
2023-03-23a, Fernando Tatis Jr., Matt Carpenter, Manny Machado, Xander Bogaerts, Nelson Cruz, Ha-Seong Kim, David Dahl, Luis Campusano, Adam Engel,
2023-03-23b, Trent Grisham, Tim Lopes, Jake Cronenworth, Rougned Odor, Brandon Dixon, Taylor Kohlwey, Rangel Ravelo, Pedro Severino, Jose Azocar,
2023-03-24, Ha-Seong Kim, Jake Cronenworth, Fernando Tatis Jr., Matt Carpenter, Luis Campusano, Rougned Odor, Tim Lopes, Jose Azocar, Matthew Batten,
2023-03-25, Trent Grisham, Rougned Odor, Manny Machado, Nelson Cruz, David Dahl, Brandon Dixon, Brett Sullivan, Tim Lopes, Taylor Kohlwey,
2023-03-26, Fernando Tatis Jr., Jake Cronenworth, Manny Machado, Xander Bogaerts, Matt Carpenter, Nelson Cruz, Luis Campusano, Trent Grisham, Jose Azocar,
2023-03-27, Trent Grisham, Fernando Tatis Jr., Xander Bogaerts, Jake Cronenworth, Nelson Cruz, Austin Nola, Matt Carpenter, Ha-Seong Kim, Rougned Odor,
