date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2024-02-24, Cedric Mullins, Adley Rutschman, Anthony Santander, Ryan O'Hearn, Austin Hays, Ramon Urias, Jackson Holliday, Jorge Mateo, Ryan McKenna,
2024-02-25, Colton Cowser, Ryan Mountcastle, James McCann, Heston Kjerstad, Jordan Westburg, Jorge Mateo, Sam Hilliard, Nick Maton, Kyle Stowers,
2024-02-26a, Cedric Mullins, Adley Rutschman, Austin Hays, Ramon Urias, Coby Mayo, Nick Maton, Sam Hilliard, Tyler Nevin, Colton Cowser,
2024-02-26b, Ryan McKenna, Anthony Santander, Jordan Westburg, Ryan O'Hearn, Heston Kjerstad, Jackson Holliday, Kyle Stowers, Diego A. Castillo, Michael Perez,
2024-02-27, Jackson Holliday, Ryan Mountcastle, Heston Kjerstad, James McCann, Coby Mayo, Ryan McKenna, Jorge Mateo, Tyler Nevin, Daniel Johnson,
2024-02-28, Cedric Mullins, Anthony Santander, Ryan O'Hearn, Austin Hays, Ramon Urias, Jordan Westburg, Colton Cowser, Nick Maton, Maverick Handley,
2024-02-29, Jackson Holliday, Adley Rutschman, Heston Kjerstad, James McCann, Coby Mayo, Kyle Stowers, Jorge Mateo, Tyler Nevin, Ryan McKenna,
2024-03-01, Colton Cowser, Anthony Santander, Ryan Mountcastle, Ryan O'Hearn, James McCann, Ramon Urias, Jordan Westburg, Jackson Holliday, Tyler Nevin,
2024-03-02, Cedric Mullins, Adley Rutschman, Ryan Mountcastle, Ryan O'Hearn, Austin Hays, Coby Mayo, Kolten Wong, Jorge Mateo, Heston Kjerstad,
2024-03-03, Jorge Mateo, Anthony Santander, Jordan Westburg, James McCann, Ramon Urias, Ryan McKenna, Colton Cowser, Tyler Nevin, Jackson Holliday,
2024-03-04, Cedric Mullins, Adley Rutschman, Gunnar Henderson, Anthony Santander, Ryan O'Hearn, Ryan Mountcastle, Austin Hays, Kolten Wong, Nick Maton,
2024-03-05, Jackson Holliday, Jordan Westburg, Colton Cowser, Tyler Nevin, Heston Kjerstad, Coby Mayo, Kyle Stowers, Connor Norby, Michael Perez,
2024-03-06, Gunnar Henderson, Adley Rutschman, Anthony Santander, Ryan O'Hearn, Ryan Mountcastle, Austin Hays, Kolten Wong, Ramon Urias, Jorge Mateo,
2024-03-08, Gunnar Henderson, Anthony Santander, Ryan Mountcastle, Ryan O'Hearn, Austin Hays, James McCann, Kolten Wong, Heston Kjerstad, Jackson Holliday,
2024-03-09, Ryan McKenna, Adley Rutschman, Ramon Urias, Jordan Westburg, Jorge Mateo, Colton Cowser, Coby Mayo, Kyle Stowers, Tyler Nevin,
2024-03-10a, Adley Rutschman, Ryan Mountcastle, Ryan O'Hearn, Austin Hays, Ramon Urias, James McCann, Kolten Wong, Jorge Mateo, Colton Cowser,
2024-03-10b, Gunnar Henderson, Anthony Santander, Jordan Westburg, Heston Kjerstad, Ryan McKenna, Jackson Holliday, Coby Mayo, Michael Perez, Connor Norby,
2024-03-11, Jackson Holliday, Kolten Wong, Anthony Santander, Kyle Stowers, Heston Kjerstad, Nick Maton, Tyler Nevin, Daniel Johnson, Michael Perez,
2024-03-12, Gunnar Henderson, Adley Rutschman, Ryan Mountcastle, Ryan O'Hearn, Austin Hays, Ramon Urias, Jordan Westburg, Jorge Mateo, Colton Cowser,
2024-03-13, Colton Cowser, Anthony Santander, Ryan O'Hearn, Jordan Westburg, Heston Kjerstad, James McCann, Jackson Holliday, Kolten Wong, Ryan McKenna,
2024-03-14, Cedric Mullins, Adley Rutschman, Gunnar Henderson, Anthony Santander, Austin Hays, Ramon Urias, Jorge Mateo, Tyler Nevin, Kyle Stowers,
2024-03-15, Colton Cowser, Jordan Westburg, Ryan O'Hearn, James McCann, Heston Kjerstad, Kolten Wong, Ryan McKenna, Jackson Holliday, Connor Norby,
2024-03-16, Cedric Mullins, Adley Rutschman, Gunnar Henderson, Anthony Santander, Ramon Urias, Jorge Mateo, Kyle Stowers, Tyler Nevin, Coby Mayo,
2024-03-17a, Cedric Mullins, Jackson Holliday, Gunnar Henderson, Ryan O'Hearn, Ramon Urias, James McCann, Jorge Mateo, Kolten Wong, Coby Mayo,
2024-03-17b, Colton Cowser, Connor Norby, Jordan Westburg, Heston Kjerstad, Ryan McKenna, Kyle Stowers, Tyler Nevin, Nick Maton, Maverick Handley,
2024-03-19, Jackson Holliday, Adley Rutschman, Jordan Westburg, Colton Cowser, Tyler Nevin, Kyle Stowers, Coby Mayo, Heston Kjerstad, Connor Norby,
2024-03-20, Cedric Mullins, Adley Rutschman, Gunnar Henderson, Anthony Santander, Ryan Mountcastle, Ryan O'Hearn, Ramon Urias, Jorge Mateo, Ryan McKenna,
2024-03-21, Gunnar Henderson, Anthony Santander, Ryan Mountcastle, Jordan Westburg, Colton Cowser, Tyler Nevin, Kolten Wong, Ryan McKenna, Michael Perez,
2024-03-23a, Cedric Mullins, Adley Rutschman, Gunnar Henderson, Anthony Santander, Ryan Mountcastle, Ryan O'Hearn, Austin Hays, Ramon Urias, Jorge Mateo,
2024-03-23b, Kolten Wong, Colton Cowser, Ryan McKenna, Tyler Nevin, Coby Mayo, Nick Maton, Connor Norby, Michael Perez, Daniel Johnson,
2024-03-24, Cedric Mullins, Gunnar Henderson, Anthony Santander, Ryan Mountcastle, Ryan O'Hearn, Austin Hays, James McCann, Ramon Urias, Jordan Westburg,
