date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2024-02-24, Amed Rosario, Jose Caballero, Jonathan Aranda, Curtis Mead, Jose Siri, Junior Caminero, Richie Palacios, Rene Pinto, Jake Mangum,
2024-02-25, Yandy Diaz, Jonny DeLuca, Josh Lowe, Harold Ramirez, Isaac Paredes, Alex Jackson, Yu Chang, Osleivis Basabe, Tristan Peters,
2024-02-26, Amed Rosario, Jonathan Aranda, Curtis Mead, Junior Caminero, Jose Siri, Richie Palacios, Niko Hulsizer, Rob Brantly, Ronny Simon,
2024-02-27, Yandy Diaz, Brandon Lowe, Randy Arozarena, Josh Lowe, Harold Ramirez, Curtis Mead, Jonny DeLuca, Jose Caballero, Rene Pinto,
2024-02-28, Amed Rosario, Jonathan Aranda, Isaac Paredes, Austin Shenton, Jose Siri, Richie Palacios, Alex Jackson, Yu Chang, Ronny Simon,
2024-02-29, Yandy Diaz, Brandon Lowe, Randy Arozarena, Harold Ramirez, Junior Caminero, Richie Palacios, Jose Caballero, Jonny DeLuca, Rene Pinto,
2024-03-01, Amed Rosario, Jonathan Aranda, Harold Ramirez, Isaac Paredes, Curtis Mead, Jose Siri, Rob Brantly, Osleivis Basabe, Jake Mangum,
2024-03-02, Yandy Diaz, Brandon Lowe, Randy Arozarena, Junior Caminero, Amed Rosario, Richie Palacios, Jose Caballero, Jonny DeLuca, Rene Pinto,
2024-03-03, Richie Palacios, Jonathan Aranda, Randy Arozarena, Harold Ramirez, Isaac Paredes, Curtis Mead, Jose Siri, Alex Jackson, Osleivis Basabe,
2024-03-04, Yandy Diaz, Brandon Lowe, Amed Rosario, Austin Shenton, Junior Caminero, Jose Caballero, Rene Pinto, Jonny DeLuca, Jake Mangum,
2024-03-05, Jose Caballero, Jonathan Aranda, Harold Ramirez, Austin Shenton, Junior Caminero, Jose Siri, Alex Jackson, Jake Mangum, Rob Brantly,
2024-03-06, Yandy Diaz, Brandon Lowe, Randy Arozarena, Isaac Paredes, Amed Rosario, Richie Palacios, Jonny DeLuca, Rene Pinto, Osleivis Basabe,
2024-03-07, Amed Rosario, Jose Caballero, Harold Ramirez, Isaac Paredes, Austin Shenton, Jose Siri, Curtis Mead, Alex Jackson, Tristan Peters,
2024-03-09, Amed Rosario, Jonathan Aranda, Randy Arozarena, Harold Ramirez, Isaac Paredes, Junior Caminero, Jose Siri, Jose Caballero, Rene Pinto,
2024-03-10, Jonny DeLuca, Jonathan Aranda, Randy Arozarena, Isaac Paredes, Junior Caminero, Richie Palacios, Curtis Mead, Osleivis Basabe, Francisco Mejia,
2024-03-11, Yandy Diaz, Brandon Lowe, Harold Ramirez, Austin Shenton, Amed Rosario, Jose Caballero, Jose Siri, Alex Jackson, Rene Pinto,
2024-03-12, Yandy Diaz, Jonathan Aranda, Randy Arozarena, Isaac Paredes, Amed Rosario, Richie Palacios, Curtis Mead, Rene Pinto, Jake Mangum,
2024-03-13, Curtis Mead, Brandon Lowe, Jonathan Aranda, Harold Ramirez, Jose Siri, Jose Caballero, Alex Jackson, Richie Palacios, Osleivis Basabe,
2024-03-14, Yandy Diaz, Amed Rosario, Randy Arozarena, Isaac Paredes, Rene Pinto, Richie Palacios, Alex Jackson, Osleivis Basabe, Ronny Simon,
2024-03-15, Jose Caballero, Brandon Lowe, Harold Ramirez, Jonathan Aranda, Isaac Paredes, Amed Rosario, Jose Siri, Curtis Mead, Francisco Mejia,
2024-03-16, Yandy Diaz, Amed Rosario, Randy Arozarena, Curtis Mead, Richie Palacios, Alex Jackson, Francisco Mejia, Osleivis Basabe, Jake Mangum,
2024-03-17, Jose Caballero, Brandon Lowe, Isaac Paredes, Jonathan Aranda, Xavier Isaac, Jose Siri, Alex Jackson, Richie Palacios, Jake Mangum,
2024-03-18, Yandy Diaz, Brandon Lowe, Randy Arozarena, Harold Ramirez, Isaac Paredes, Amed Rosario, Richie Palacios, Jose Caballero, Rene Pinto,
2024-03-19, Amed Rosario, Richie Palacios, Harold Ramirez, Curtis Mead, Alex Jackson, Jose Siri, Rene Pinto, Bob Seymour, Tanner Murray,
2024-03-21, Yandy Diaz, Brandon Lowe, Randy Arozarena, Harold Ramirez, Isaac Paredes, Amed Rosario, Jose Siri, Jose Caballero, Rene Pinto,
2024-03-23a, Amed Rosario, Jose Siri, Curtis Mead, Xavier Isaac, Alex Jackson, Jake Mangum, Francisco Mejia, Mason Auer, Tanner Murray,
2024-03-23b, Yandy Diaz, Brandon Lowe, Randy Arozarena, Harold Ramirez, Isaac Paredes, Austin Shenton, Jose Caballero, Richie Palacios, Rene Pinto,
2024-03-24, Jose Caballero, Austin Shenton, Randy Arozarena, Isaac Paredes, Harold Ramirez, Amed Rosario, Jose Siri, Richie Palacios, Rene Pinto,
2024-03-25, Yandy Diaz, Brandon Lowe, Harold Ramirez, Austin Shenton, Curtis Mead, Richie Palacios, Jose Caballero, Rene Pinto, Dru Baker,
2024-03-26, Yandy Diaz, Brandon Lowe, Randy Arozarena, Isaac Paredes, Harold Ramirez, Amed Rosario, Jose Siri, Jose Caballero, Alex Jackson,
