date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2024-02-24, CJ Abrams, Lane Thomas, Joey Gallo, Joey Meneses, Jesse Winker, Keibert Ruiz, Nick Senzel, Luis Garcia Jr., Victor Robles,
2024-02-25, Alex Call, Carter Kieboom, Joey Meneses, Riley Adams, Juan Yepez, James Wood, Trey Lipscomb, Ildemaro Vargas, Jacob Young,
2024-02-26, CJ Abrams, Lane Thomas, Joey Gallo, Keibert Ruiz, Jesse Winker, Brady House, Luis Garcia Jr., Victor Robles, Jacob Young,
2024-02-27, Lane Thomas, Ildemaro Vargas, James Wood, Joey Meneses, Jake Alu, Dylan Crews, Riley Adams, Robert Hassell III, Trey Lipscomb,
2024-02-28, CJ Abrams, Victor Robles, Jesse Winker, Joey Gallo, Dylan Crews, Luis Garcia Jr., Ildemaro Vargas, Drew Millas, Alex Call,
2024-02-29, Lane Thomas, James Wood, Joey Meneses, Travis Blankenhorn, Nick Senzel, Riley Adams, Jacob Young, Trey Lipscomb, Nasim Nunez,
2024-03-01, CJ Abrams, Lane Thomas, Keibert Ruiz, Nick Senzel, Jesse Winker, Juan Yepez, Trey Lipscomb, Travis Blankenhorn, Victor Robles,
2024-03-02, Jacob Young, Luis Garcia Jr., Joey Meneses, James Wood, Alex Call, Dylan Crews, Carter Kieboom, Riley Adams, Nasim Nunez,
2024-03-04, Lane Thomas, James Wood, Jesse Winker, Joey Meneses, Keibert Ruiz, Nick Senzel, Luis Garcia Jr., Ildemaro Vargas, Victor Robles,
2024-03-06, CJ Abrams, Lane Thomas, Jesse Winker, Joey Meneses, Keibert Ruiz, Nick Senzel, Dylan Crews, Luis Garcia Jr., Victor Robles,
2024-03-07, Lane Thomas, James Wood, Joey Meneses, Joey Gallo, Ildemaro Vargas, Carter Kieboom, Drew Millas, Jacob Young, Darren Baker,
2024-03-08, CJ Abrams, Lane Thomas, Jesse Winker, Joey Meneses, Joey Gallo, Keibert Ruiz, Nick Senzel, Luis Garcia Jr., Jacob Young,
2024-03-09a, CJ Abrams, Dylan Crews, Jesse Winker, Joey Meneses, Keibert Ruiz, Nick Senzel, Trey Lipscomb, Jake Alu, Jacob Young,
2024-03-09b, Luis Garcia Jr., Victor Robles, James Wood, Lane Thomas, Riley Adams, Ildemaro Vargas, Alex Call, Juan Yepez, Nasim Nunez,
2024-03-10, Victor Robles, Luis Garcia Jr., Ildemaro Vargas, Riley Adams, James Wood, Alex Call, Jake Alu, Carter Kieboom, Lewin Diaz,
2024-03-11, CJ Abrams, Lane Thomas, Jesse Winker, Joey Gallo, Keibert Ruiz, Eddie Rosario, Nick Senzel, Luis Garcia Jr., Jacob Young,
2024-03-12, CJ Abrams, Lane Thomas, Joey Meneses, Joey Gallo, Nick Senzel, Eddie Rosario, Trey Lipscomb, Riley Adams, Victor Robles,
2024-03-13, Jacob Young, James Wood, Jesse Winker, Keibert Ruiz, Luis Garcia Jr., Ildemaro Vargas, Trey Lipscomb, Dylan Crews, Juan Yepez,
2024-03-14, CJ Abrams, Lane Thomas, Jesse Winker, Joey Meneses, Joey Gallo, Keibert Ruiz, Eddie Rosario, Nick Senzel, Luis Garcia Jr.,
2024-03-15, Lane Thomas, Luis Garcia Jr., Joey Meneses, Joey Gallo, Nick Senzel, Alex Call, Ildemaro Vargas, Riley Adams, Victor Robles,
2024-03-16, CJ Abrams, Trey Lipscomb, Jesse Winker, Keibert Ruiz, Eddie Rosario, Juan Yepez, Ildemaro Vargas, Alex Call, Jacob Young,
2024-03-17, CJ Abrams, Lane Thomas, Jesse Winker, Joey Meneses, Joey Gallo, Eddie Rosario, Nick Senzel, Luis Garcia Jr., Drew Millas,
2024-03-18, CJ Abrams, Lane Thomas, Eddie Rosario, Joey Meneses, Joey Gallo, Keibert Ruiz, Victor Robles, Ildemaro Vargas, Trey Lipscomb,
2024-03-20, CJ Abrams, Lane Thomas, Jesse Winker, Joey Meneses, Riley Adams, Riley Adams, Nick Senzel, Victor Robles, Trey Lipscomb,
2024-03-21, CJ Abrams, Lane Thomas, Jesse Winker, Joey Gallo, Keibert Ruiz, Luis Garcia Jr., Ildemaro Vargas, Victor Robles, CJ Abrams,
2024-03-23a, CJ Abrams, Eddie Rosario, Nick Senzel, Joey Meneses, Keibert Ruiz, James Wood, Alex Call, Luis Garcia Jr., Jacob Young,
2024-03-23b, Lane Thomas, Jesse Winker, Juan Yepez, Joey Gallo, Ildemaro Vargas, Victor Robles, Riley Adams, Trey Lipscomb, Nasim Nunez,
2024-03-24, CJ Abrams, Lane Thomas, Jesse Winker, Eddie Rosario, Joey Gallo, Nick Senzel, Luis Garcia Jr., Riley Adams, Victor Robles,
