date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-02-22, Brayan Rocchio, Carlos Santana, Jose Ramirez, Lane Thomas, Bo Naylor, Jhonkensy Noel, Gabriel Arias, Austin Hedges, Angel Martinez,
2025-02-23, Steven Kwan, Will Brennan, Tyler Freeman, Kyle Manzardo, Bo Naylor, Daniel Schneemann, Juan Brito, Dom Nunez, Will Wilson,
2025-02-24, Angel Martinez, Brayan Rocchio, Gabriel Arias, Jhonkensy Noel, Austin Hedges, Kyle Manzardo, Johnathan Rodriguez, Petey Halpin, Micah Pries,
2025-02-25, Steven Kwan, Carlos Santana, Jose Ramirez, Lane Thomas, Bo Naylor, Tyler Freeman, Will Brennan, Daniel Schneemann, Juan Brito,
2025-02-26, Brayan Rocchio, Lane Thomas, Jose Ramirez, Carlos Santana, Kyle Manzardo, Gabriel Arias, Jhonkensy Noel, Austin Hedges, Angel Martinez,
2025-02-27, Steven Kwan, Tyler Freeman, Daniel Schneemann, Kyle Manzardo, Will Brennan, Gabriel Arias, Juan Brito, Dom Nunez, Will Wilson,
2025-02-28, Steven Kwan, Carlos Santana, Jose Ramirez, Lane Thomas, Bo Naylor, Brayan Rocchio, Jhonkensy Noel, Angel Martinez, Johnathan Rodriguez,
2025-03-01, Daniel Schneemann, Tyler Freeman, Kyle Manzardo, Gabriel Arias, Will Brennan, Austin Hedges, Jhonkensy Noel, Johnathan Rodriguez, Angel Martinez,
2025-03-02, Steven Kwan, Carlos Santana, Jose Ramirez, Bo Naylor, Lane Thomas, Will Brennan, Brayan Rocchio, Juan Brito, Petey Halpin,
2025-03-03, Daniel Schneemann, Tyler Freeman, Kyle Manzardo, Gabriel Arias, Austin Hedges, Jhonkensy Noel, Angel Martinez, Johnathan Rodriguez, Juan Brito,
2025-03-04, Steven Kwan, Jose Ramirez, Kyle Manzardo, Carlos Santana, Lane Thomas, Will Brennan, Bo Naylor, Gabriel Arias, Brayan Rocchio,
2025-03-06, Steven Kwan, Jose Ramirez, Carlos Santana, Lane Thomas, Bo Naylor, Will Brennan, Juan Brito, Brayan Rocchio, Dom Nunez,
2025-03-07, Tyler Freeman, Daniel Schneemann, Kyle Manzardo, Jhonkensy Noel, Gabriel Arias, Austin Hedges, Angel Martinez, Johnathan Rodriguez, Travis Bazzana,
2025-03-08, Brayan Rocchio, Tyler Freeman, Kyle Manzardo, Johnathan Rodriguez, Juan Brito, Angel Martinez, Petey Halpin, Will Wilson, Kody Huff,
2025-03-09, Steven Kwan, Jose Ramirez, Lane Thomas, Carlos Santana, Bo Naylor, Jhonkensy Noel, Daniel Schneemann, Gabriel Arias, Austin Hedges,
