date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-02-21, Brenton Doyle, Kyle Farmer, Ryan McMahon, Nolan Jones, Sean Bouchard, Hunter Goodman, Jordan Beck, Keston Hiura, Adael Amador,
2025-02-22, Thairo Estrada, Ezequiel Tovar, Michael Toglia, Sam Hilliard, Nick Martini, Yanquiel Fernandez, Zac Veen, Kyle Karros, Drew Romo,
2025-02-23a, Brenton Doyle, Ryan McMahon, Ezequiel Tovar, Kris Bryant, Thairo Estrada, Kyle Farmer, Jacob Stallings, Nick Martini, Jordan Beck,
2025-02-23b, Nolan Jones, Sean Bouchard, Sam Hilliard, Michael Toglia, Hunter Goodman, Keston Hiura, Owen Miller, Kyle Karros, Aaron Schunk,
2025-02-24, Zac Veen, Nolan Jones, Michael Toglia, Jordan Beck, Nick Martini, Braxton Fulford, Owen Miller, Aaron Schunk, Adael Amador,
2025-02-25, Brenton Doyle, Ryan McMahon, Ezequiel Tovar, Kris Bryant, Thairo Estrada, Jacob Stallings, Kyle Farmer, Sam Hilliard, Sean Bouchard,
2025-02-26, Zac Veen, Nolan Jones, Michael Toglia, Jordan Beck, Nick Martini, Drew Romo, Kyle Karros, Owen Miller, Adael Amador,
2025-02-27, Brenton Doyle, Ryan McMahon, Ezequiel Tovar, Kris Bryant, Thairo Estrada, Michael Toglia, Jacob Stallings, Nolan Jones, Sam Hilliard,
2025-02-28, Nick Martini, Sean Bouchard, Hunter Goodman, Sam Hilliard, Austin Nola, Jordan Beck, Adael Amador, Aaron Schunk, Ryan Ritter,
2025-03-01, Brenton Doyle, Ryan McMahon, Ezequiel Tovar, Kris Bryant, Thairo Estrada, Michael Toglia, Jordan Beck, Nolan Jones, Drew Romo,
2025-03-02, Brenton Doyle, Thairo Estrada, Ryan McMahon, Ezequiel Tovar, Nick Martini, Kyle Farmer, Nolan Jones, Jacob Stallings, Sam Hilliard,
2025-03-03, Nick Martini, Sean Bouchard, Michael Toglia, Hunter Goodman, Jordan Beck, Kyle Karros, Adael Amador, Owen Miller, Greg Jones,
2025-03-04, Brenton Doyle, Ryan McMahon, Ezequiel Tovar, Kris Bryant, Thairo Estrada, Nolan Jones, Kyle Farmer, Jacob Stallings, Zac Veen,
2025-03-05, Brenton Doyle, Ryan McMahon, Ezequiel Tovar, Michael Toglia, Thairo Estrada, Nolan Jones, Jordan Beck, Sam Hilliard, Drew Romo,
2025-03-08, Brenton Doyle, Ezequiel Tovar, Ryan McMahon, Kris Bryant, Thairo Estrada, Michael Toglia, Hunter Goodman, Nolan Jones, Sean Bouchard,
2025-03-09, Nick Martini, Ezequiel Tovar, Michael Toglia, Nolan Jones, Kyle Farmer, Sam Hilliard, Jacob Stallings, Jordan Beck, Adael Amador,
2025-03-10a, Brenton Doyle, Ezequiel Tovar, Ryan McMahon, Kris Bryant, Thairo Estrada, Nolan Jones, Jacob Stallings, Austin Nola, Sam Hilliard,
2025-03-10b, Nick Martini, Sean Bouchard, Michael Toglia, Hunter Goodman, Jordan Beck, Zac Veen, Owen Miller, Kyle Karros, Adael Amador,
2025-03-11, Nick Martini, Sam Hilliard, Jordan Beck, Yanquiel Fernandez, Keston Hiura, Kyle Karros, Owen Miller, Drew Romo, Adael Amador,
2025-03-12, Brenton Doyle, Ezequiel Tovar, Ryan McMahon, Kris Bryant, Thairo Estrada, Michael Toglia, Hunter Goodman, Nolan Jones, Sean Bouchard,
2025-03-13, Zac Veen, Ezequiel Tovar, Ryan McMahon, Michael Toglia, Thairo Estrada, Nolan Jones, Jacob Stallings, Nick Martini, Jordan Beck,
2025-03-14, Nick Martini, Sean Bouchard, Ryan McMahon, Michael Toglia, Hunter Goodman, Sam Hilliard, Jordan Beck, Owen Miller, Aaron Schunk,
2025-03-15, Brenton Doyle, Ezequiel Tovar, Thairo Estrada, Kris Bryant, Nolan Jones, Hunter Goodman, Kyle Farmer, Zac Veen, Kyle Karros,
2025-03-16, Brenton Doyle, Ezequiel Tovar, Ryan McMahon, Michael Toglia, Kyle Farmer, Jacob Stallings, Austin Nola, Sean Bouchard, Jordan Beck,
2025-03-18, Brenton Doyle, Ezequiel Tovar, Ryan McMahon, Kris Bryant, Michael Toglia, Hunter Goodman, Zac Veen, Kyle Farmer, Sam Hilliard,
2025-03-19, Brenton Doyle, Ezequiel Tovar, Ryan McMahon, Michael Toglia, Sean Bouchard, Kyle Farmer, Austin Nola, Jordan Beck, Zac Veen,
