date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-02-20, Mookie Betts, Max Muncy, Teoscar Hernandez, James Outman, Eddie Rosario, David Bote, Hunter Feduccia, Hyeseong Kim, Dalton Rushing,
2025-02-21, Mookie Betts, Tommy Edman, Michael Conforto, Austin Barnes, Enrique Hernandez, Miguel Rojas, Chris Taylor, Andy Pages, Ryan Ward,
2025-02-22, James Outman, Teoscar Hernandez, Max Muncy, Eddie Rosario, David Bote, Hunter Feduccia, Hyeseong Kim, Austin Gauthier, Dalton Rushing,
2025-02-23, Mookie Betts, Tommy Edman, Michael Conforto, Enrique Hernandez, Austin Barnes, Miguel Rojas, Chris Taylor, Andy Pages, Zyhir Hope,
2025-02-24, Chris Taylor, Max Muncy, Teoscar Hernandez, Eddie Rosario, James Outman, David Bote, Andy Pages, Hunter Feduccia, Sean McLain,
2025-02-25, Mookie Betts, Tommy Edman, Michael Conforto, Enrique Hernandez, Miguel Rojas, Eddie Rosario, Austin Barnes, James Outman, Ryan Ward,
2025-02-26, Miguel Rojas, Max Muncy, Teoscar Hernandez, Chris Taylor, Andy Pages, David Bote, Hyeseong Kim, Hunter Feduccia, Josue De Paula,
2025-02-27, Mookie Betts, Freddie Freeman, Michael Conforto, Enrique Hernandez, Tommy Edman, Austin Barnes, James Outman, David Bote, Griffin Lockwood-Powell,
2025-02-28, Shohei Ohtani, Mookie Betts, Tommy Edman, Will Smith, Max Muncy, Enrique Hernandez, Michael Conforto, Miguel Rojas, Andy Pages,
2025-03-01, Chris Taylor, Freddie Freeman, Teoscar Hernandez, James Outman, Austin Barnes, Eddie Rosario, David Bote, Hyeseong Kim, Griffin Lockwood-Powell,
2025-03-02a, Shohei Ohtani, Teoscar Hernandez, Freddie Freeman, Will Smith, Max Muncy, Miguel Rojas, Chris Taylor, Eddie Rosario, Andy Pages,
2025-03-02b, Mookie Betts, Tommy Edman, Michael Conforto, Enrique Hernandez, James Outman, David Bote, Hunter Feduccia, Zyhir Hope, Ryan Ward,
2025-03-04, Shohei Ohtani, Mookie Betts, Freddie Freeman, Teoscar Hernandez, Will Smith, Max Muncy, Tommy Edman, Chris Taylor, Andy Pages,
2025-03-05, Miguel Rojas, Chris Taylor, Michael Conforto, Enrique Hernandez, Austin Barnes, Eddie Rosario, Andy Pages, James Outman, David Bote,
2025-03-06, Shohei Ohtani, Mookie Betts, Freddie Freeman, Teoscar Hernandez, Max Muncy, Will Smith, Michael Conforto, Tommy Edman, Miguel Rojas,
2025-03-07, Tommy Edman, Michael Conforto, Teoscar Hernandez, Enrique Hernandez, Austin Barnes, Chris Taylor, James Outman, Michael Chavis, Hyeseong Kim,
2025-03-08, Shohei Ohtani, Mookie Betts, Freddie Freeman, Will Smith, Max Muncy, Miguel Rojas, Chris Taylor, Andy Pages, Eddie Rosario,
2025-03-09, Mookie Betts, Tommy Edman, Freddie Freeman, Teoscar Hernandez, Michael Conforto, Enrique Hernandez, Austin Barnes, James Outman, David Bote,
2025-03-10, Shohei Ohtani, Tommy Edman, Freddie Freeman, Teoscar Hernandez, Max Muncy, Will Smith, Miguel Rojas, James Outman, Andy Pages,
2025-03-11, Shohei Ohtani, Tommy Edman, Freddie Freeman, Teoscar Hernandez, Will Smith, Enrique Hernandez, Max Muncy, Miguel Rojas, Andy Pages,
