date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-02-22, Xavier Edwards, Otto Lopez, Matt Mervis, Derek Hill, Graham Pauley, Nick Fortes, Griffin Conine, Eric Wagaman, Andrew Pintar,
2025-02-23, Dane Myers, Jesus Sanchez, Jonah Bride, Connor Norby, Kyle Stowers, Liam Hicks, Albert Almora Jr., Javier Sanoja, Max Acosta,
2025-02-25, Xavier Edwards, Otto Lopez, Derek Hill, Griffin Conine, Nick Fortes, Matt Mervis, Deyvison De Los Santos, Graham Pauley, Heriberto Hernandez,
2025-02-26, Kyle Stowers, Connor Norby, Jesus Sanchez, Jonah Bride, Liam Hicks, Dane Myers, Albert Almora Jr., Javier Sanoja, Max Acosta,
2025-02-27, Xavier Edwards, Eric Wagaman, Matt Mervis, Derek Hill, Griffin Conine, Otto Lopez, Nick Fortes, Agustin Ramirez, Andrew Pintar,
2025-02-28, Jesus Sanchez, Jonah Bride, Kyle Stowers, Dane Myers, Liam Hicks, Connor Norby, Javier Sanoja, Max Acosta, Jared Serna,
2025-03-01, Xavier Edwards, Griffin Conine, Derek Hill, Eric Wagaman, Otto Lopez, Matt Mervis, Agustin Ramirez, Deyvison De Los Santos, Heriberto Hernandez,
2025-03-02, Connor Norby, Jesus Sanchez, Jonah Bride, Kyle Stowers, Dane Myers, Liam Hicks, Max Acosta, Javier Sanoja, Jared Serna,
2025-03-03a, Connor Norby, Matt Mervis, Derek Hill, Griffin Conine, Otto Lopez, Agustin Ramirez, Albert Almora Jr., Graham Pauley, Max Acosta,
2025-03-03b, Xavier Edwards, Kyle Stowers, Dane Myers, Jesus Sanchez, Jonah Bride, Eric Wagaman, Liam Hicks, Nick Fortes, Javier Sanoja,
2025-03-05, Xavier Edwards, Griffin Conine, Derek Hill, Connor Norby, Kyle Stowers, Rob Brantly, Otto Lopez, Graham Pauley, Eric Wagaman,
2025-03-06, Xavier Edwards, Jesus Sanchez, Jonah Bride, Matt Mervis, Griffin Conine, Dane Myers, Liam Hicks, Otto Lopez, Heriberto Hernandez,
2025-03-07, Kyle Stowers, Derek Hill, Connor Norby, Graham Pauley, Eric Wagaman, Albert Almora Jr., Javier Sanoja, Max Acosta, Rob Brantly,
2025-03-08, Xavier Edwards, Otto Lopez, Jonah Bride, Jesus Sanchez, Dane Myers, Griffin Conine, Agustin Ramirez, Matt Mervis, Graham Pauley,
2025-03-09, Kyle Stowers, Connor Norby, Derek Hill, Eric Wagaman, Liam Hicks, Heriberto Hernandez, Javier Sanoja, Albert Almora Jr., Ronny Simon,
2025-03-10a, Otto Lopez, Liam Hicks, Connor Norby, Derek Hill, Eric Wagaman, Graham Pauley, Albert Almora Jr., Troy Johnston, Ronny Simon,
2025-03-10b, Xavier Edwards, Nick Fortes, Jesus Sanchez, Jonah Bride, Dane Myers, Griffin Conine, Matt Mervis, Agustin Ramirez, Javier Sanoja,
2025-03-11, Xavier Edwards, Nick Fortes, Jesus Sanchez, Dane Myers, Jonah Bride, Griffin Conine, Otto Lopez, Matt Mervis, Joe Mack,
2025-03-13, Xavier Edwards, Jesus Sanchez, Jonah Bride, Kyle Stowers, Connor Norby, Derek Hill, Eric Wagaman, Nick Fortes, Otto Lopez,
2025-03-14, Xavier Edwards, Liam Hicks, Connor Norby, Dane Myers, Griffin Conine, Jonah Bride, Matt Mervis, Heriberto Hernandez, Ronny Simon,
2025-03-15, Kyle Stowers, Dane Myers, Derek Hill, Eric Wagaman, Graham Pauley, Nick Fortes, Otto Lopez, Albert Almora Jr., Javier Sanoja,
2025-03-16, Xavier Edwards, Connor Norby, Griffin Conine, Jonah Bride, Matt Mervis, Liam Hicks, Otto Lopez, Heriberto Hernandez, Albert Almora Jr.,
2025-03-17, Dane Myers, Kyle Stowers, Connor Norby, Matt Mervis, Derek Hill, Eric Wagaman, Nick Fortes, Javier Sanoja, Ronny Simon,
2025-03-18, Xavier Edwards, Derek Hill, Kyle Stowers, Dane Myers, Griffin Conine, Jonah Bride, Eric Wagaman, Nick Fortes, Otto Lopez,
2025-03-20, Xavier Edwards, Derek Hill, Matt Mervis, Connor Norby, Griffin Conine, Kyle Stowers, Otto Lopez, Liam Hicks, Rob Brantly,
