date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-02-22, Brice Turang, Jackson Chourio, Garrett Mitchell, Joey Ortiz, Sal Frelick, Jorge Alfaro, Eric Haase, Ernesto Martinez Jr., Caleb Durbin,
2025-02-23, Caleb Durbin, Luis Lara, Jake Bauers, Oliver Dunn, Jorge Alfaro, Isaac Collins, Vinny Capra, Ernesto Martinez Jr., Brewer Hicklen,
2025-02-24, Jackson Chourio, Brice Turang, William Contreras, Garrett Mitchell, Rhys Hoskins, Oliver Dunn, Sal Frelick, Jake Bauers, Jackson Chourio,
2025-02-25, Caleb Durbin, Cooper Pratt, Jackson Chourio, Oliver Dunn, Jake Bauers, Eric Haase, Isaac Collins, Andruw Monasterio, Brewer Hicklen,
2025-02-26a, Caleb Durbin, Sal Frelick, Joey Ortiz, Oliver Dunn, Eric Haase, Ernesto Martinez Jr., Andruw Monasterio, Jared Oliva, Jimmy Herron,
2025-02-26b, Brice Turang, William Contreras, Garrett Mitchell, Rhys Hoskins, Raynel Delgado, Vinny Capra, Isaac Collins, Brewer Hicklen, Jorge Alfaro,
2025-02-27, Jackson Chourio, Brice Turang, William Contreras, Garrett Mitchell, Rhys Hoskins, Joey Ortiz, Sal Frelick, Jorge Alfaro, Raynel Delgado,
2025-02-28, Oliver Dunn, Caleb Durbin, Jake Bauers, Mark Canha, Manuel Margot, Eric Haase, Vinny Capra, Brewer Hicklen, Jimmy Herron,
2025-03-01, Jackson Chourio, Christian Yelich, William Contreras, Garrett Mitchell, Rhys Hoskins, Brice Turang, Joey Ortiz, Sal Frelick, Oliver Dunn,
2025-03-02, Brice Turang, Jackson Chourio, Tyler Black, Mark Canha, Sal Frelick, Joey Ortiz, Manuel Margot, Jorge Alfaro, Caleb Durbin,
2025-03-03, Caleb Durbin, Vinny Capra, Manuel Margot, Tyler Black, Oliver Dunn, Eric Haase, Raynel Delgado, Brewer Hicklen, Jared Oliva,
2025-03-05a, Sal Frelick, Vinny Capra, Rhys Hoskins, Oliver Dunn, Manuel Margot, Eric Haase, Andruw Monasterio, Jorge Alfaro, Luis Lara,
2025-03-05b, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Garrett Mitchell, Tyler Black, Joey Ortiz, Mark Canha, Caleb Durbin,
2025-03-06, Caleb Durbin, Sal Frelick, William Contreras, Garrett Mitchell, Jake Bauers, Isaac Collins, Cooper Pratt, Anthony Seigler, David Garcia,
2025-03-08, Jackson Chourio, Christian Yelich, William Contreras, Rhys Hoskins, Manuel Margot, Garrett Mitchell, Brice Turang, Joey Ortiz, Caleb Durbin,
2025-03-09, Sal Frelick, Vinny Capra, Tyler Black, Mark Canha, Oliver Dunn, Manuel Margot, Jake Bauers, Eric Haase, Raynel Delgado,
2025-03-10, Jackson Chourio, Christian Yelich, William Contreras, Garrett Mitchell, Rhys Hoskins, Tyler Black, Joey Ortiz, Brice Turang, Andruw Monasterio,
2025-03-11, Sal Frelick, Christian Yelich, Rhys Hoskins, Manuel Margot, Oliver Dunn, Jake Bauers, Vinny Capra, Jorge Alfaro, Raynel Delgado,
2025-03-13, Brice Turang, Jackson Chourio, Garrett Mitchell, Mark Canha, Tyler Black, Joey Ortiz, Manuel Margot, Caleb Durbin, Eric Haase,
2025-03-14, Brice Turang, Jackson Chourio, Christian Yelich, William Contreras, Sal Frelick, Rhys Hoskins, Garrett Mitchell, Joey Ortiz, Oliver Dunn,
2025-03-15a, Sal Frelick, William Contreras, Christian Yelich, Rhys Hoskins, Joey Ortiz, Manuel Margot, Jorge Alfaro, Caleb Durbin, Cooper Pratt,
2025-03-15b, Isaac Collins, Garrett Mitchell, Oliver Dunn, Mark Canha, Jake Bauers, Vinny Capra, Tyler Black, Eric Haase, Andruw Monasterio,
2025-03-16, Sal Frelick, Jackson Chourio, Christian Yelich, William Contreras, Rhys Hoskins, Mark Canha, Vinny Capra, Caleb Durbin, Andruw Monasterio,
2025-03-17, Andruw Monasterio, Oliver Dunn, Jackson Chourio, Garrett Mitchell, Mark Canha, Joey Ortiz, Tyler Black, Manuel Margot, Eric Haase,
2025-03-18, Sal Frelick, Vinny Capra, Oliver Dunn, Jake Bauers, Isaac Collins, Manuel Margot, Caleb Durbin, Jorge Alfaro, Andruw Monasterio,
2025-03-19, Jackson Chourio, Christian Yelich, William Contreras, Garrett Mitchell, Rhys Hoskins, Joey Ortiz, Vinny Capra, Tyler Black, Caleb Durbin,
2025-03-21, Caleb Durbin, Jackson Chourio, William Contreras, Rhys Hoskins, Garrett Mitchell, Joey Ortiz, Jake Bauers, Oliver Dunn, Tyler Black,
