date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-02-22, Francisco Lindor, Juan Soto, Pete Alonso, Francisco Alvarez, Jeff McNeil, Luis Torrens, Brett Baty, Jose Azocar, Rafael Ortega,
2025-02-23a, Tyrone Taylor, Francisco Alvarez, Jesse Winker, Luis De Los Santos, Wyatt Young, Ryan Clifford, Jett Williams, Luke Ritter, Jakson Reetz,
2025-02-23b, Luisangel Acuna, Mark Vientos, Brett Baty, Jose Siri, Luis Torrens, Jared Young, Donovan Walton, Alex Ramirez, Nick Morabito,
2025-02-24, Francisco Lindor, Juan Soto, Pete Alonso, Mark Vientos, Jeff McNeil, Jose Azocar, Luis De Los Santos, Rafael Ortega, Hayden Senger,
2025-02-25, Luisangel Acuna, Francisco Alvarez, Jesse Winker, Tyrone Taylor, Brett Baty, Jose Siri, Luis Torrens, Jared Young, Donovan Walton,
2025-02-26, Francisco Lindor, Juan Soto, Pete Alonso, Mark Vientos, Jeff McNeil, Luis Torrens, Rafael Ortega, Jose Azocar, Chris Williams,
2025-02-27, Jeff McNeil, Francisco Alvarez, Jesse Winker, Tyrone Taylor, Brett Baty, Jose Siri, Jared Young, Jakson Reetz, Donovan Walton,
2025-02-28, Francisco Lindor, Juan Soto, Pete Alonso, Brandon Nimmo, Mark Vientos, Luis Torrens, Tyrone Taylor, Jared Young, Luisangel Acuna,
2025-03-01, Jeff McNeil, Francisco Alvarez, Jesse Winker, Jose Siri, Brett Baty, Alexander Canario, Luisangel Acuna, Jared Young, Jose Azocar,
2025-03-02, Jeff McNeil, Francisco Alvarez, Jesse Winker, Jose Siri, Alexander Canario, Brett Baty, Jared Young, Jose Azocar, Donovan Walton,
2025-03-03, Francisco Lindor, Juan Soto, Pete Alonso, Mark Vientos, Tyrone Taylor, Luis Torrens, Donovan Walton, Chris Williams, Jose Azocar,
2025-03-04, Jeff McNeil, Francisco Alvarez, Pete Alonso, Jesse Winker, Jose Siri, Alexander Canario, Brett Baty, Luisangel Acuna, Luis De Los Santos,
2025-03-06, Francisco Lindor, Juan Soto, Pete Alonso, Mark Vientos, Jesse Winker, Francisco Alvarez, Alexander Canario, Jeff McNeil, Jose Siri,
2025-03-07, Francisco Lindor, Francisco Alvarez, Pete Alonso, Mark Vientos, Jeff McNeil, Joey Meneses, Tyrone Taylor, Alexander Canario, Jose Azocar,
2025-03-08, Luisangel Acuna, Juan Soto, Jesse Winker, Jose Siri, Brett Baty, Luis Torrens, Joey Meneses, Jared Young, Donovan Walton,
2025-03-09, Francisco Lindor, Mark Vientos, Pete Alonso, Jeff McNeil, Tyrone Taylor, Alexander Canario, Luis De Los Santos, Jakson Reetz, Eli Serrano III,
2025-03-10, Francisco Lindor, Juan Soto, Pete Alonso, Jesse Winker, Mark Vientos, Starling Marte, Jeff McNeil, Luis Torrens, Jose Siri,
