date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-02-22, Johan Rojas, Bryson Stott, Alec Bohm, Max Kepler, Buddy Kennedy, Rafael Marchan, Cal Stevenson, Rodolfo Castro, Matt Kroon,
2025-02-23, Kyle Schwarber, Nick Castellanos, Brandon Marsh, Edmundo Sosa, Kody Clemens, Garrett Stubbs, Cal Stevenson, Buddy Kennedy, Christian Arroyo,
2025-02-25, Johan Rojas, Brandon Marsh, Edmundo Sosa, Cal Stevenson, Buddy Kennedy, Garrett Stubbs, Aidan Miller, Justin Crawford, Otto Kemp,
2025-02-26, Trea Turner, Kyle Schwarber, Bryce Harper, Alec Bohm, Bryson Stott, J.T. Realmuto, Max Kepler, Gabriel Rincones Jr., Oscar Mercado,
2025-02-27, Kyle Schwarber, Nick Castellanos, Brandon Marsh, Edmundo Sosa, Kody Clemens, Garrett Stubbs, Johan Rojas, Christian Arroyo, Rodolfo Castro,
2025-02-28, Trea Turner, Bryce Harper, Alec Bohm, Nick Castellanos, Max Kepler, J.T. Realmuto, Bryson Stott, Brandon Marsh, Johan Rojas,
2025-03-01, Johan Rojas, Kody Clemens, Edmundo Sosa, Cal Stevenson, Buddy Kennedy, Garrett Stubbs, Rodolfo Castro, Christian Arroyo, Aidan Miller,
2025-03-02a, Kyle Schwarber, Nick Castellanos, Bryce Harper, Alec Bohm, J.T. Realmuto, Buddy Kennedy, Rodolfo Castro, Christian Arroyo, Oscar Mercado,
2025-03-02b, Trea Turner, Brandon Marsh, Bryson Stott, Max Kepler, Rafael Marchan, Kody Clemens, Gabriel Rincones Jr., Cal Stevenson, Rafael Lantigua,
2025-03-04, Trea Turner, Bryce Harper, Alec Bohm, Kyle Schwarber, J.T. Realmuto, Max Kepler, Bryson Stott, Brandon Marsh, Cal Stevenson,
2025-03-05, Gabriel Rincones Jr., Nick Castellanos, Edmundo Sosa, Kody Clemens, Rafael Marchan, Buddy Kennedy, Rodolfo Castro, Christian Arroyo, Oscar Mercado,
2025-03-06, Trea Turner, Bryce Harper, Alec Bohm, Kyle Schwarber, Nick Castellanos, Max Kepler, J.T. Realmuto, Bryson Stott, Brandon Marsh,
2025-03-07, Johan Rojas, Kody Clemens, Edmundo Sosa, Garrett Stubbs, Cal Stevenson, Otto Kemp, Gabriel Rincones Jr., Matt Kroon, Rafael Lantigua,
2025-03-08, Kyle Schwarber, Trea Turner, Bryce Harper, Alec Bohm, Max Kepler, Nick Castellanos, J.T. Realmuto, Bryson Stott, Brandon Marsh,
2025-03-09, Kyle Schwarber, Trea Turner, Bryce Harper, J.T. Realmuto, Max Kepler, Nick Castellanos, Edmundo Sosa, Otto Kemp, Oscar Mercado,
2025-03-10, Bryson Stott, Johan Rojas, Brandon Marsh, Alec Bohm, Kody Clemens, Rodolfo Castro, Payton Henry, Cal Stevenson, Rafael Lantigua,
2025-03-11, Bryson Stott, Johan Rojas, Brandon Marsh, Alec Bohm, Buddy Kennedy, Rafael Marchan, Christian Arroyo, Rodolfo Castro, Gabriel Rincones Jr.,
2025-03-13, Trea Turner, Bryce Harper, Alec Bohm, Kyle Schwarber, J.T. Realmuto, Max Kepler, Bryson Stott, Brandon Marsh, Oscar Mercado,
2025-03-14, Kyle Schwarber, Johan Rojas, Max Kepler, Edmundo Sosa, Kody Clemens, Garrett Stubbs, Christian Arroyo, Cal Stevenson, Rodolfo Castro,
2025-03-15, Trea Turner, Bryce Harper, Alec Bohm, Kyle Schwarber, J.T. Realmuto, Nick Castellanos, Bryson Stott, Brandon Marsh, Buddy Kennedy,
2025-03-16, Trea Turner, Bryson Stott, Max Kepler, Edmundo Sosa, Brandon Marsh, Kody Clemens, Rafael Marchan, Oscar Mercado, Johan Rojas,
2025-03-17, Kyle Schwarber, Trea Turner, Bryce Harper, J.T. Realmuto, Bryson Stott, Nick Castellanos, Edmundo Sosa, Buddy Kennedy, Oscar Mercado,
2025-03-18, Brandon Marsh, Nick Castellanos, Max Kepler, Edmundo Sosa, Kody Clemens, Garrett Stubbs, Christian Arroyo, Cal Stevenson, Carson DeMartini,
2025-03-19, Kyle Schwarber, Trea Turner, Bryce Harper, Alec Bohm, Max Kepler, J.T. Realmuto, Nick Castellanos, Bryson Stott, Brandon Marsh,
2025-03-20, Johan Rojas, Alec Bohm, Kody Clemens, Edmundo Sosa, Rafael Marchan, Buddy Kennedy, Cal Stevenson, Christian Arroyo, Oscar Mercado,
2025-03-21a, Max Kepler, Alec Bohm, Bryce Harper, J.T. Realmuto, Nick Castellanos, Edmundo Sosa, Buddy Kennedy, Oscar Mercado, Josh Breaux,
2025-03-21b, Kyle Schwarber, Trea Turner, Bryson Stott, Brandon Marsh, Johan Rojas, Kody Clemens, Christian Arroyo, Cal Stevenson, Payton Henry,
2025-03-22, Kyle Schwarber, Trea Turner, Max Kepler, Bryson Stott, Brandon Marsh, Edmundo Sosa, Kody Clemens, Johan Rojas, Rafael Marchan,
